Id,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,2.88,2.88,2.59,2.59,1507154400,300.48,865.38,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
1,2.88,2.88,2.88,2.88,1507158000,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
2,2.88,2.88,2.88,2.88,1507161600,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
3,2.89,2.89,2.89,2.89,1507165200,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
4,2.89,2.89,2.89,2.89,1507168800,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
5,2.85,2.85,2.85,2.85,1507172400,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
6,2.84,2.84,2.84,2.84,1507176000,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
7,2.83,2.83,2.83,2.83,1507179600,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
8,2.82,2.84,2.82,2.84,1507183200,60.0,169.2,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
9,2.82,2.82,2.82,2.82,1507186800,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
10,2.81,2.82,2.81,2.82,1507190400,1.0,2.81,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
11,2.99,2.99,2.85,2.85,1507194000,925.5,2767.25,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
12,3.01,3.01,3.01,3.01,1507197600,8.16,24.56,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
13,3.02,3.02,3.01,3.02,1507201200,1.99,6.01,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
14,3.26,3.26,3.07,3.07,1507204800,615.55,2006.69,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
15,3.34,3.34,3.26,3.26,1507208400,155.87,520.61,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
16,3.13,3.33,3.13,3.33,1507212000,21.25,66.51,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
17,3.34,3.34,3.15,3.15,1507215600,0.0736,0.2458,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
18,3.33,3.33,3.33,3.33,1507219200,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
19,2.92,3.32,2.92,3.32,1507222800,4.94,14.42,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
20,2.95,2.95,2.95,2.95,1507226400,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
21,2.97,2.97,2.97,2.97,1507230000,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
22,2.75,2.96,2.75,2.96,1507233600,802.72,2207.48,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
23,2.74,2.74,2.74,2.74,1507237200,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
24,2.76,2.76,2.76,2.76,1507240800,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
25,3.23,3.23,2.73,2.73,1507244400,137.96,445.61,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
26,3.24,3.24,3.24,3.24,1507248000,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
27,1.81,3.24,1.81,3.24,1507251600,505.58,915.1,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
28,1.22,1.81,1.22,1.81,1507255200,0.5,0.61,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
29,3.01,3.14,1.23,1.23,1507258800,108.71,327.22,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
30,3.2,3.2,2.64,3.01,1507262400,19.42,62.14,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
31,1.65,3.25,1.65,3.25,1507266000,9.92,16.37,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
32,1.66,1.66,1.66,1.66,1507269600,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
33,1.66,1.66,1.66,1.66,1507273200,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
34,1.66,1.66,1.66,1.66,1507276800,0.0,0.0,CRAVE,1,JordanManual,CCCAGG,2017-12-26 23:30:18.438194
