Id,close,coin,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.01957,CSMIC,1,JordanManual,CCCAGG,0.01957,0.01957,0.01957,,1507154400,2017-12-26 23:31:01.560926,0.0,0.0
1,0.01953,CSMIC,1,JordanManual,CCCAGG,0.01953,0.01953,0.01953,,1507158000,2017-12-26 23:31:01.560926,0.0,0.0
2,0.02028,CSMIC,1,JordanManual,CCCAGG,0.02028,0.01956,0.01956,,1507161600,2017-12-26 23:31:01.560926,225.9,4.58
3,0.02034,CSMIC,1,JordanManual,CCCAGG,0.02034,0.02034,0.02034,,1507165200,2017-12-26 23:31:01.560926,0.0,0.0
4,0.02125,CSMIC,1,JordanManual,CCCAGG,0.02125,0.02032,0.02032,,1507168800,2017-12-26 23:31:01.560926,179.14,3.81
5,0.02283,CSMIC,1,JordanManual,CCCAGG,0.02283,0.02099,0.02099,,1507172400,2017-12-26 23:31:01.560926,670.42,15.31
6,0.02355,CSMIC,1,JordanManual,CCCAGG,0.02355,0.02276,0.02276,,1507176000,2017-12-26 23:31:01.560926,257.06,6.05
7,0.02345,CSMIC,1,JordanManual,CCCAGG,0.02345,0.02345,0.02345,,1507179600,2017-12-26 23:31:01.560926,0.0,0.0
8,0.02351,CSMIC,1,JordanManual,CCCAGG,0.02351,0.02351,0.02351,,1507183200,2017-12-26 23:31:01.560926,0.0,0.0
9,0.02352,CSMIC,1,JordanManual,CCCAGG,0.02352,0.02352,0.02352,,1507186800,2017-12-26 23:31:01.560926,0.0,0.0
10,0.02344,CSMIC,1,JordanManual,CCCAGG,0.02344,0.02344,0.02344,,1507190400,2017-12-26 23:31:01.560926,0.0,0.0
11,0.02377,CSMIC,1,JordanManual,CCCAGG,0.02377,0.02377,0.02377,,1507194000,2017-12-26 23:31:01.560926,0.0,0.0
12,0.02399,CSMIC,1,JordanManual,CCCAGG,0.02399,0.02399,0.02399,,1507197600,2017-12-26 23:31:01.560926,0.0,0.0
13,0.024,CSMIC,1,JordanManual,CCCAGG,0.024,0.024,0.024,,1507201200,2017-12-26 23:31:01.560926,0.0,0.0
14,0.02441,CSMIC,1,JordanManual,CCCAGG,0.02441,0.02441,0.02441,,1507204800,2017-12-26 23:31:01.560926,0.0,0.0
15,0.02439,CSMIC,1,JordanManual,CCCAGG,0.02439,0.02439,0.02439,,1507208400,2017-12-26 23:31:01.560926,0.0,0.0
16,0.02433,CSMIC,1,JordanManual,CCCAGG,0.02433,0.02433,0.02433,,1507212000,2017-12-26 23:31:01.560926,0.0,0.0
17,0.02443,CSMIC,1,JordanManual,CCCAGG,0.02443,0.02443,0.02443,,1507215600,2017-12-26 23:31:01.560926,0.0,0.0
18,0.02417,CSMIC,1,JordanManual,CCCAGG,0.02439,0.02417,0.02439,,1507219200,2017-12-26 23:31:01.560926,30.0,0.7251
19,0.02409,CSMIC,1,JordanManual,CCCAGG,0.02409,0.02409,0.02409,,1507222800,2017-12-26 23:31:01.560926,0.0,0.0
20,0.02428,CSMIC,1,JordanManual,CCCAGG,0.02428,0.02428,0.02428,,1507226400,2017-12-26 23:31:01.560926,0.0,0.0
21,0.02443,CSMIC,1,JordanManual,CCCAGG,0.02443,0.02443,0.02443,,1507230000,2017-12-26 23:31:01.560926,0.0,0.0
22,0.02437,CSMIC,1,JordanManual,CCCAGG,0.02437,0.02437,0.02437,,1507233600,2017-12-26 23:31:01.560926,0.0,0.0
23,0.02427,CSMIC,1,JordanManual,CCCAGG,0.02427,0.02427,0.02427,,1507237200,2017-12-26 23:31:01.560926,0.0,0.0
24,0.02444,CSMIC,1,JordanManual,CCCAGG,0.02444,0.02444,0.02444,,1507240800,2017-12-26 23:31:01.560926,0.0,0.0
25,0.0242,CSMIC,1,JordanManual,CCCAGG,0.0242,0.0242,0.0242,,1507244400,2017-12-26 23:31:01.560926,0.0,0.0
26,0.0,,1,JordanManual,CCCAGG,0.0,0.0,0.0,CSMIC,1507248000,2017-12-28 01:29:17.677744,0.0,0.0
27,0.02426,CSMIC,1,JordanManual,CCCAGG,0.02426,0.02426,0.02426,,1507248000,2017-12-26 23:31:01.560926,0.0,0.0
28,0.02447,CSMIC,1,JordanManual,CCCAGG,0.02447,0.02425,0.02425,,1507251600,2017-12-26 23:31:01.560926,100.0,2.45
29,0.02488,CSMIC,1,JordanManual,CCCAGG,0.02488,0.02444,0.02444,,1507255200,2017-12-26 23:31:01.560926,191.66,4.77
30,0.0,,1,JordanManual,CCCAGG,0.0,0.0,0.0,CSMIC,1507258800,2017-12-28 01:29:17.677744,0.0,0.0
31,0.0249,CSMIC,1,JordanManual,CCCAGG,0.0249,0.0249,0.0249,,1507258800,2017-12-26 23:31:01.560926,0.0,0.0
32,0.0249,CSMIC,1,JordanManual,CCCAGG,0.0249,0.0249,0.0249,,1507262400,2017-12-26 23:31:01.560926,0.0,0.0
33,0.02525,CSMIC,1,JordanManual,CCCAGG,0.02525,0.02525,0.02525,,1507266000,2017-12-26 23:31:01.560926,0.0,0.0
34,0.02533,CSMIC,1,JordanManual,CCCAGG,0.02533,0.02533,0.02533,,1507269600,2017-12-26 23:31:01.560926,0.0,0.0
35,0.0,,1,JordanManual,CCCAGG,0.0,0.0,0.0,CSMIC,1507269600,2017-12-28 01:29:17.677744,0.0,0.0
36,0.02537,CSMIC,1,JordanManual,CCCAGG,0.02537,0.02537,0.02537,,1507273200,2017-12-26 23:31:01.560926,0.0,0.0
37,0.02535,CSMIC,1,JordanManual,CCCAGG,0.02535,0.02535,0.02535,,1507276800,2017-12-26 23:31:01.560926,0.0,0.0
38,0.02537,CSMIC,1,JordanManual,CCCAGG,0.02537,0.02537,0.02537,,1507280400,2017-12-26 23:31:01.560926,0.0,0.0
39,0.0,,1,JordanManual,CCCAGG,0.0,0.0,0.0,CSMIC,1507280400,2017-12-28 01:29:17.677744,0.0,0.0
40,0.02531,CSMIC,1,JordanManual,CCCAGG,0.02531,0.02531,0.02531,,1507284000,2017-12-26 23:31:01.560926,0.0,0.0
41,0.0253,CSMIC,1,JordanManual,CCCAGG,0.0253,0.0253,0.0253,,1507287600,2017-12-26 23:31:01.560926,0.0,0.0
42,0.02526,CSMIC,1,JordanManual,CCCAGG,0.02526,0.02526,0.02526,,1507291200,2017-12-26 23:31:01.560926,0.0,0.0
43,0.0,,1,JordanManual,CCCAGG,0.0,0.0,0.0,CSMIC,1507291200,2017-12-28 01:29:17.677744,0.0,0.0
44,0.02506,CSMIC,1,JordanManual,CCCAGG,0.02506,0.02506,0.02506,,1507294800,2017-12-26 23:31:01.560926,0.0,0.0
45,0.02525,CSMIC,1,JordanManual,CCCAGG,0.02525,0.02525,0.02525,,1507298400,2017-12-26 23:31:01.560926,0.0,0.0
