close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.3082,0.3082,0.262,0.2622,1507312800,1.41,0.4346,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2624,0.3091,0.2614,0.3085,1507323600,5.0,1.31,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2622,0.2632,0.2622,0.2632,1507334400,0.0,0.0,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2694,0.2694,0.2624,0.2624,1507345200,80.0,21.55,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2611,0.2678,0.2611,0.2675,1507356000,28.3,7.39,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2599,0.2611,0.2599,0.2611,1507366800,10.05,2.62,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.3038,0.3048,0.2606,0.2606,1507377600,38.57,11.7,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.3589,0.3589,0.3035,0.304,1507388400,3.0,1.07,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.3575,0.3582,0.3574,0.3582,1507399200,0.0,0.0,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.1776,0.3665,0.1776,0.3581,1507410000,1002.72,178.08,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.1997,0.2005,0.1775,0.1781,1507420800,675.63,134.19,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.1997,0.2001,0.1995,0.2001,1507431600,1067.68,213.0902,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2006,0.2006,0.2003,0.2006,1507442400,0.0,0.0,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2009,0.2012,0.1589,0.2006,1507453200,249.52,50.03,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2033,0.2035,0.1815,0.2011,1507464000,41.85,8.07,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2058,0.2058,0.2049,0.2053,1507474800,505.08,103.95,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.1635,0.2069,0.1635,0.2048,1507485600,2254.06,373.33,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2705,0.271,0.1636,0.1636,1507496400,8.47,2.2804,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.271,0.271,0.2692,0.2692,1507507200,0.0,0.0,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.1686,0.2755,0.1665,0.2718,1507518000,64.34,11.59,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2676,0.2807,0.1669,0.1669,1507528800,1051.52,280.38,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2762,0.2762,0.2684,0.2684,1507539600,5.14,1.42,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2802,0.2802,0.2761,0.2761,1507550400,0.0,0.0,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2813,0.4915,0.1919,0.2793,1507561200,1506.06,423.11,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2663,0.2879,0.2641,0.2841,1507572000,206.42,54.73,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2428,0.2645,0.2201,0.2645,1507582800,55.89,13.73,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2079,0.2673,0.2075,0.2472,1507593600,48.26,10.91,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2451,0.2451,0.2064,0.2064,1507604400,24.45,5.96,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2431,0.2456,0.2431,0.2456,1507615200,0.0,0.0,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2589,0.2646,0.2425,0.2425,1507626000,8.05,2.09,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2159,0.2609,0.2062,0.2609,1507636800,369.84,80.34,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2652,0.4788,0.2066,0.2161,1507647600,719.69,157.84,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2426,0.2644,0.2425,0.2642,1507658400,9.46,2.29,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2144,0.2404,0.2144,0.2404,1507669200,5.06,1.09,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.215,0.215,0.2132,0.2132,1507680000,0.0,0.0,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2457,0.2457,0.2133,0.2133,1507690800,153.42,37.63,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
0.2488,0.2488,0.2462,0.2462,1507701600,0.0,0.0,1,JordanManual,CCCAGG,DUO,2017-12-28 17:52:10.552221
