close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
2.12,2.12,2.07,2.07,1507312800,670.91,1420.38,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.08,2.12,2.07,2.12,1507323600,4394.67,9097.16,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.07,2.08,2.05,2.08,1507334400,449.99,935.98,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.08,2.08,2.05,2.08,1507345200,336.17,690.43,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.07,2.07,2.04,2.06,1507356000,112.88,232.62,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.03,2.08,2.03,2.07,1507366800,572.04,1161.24,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.04,2.06,2.04,2.04,1507377600,104.42,213.15,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.09,2.09,2.04,2.04,1507388400,273.95,570.47,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.03,2.09,2.03,2.09,1507399200,375.9,766.84,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.07,2.19,2.04,2.04,1507410000,2931.54,6206.5,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.07,2.12,2.07,2.08,1507420800,414.7266,860.68,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.08,2.12,2.07,2.08,1507431600,282.27,585.62,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.11,2.11,2.08,2.09,1507442400,50.86,106.82,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.11,2.11,2.09,2.11,1507453200,644.6,1352.58,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.12,2.14,2.09,2.11,1507464000,3407.53,7222.95,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.14,2.18,2.14,2.14,1507474800,1282.58,2744.72,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.15,2.15,2.13,2.13,1507485600,205.81,442.06,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.08,2.18,2.08,2.15,1507496400,4969.35,10526.74,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
2.06,2.1,2.05,2.07,1507507200,1389.12,2854.12,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
1.92,2.09,1.9,2.06,1507518000,2499.97,4933.73,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
1.74,1.91,1.71,1.91,1507528800,7446.33,13025.98,1,JordanManual,CCCAGG,DYN,2017-12-28 18:36:36.752083
