close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
9.65,9.66,9.55,9.66,1507312800,23.46,226.45,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
10.21,10.22,9.66,9.66,1507323600,73.5,738.52,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.6,10.24,9.46,10.24,1507334400,1030.66,10060.66,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.7,9.71,9.45,9.6,1507345200,165.4605,1603.32,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.49,9.64,9.14,9.64,1507356000,900.4415,8470.03,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.35,9.49,9.14,9.49,1507366800,248.24,2280.41,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.04,9.38,8.77,9.38,1507377600,240.08,2168.87,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
8.95,9.07,8.91,9.05,1507388400,140.58,1258.88,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.13,9.13,8.9,8.93,1507399200,507.4508,4519.19,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.27,9.31,9.02,9.14,1507410000,44.27,407.58,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.36,9.41,9.13,9.3,1507420800,168.74,1585.54,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.17,9.39,9.13,9.38,1507431600,3.04,28.21,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.4,9.42,9.2,9.21,1507442400,2.1341,20.01,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.43,9.43,9.23,9.39,1507453200,131.5034,1239.9,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
9.1,9.52,9.1,9.44,1507464000,690.23,6372.93,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
8.64,9.25,8.4,9.19,1507474800,746.71,6557.37,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
8.12,8.7,8.0,8.6,1507485600,578.36,4804.25,1,JordanManual,CCCAGG,GAM,2017-12-28 18:39:36.855495
