close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
10.25,10.27,10.25,10.27,1507312800,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.48,10.48,10.26,10.26,1507323600,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.58,10.63,10.53,10.53,1507334400,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.53,10.53,10.48,10.51,1507345200,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.44,10.44,10.41,10.44,1507356000,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.37,10.46,10.37,10.46,1507366800,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.51,10.51,10.43,10.43,1507377600,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.5,10.53,10.48,10.53,1507388400,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.47,10.49,10.47,10.49,1507399200,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.58,10.67,10.46,10.46,1507410000,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.6,10.62,10.59,10.59,1507420800,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.57,10.6,10.56,10.6,1507431600,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.59,10.6,10.59,10.6,1507442400,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.59,10.6,10.58,10.58,1507453200,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.63,10.63,10.57,10.57,1507464000,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.61,10.65,10.61,10.65,1507474800,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.58,10.61,10.58,10.6,1507485600,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.52,10.55,10.52,10.55,1507496400,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.74,10.75,10.43,10.43,1507507200,1.0,10.75,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.82,10.82,10.68,10.68,1507518000,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.65,10.68,10.65,10.68,1507528800,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.68,10.71,10.68,10.68,1507539600,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.5,10.66,10.5,10.66,1507550400,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.24,10.47,10.24,10.45,1507561200,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.3,10.3,10.21,10.21,1507572000,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.39,10.46,10.39,10.46,1507582800,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.37,10.37,10.35,10.35,1507593600,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.46,10.46,10.39,10.41,1507604400,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.41,10.44,10.38,10.44,1507615200,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.45,10.48,10.44,10.44,1507626000,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.63,10.63,10.58,10.58,1507636800,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.58,10.71,10.58,10.64,1507647600,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
10.5,10.57,10.46,10.57,1507658400,0.0,0.0,1,JordanManual,CCCAGG,HRB,2017-12-28 17:47:44.718709
