close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
1.89,1.92,1.87,1.88,1507312800,23135.11,43855.89,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.87,1.91,1.84,1.89,1507323600,41333.83,76726.48,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.85,1.89,1.83,1.87,1507334400,44970.43,83195.3,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.86,1.88,1.83,1.85,1507345200,33687.85,62772.77,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.84,1.85,1.81,1.85,1507356000,62186.19,114278.18,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.84,1.9,1.83,1.84,1507366800,42362.52,78810.74,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.84,1.88,1.81,1.85,1507377600,29980.21,55163.58,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.85,1.88,1.84,1.84,1507388400,31195.1,58040.55,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.91,1.91,1.82,1.84,1507399200,53399.36,101135.69,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
2.0,2.09,1.89,1.91,1507410000,141093.96,280618.64,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.93,2.05,1.93,2.0,1507420800,40341.55,81025.33,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.89,1.99,1.89,1.93,1507431600,19560.79,37650.94,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.94,2.07,1.9,1.9,1507442400,45240.46,88157.35,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.98,1.99,1.94,1.94,1507453200,20897.78,41326.53,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.97,2.02,1.95,1.98,1507464000,74446.53,147131.84,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.92,1.99,1.91,1.99,1507474800,90311.56,173739.04,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.75,1.92,1.7,1.91,1507485600,161482.47,292371.85,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.75,1.8,1.69,1.75,1507496400,114679.58,200689.27,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.83,1.85,1.74,1.74,1507507200,31111.04,56702.26,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.75,1.86,1.74,1.83,1507518000,51553.18,90258.99,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.72,1.77,1.71,1.73,1507528800,25953.43,45437.44,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.77,1.83,1.68,1.72,1507539600,98447.56,171533.31,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.8,1.94,1.75,1.77,1507550400,129950.95,238351.9,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
1.75,1.83,1.71,1.8,1507561200,106389.29,188721.43,1,JordanManual,CCCAGG,KMD,2017-12-28 18:37:12.813402
