Id,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,0.3641,0.3641,0.3619,0.3635,1507154400,928.53,338.08,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
1,0.3612,0.3634,0.3612,0.3634,1507158000,1754.93,633.88,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
2,0.3613,0.364,0.3613,0.3617,1507161600,368.52,133.15,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
3,0.3763,0.3823,0.3625,0.3625,1507165200,20944.83,7881.54,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
4,0.382,0.382,0.3741,0.3758,1507168800,4357.27,1664.48,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
5,0.3723,0.3774,0.3723,0.3773,1507172400,1214.52,452.17,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
6,0.3688,0.3712,0.3632,0.3712,1507176000,1392.24,513.46,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
7,0.3616,0.3694,0.3613,0.3671,1507179600,832.64,301.08,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
8,0.3628,0.3628,0.362,0.3625,1507183200,351.79,127.63,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
9,0.3523,0.363,0.3523,0.363,1507186800,46986.03,16553.18,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
10,0.3511,0.3511,0.3443,0.3511,1507190400,5827.19,2045.93,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
11,0.3449,0.3574,0.3382,0.356,1507194000,21066.64,7265.88,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
12,0.3435,0.3484,0.3435,0.3482,1507197600,3252.25,1117.15,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
13,0.344,0.344,0.3399,0.3435,1507201200,578.29,198.93,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
14,0.3507,0.3548,0.35,0.35,1507204800,548.77,192.45,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
15,0.3502,0.3556,0.3502,0.3504,1507208400,2800.0,980.56,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
16,0.3539,0.3539,0.3492,0.3492,1507212000,1497.93,530.12,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
17,0.3533,0.3587,0.3526,0.3554,1507215600,2404.4,849.47,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
18,0.3556,0.3559,0.3527,0.3527,1507219200,1304.5,463.88,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
19,0.3516,0.3544,0.3515,0.3544,1507222800,359.18,126.29,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
20,0.3547,0.3552,0.3544,0.3544,1507226400,3701.26,1312.84,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
21,0.3505,0.3577,0.3505,0.3568,1507230000,7936.86,2781.87,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
22,0.3462,0.3504,0.3462,0.3497,1507233600,21459.94,7429.43,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
23,0.3422,0.3448,0.3381,0.3448,1507237200,5634.78,1928.22,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
24,0.3406,0.3451,0.3384,0.3445,1507240800,1595.8,543.53,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
25,0.3418,0.3498,0.3373,0.3373,1507244400,1292.13,441.65,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
26,0.3438,0.3507,0.3423,0.3426,1507248000,6625.1,2277.71,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
27,0.3503,0.3503,0.3423,0.3438,1507251600,838.18,293.61,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
28,0.3552,0.3554,0.345,0.3499,1507255200,5979.24,2123.83,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
29,0.352,0.3556,0.3451,0.3556,1507258800,4270.8,1503.32,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
30,0.3468,0.3519,0.345,0.3519,1507262400,1440.54,499.58,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
31,0.3539,0.3648,0.3515,0.3518,1507266000,3883.01,1374.2,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
32,0.3504,0.3554,0.34,0.3549,1507269600,25607.92,8973.02,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
33,0.3448,0.351,0.3429,0.351,1507273200,2834.35,977.28,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
34,0.3483,0.3511,0.3427,0.3446,1507276800,5446.58,1897.04,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
35,0.3398,0.3506,0.3397,0.3486,1507280400,20675.01,7025.37,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
36,0.347,0.347,0.3389,0.3389,1507284000,3823.15,1326.63,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
37,0.3437,0.3469,0.3411,0.3469,1507287600,963.89,331.29,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
38,0.3392,0.3452,0.3341,0.3432,1507291200,4585.72,1555.48,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
39,0.3197,0.3366,0.3197,0.3366,1507294800,52508.57,16786.99,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
40,0.3285,0.3307,0.3221,0.3221,1507298400,16853.51,5536.38,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
41,0.3258,0.3301,0.3223,0.3283,1507302000,12010.33,3912.97,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
42,0.3279,0.3288,0.3224,0.3257,1507305600,9027.4,2960.08,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
43,0.3217,0.3269,0.3186,0.325,1507309200,19785.01,6364.84,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
44,0.3217,0.3245,0.3095,0.3216,1507312800,27988.45,9003.88,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
45,0.3221,0.3222,0.3191,0.3216,1507316400,2024.0,651.93,PASC,1,JordanManual,CCCAGG,2017-12-27 00:00:49.077552
