close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
2.14,2.14,2.11,2.14,1507312800,47450.35,101441.71,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.19,2.19,2.14,2.14,1507323600,63778.68,137865.96,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.12,2.19,2.12,2.19,1507334400,41568.94,89087.1,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.11,2.13,2.09,2.12,1507345200,86726.2,183101.33,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.08,2.1,2.07,2.1,1507356000,54627.69,113310.98,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.06,2.09,2.06,2.08,1507366800,47106.4,97310.77,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.07,2.09,2.06,2.07,1507377600,104863.84,217653.21,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.09,2.13,2.07,2.07,1507388400,90804.29,190955.32,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.09,2.13,2.08,2.09,1507399200,40177.95,84229.32,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.12,2.14,2.08,2.1,1507410000,67048.41,141436.87,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.11,2.14,2.09,2.12,1507420800,59658.07,126325.06,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.08,2.12,2.04,2.12,1507431600,88974.65,184294.11,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.0,2.09,2.0,2.09,1507442400,104836.52,211566.72,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.06,2.09,1.99,2.0,1507453200,142014.28,294982.32,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.03,2.08,2.02,2.06,1507464000,90538.1,184286.98,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.98,2.05,1.88,2.05,1507474800,298781.71,590805.35,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.82,2.03,1.82,1.97,1507485600,281014.93,521584.59,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.87,1.94,1.81,1.83,1507496400,191582.97,362768.43,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.91,1.94,1.85,1.86,1507507200,93060.27,176203.47,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.85,1.92,1.8,1.91,1507518000,156057.76,285670.56,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.89,1.9,1.83,1.83,1507528800,152089.57,285071.15,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.88,1.9,1.84,1.9,1507539600,109500.1,204340.95,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.9,1.96,1.86,1.88,1507550400,123497.26,234435.95,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.98,2.05,1.88,1.9,1507561200,224860.46,442302.5,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.87,2.0,1.79,2.0,1507572000,349827.12,645200.06,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.88,1.9,1.84,1.86,1507582800,156348.24,294938.42,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.88,1.91,1.83,1.91,1507593600,114185.16,212482.68,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.88,1.9,1.85,1.87,1507604400,113348.25,213647.61,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.91,1.91,1.85,1.89,1507615200,111379.62,211766.5,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.05,2.05,1.89,1.9,1507626000,195767.01,388019.89,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.94,2.08,1.9,2.06,1507636800,220897.28,434956.93,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.97,2.06,1.95,1.95,1507647600,186976.77,374824.16,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.05,2.05,1.96,1.96,1507658400,83468.66,168776.87,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.04,2.06,1.98,2.03,1507669200,150631.53,308416.28,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.01,2.04,1.99,2.03,1507680000,116788.66,235004.77,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.0,2.01,1.95,1.99,1507690800,110787.09,221300.93,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.08,2.2,2.0,2.0,1507701600,320392.16,679629.38,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.08,2.14,2.07,2.07,1507712400,88370.18,185265.71,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.13,2.15,2.07,2.07,1507723200,144122.6,306085.75,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.19,2.26,2.13,2.16,1507734000,222746.69,491177.47,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.22,2.27,2.19,2.19,1507744800,151790.75,340078.15,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.18,2.26,2.17,2.21,1507755600,96865.13,215820.79,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.22,2.27,2.18,2.19,1507766400,73540.44,162098.77,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.06,2.22,2.06,2.22,1507777200,251263.0,523525.34,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.04,2.13,1.98,2.06,1507788000,347368.93,713043.17,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.04,2.11,2.02,2.05,1507798800,162137.63,334575.65,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.08,2.11,2.01,2.06,1507809600,124657.67,256688.44,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.03,2.15,2.0,2.13,1507820400,235323.7,479229.66,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.05,2.09,2.01,2.05,1507831200,144796.99,295177.95,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.08,2.13,2.04,2.04,1507842000,110602.65,229688.27,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.94,2.07,1.93,2.07,1507852800,311045.46,603428.19,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.96,2.07,1.89,1.96,1507863600,255579.33,507280.12,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.95,2.05,1.91,1.98,1507874400,143766.27,284122.07,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.96,2.02,1.92,1.98,1507885200,85456.5,167141.72,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.0,2.04,1.92,1.93,1507896000,131854.94,262802.02,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.94,2.01,1.94,1.99,1507906800,104772.15,205236.01,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
2.01,2.02,1.92,1.93,1507917600,76784.95,151246.13,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.96,2.0,1.95,2.0,1507928400,79907.69,157722.66,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.98,1.99,1.94,1.95,1507939200,37958.52,74602.85,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.94,1.99,1.92,1.98,1507950000,86397.64,168583.71,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.93,1.97,1.9,1.94,1507960800,120666.64,232817.14,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.94,1.99,1.89,1.93,1507971600,112701.39,218435.81,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.88,1.94,1.84,1.94,1507982400,152125.85,288009.27,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.86,1.91,1.83,1.87,1507993200,159970.32,299901.3,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.93,1.94,1.82,1.84,1508004000,81596.95,155309.45,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.9,1.96,1.87,1.94,1508014800,72062.79,136904.01,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.85,1.9,1.84,1.89,1508025600,99167.56,185064.84,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.87,1.91,1.81,1.83,1508036400,59819.45,112107.04,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.83,1.9,1.81,1.87,1508047200,161944.22,299947.94,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.8,1.83,1.76,1.82,1508058000,79418.24,143256.91,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.84,1.84,1.79,1.81,1508068800,66410.75,120828.26,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
1.8,1.82,1.79,1.82,1508079600,84251.77,152468.24,1,JordanManual,CCCAGG,PAY,2017-12-28 17:51:07.137882
