close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
3.12,3.36,3.1,3.35,1507312800,32689096.86,105044693.53,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.36,3.38,3.32,3.34,1507323600,18170217.66,60776382.34,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.31,3.38,3.3,3.37,1507334400,17273085.58,57702165.31,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.36,3.36,3.31,3.36,1507345200,10281091.07,34376547.54,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.38,3.39,3.36,3.36,1507356000,16952738.27,57351061.4,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.36,3.4,3.35,3.38,1507366800,13190754.71,44543450.28,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.37,3.37,3.35,3.36,1507377600,19399808.84,65176135.7,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.34,3.38,3.19,3.37,1507388400,19183856.14,63337873.65,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.37,3.37,3.29,3.3,1507399200,14468419.71,48190361.49,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.13,3.32,3.11,3.32,1507410000,65594278.93,207455333.37,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.37,3.38,3.06,3.16,1507420800,32668181.91,104981996.56,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.35,3.37,3.35,3.36,1507431600,19922483.97,66826652.23,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.34,3.35,3.33,3.35,1507442400,33711725.9,112597164.51,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.33,3.34,3.32,3.34,1507453200,26603558.18,88521622.96,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.3,3.33,2.99,3.33,1507464000,63032259.08,197380926.05,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.11,3.32,3.1,3.3,1507474800,51851184.84,168673843.22,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.29,3.32,3.1,3.1,1507485600,55034440.95,178985579.05,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.09,3.33,3.09,3.33,1507496400,40246049.02,127589102.89,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.33,3.34,3.09,3.09,1507507200,29616958.29,95483313.02,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.35,3.36,3.11,3.12,1507518000,41408878.22,135760319.62,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.06,3.07,3.04,3.04,1507528800,33818078.57,103546887.74,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.04,3.06,3.03,3.06,1507539600,31813855.16,96802418.17,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.22,3.3,3.06,3.06,1507550400,54232878.84,174345294.32,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.23,3.36,3.23,3.31,1507561200,66649259.21,218616875.06,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.11,3.38,3.11,3.37,1507572000,195104551.91,626848414.15,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.19,3.41,3.17,3.38,1507582800,65949921.38,219034785.84,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.49,3.52,3.15,3.2,1507593600,59359571.46,195168063.11,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.18,3.21,3.18,3.19,1507604400,30153387.35,96432092.48,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.09,3.2,3.07,3.18,1507615200,49191927.13,154764049.46,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.08,3.11,3.07,3.09,1507626000,44468155.29,137178643.39,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.35,3.35,3.06,3.08,1507636800,44136637.04,140651515.7,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.14,3.33,3.13,3.16,1507647600,83724486.91,267199200.59,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.3,3.31,3.15,3.2,1507658400,71121209.85,228814384.98,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.5,3.53,3.19,3.19,1507669200,93562345.61,313727630.0,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.01,3.37,3.0,3.09,1507680000,51479359.23,160841379.88,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.32,3.33,3.03,3.03,1507690800,31903235.11,99406774.8,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.28,3.32,3.27,3.32,1507701600,35447879.33,116680676.16,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.3,3.3,3.27,3.28,1507712400,40619156.57,133577313.76,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.31,3.32,3.29,3.3,1507723200,44034889.72,145807720.54,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.27,3.33,3.26,3.33,1507734000,55338791.33,181420894.04,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.41,3.41,3.06,3.27,1507744800,45922279.82,147880620.41,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.11,3.26,3.11,3.23,1507755600,33809925.25,108909703.48,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.22,3.59,3.21,3.59,1507766400,40194510.51,134138765.77,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.29,3.34,3.29,3.32,1507777200,46650584.97,154109662.34,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.15,3.3,3.11,3.29,1507788000,201922340.24,642337285.88,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.12,3.16,3.07,3.15,1507798800,100002100.24,312557188.94,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.25,3.33,3.01,3.04,1507809600,87882058.53,280625991.72,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.09,3.1,3.02,3.09,1507820400,185628999.91,567776561.61,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.22,3.23,3.03,3.07,1507831200,105844080.56,331443166.89,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.22,3.29,3.12,3.14,1507842000,80524720.38,256977326.46,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.05,3.28,2.96,3.12,1507852800,263149910.69,814143236.07,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.34,3.35,2.99,3.06,1507863600,236334088.24,748007528.92,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.24,3.38,3.19,3.34,1507874400,165009314.03,540218671.63,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.24,3.28,3.19,3.24,1507885200,96262744.5,311151632.78,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.13,3.23,3.0,3.0,1507896000,143260791.11,446277218.02,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.05,3.18,3.03,3.14,1507906800,101523495.92,317450726.7,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.16,3.27,3.02,3.02,1507917600,148038391.66,470578819.29,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
2.95,3.04,2.88,3.01,1507928400,57897571.02,170358998.51,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.03,3.07,3.01,3.04,1507939200,49746598.31,151338033.88,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.06,3.07,3.01,3.03,1507950000,41502717.66,126230125.37,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.24,3.27,3.04,3.06,1507960800,39251359.01,122763909.83,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.21,3.27,3.18,3.24,1507971600,72445077.82,233449942.42,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.18,3.28,3.17,3.25,1507982400,64571788.65,208019817.53,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.17,3.27,3.16,3.18,1507993200,56588649.36,181537341.69,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.2,3.21,2.89,2.9,1508004000,43514482.34,131815028.18,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.0,3.2,2.99,3.2,1508014800,66792496.7,202015849.39,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.17,3.22,3.17,3.2,1508025600,56815556.96,181452857.71,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.21,3.24,3.18,3.18,1508036400,50172142.88,161659337.78,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.32,3.36,3.2,3.21,1508047200,106081735.06,350072352.22,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.4,3.4,3.32,3.32,1508058000,132281247.49,444734197.05,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.17,3.41,3.17,3.4,1508068800,64986981.66,212214207.73,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
3.23,3.36,3.19,3.34,1508079600,43042948.37,140639970.9,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
2.92,3.07,2.92,3.06,1508090400,9297515.66,28448560.94,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
2.95,3.27,2.92,3.27,1508101200,108492980.93,335250699.84,1,JordanManual,CCCAGG,PEN,2017-12-28 17:49:23.001416
