close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.3471,0.3475,0.3262,0.3475,1507312800,36401.43,12564.23,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3323,0.3474,0.3157,0.3474,1507323600,28632.1,9483.3,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3291,0.3332,0.3291,0.3332,1507334400,3741.56,1234.68,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3308,0.3317,0.3278,0.3293,1507345200,3113.81,1030.25,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3263,0.3285,0.326,0.3285,1507356000,399.01,130.37,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3251,0.3269,0.3237,0.3262,1507366800,2000.3,652.65,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3186,0.3275,0.314,0.3261,1507377600,15745.91,5060.61,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3254,0.3262,0.3177,0.3188,1507388400,1136.55,364.63,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3193,0.3248,0.3167,0.3248,1507399200,2573.48,821.85,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3186,0.32,0.3078,0.3198,1507410000,5626.2,1763.7,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3137,0.3197,0.3137,0.3196,1507420800,2008.92,632.3,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3188,0.3191,0.3135,0.3143,1507431600,2353.8,744.01,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3219,0.3379,0.3166,0.3201,1507442400,8186.7,2627.67,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
0.3209,0.3226,0.3154,0.3218,1507453200,2586.85,828.52,1,JordanManual,CCCAGG,PKB,2017-12-28 17:52:09.978419
