close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.2982,0.2989,0.2261,0.2989,1507312800,4026.54,1199.28,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.3046,0.3046,0.2973,0.2985,1507323600,1709.45,518.48,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.1871,0.3089,0.1871,0.3061,1507334400,10210.51,2397.11,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.3062,0.3062,0.1852,0.1859,1507345200,1310.53,399.32,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2887,0.3037,0.245,0.3037,1507356000,249.5,66.15,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.1952,0.2891,0.1952,0.2891,1507366800,4017.86,784.89,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.3057,0.3057,0.1963,0.1963,1507377600,109.1,33.13,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2933,0.3062,0.2933,0.3062,1507388400,1.0,0.2933,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2002,0.2932,0.2002,0.2932,1507399200,797.53,159.98,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2023,0.204,0.2,0.2,1507410000,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2943,0.2943,0.2025,0.2025,1507420800,435.06,128.04,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2936,0.2942,0.2933,0.2942,1507431600,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2368,0.2944,0.2368,0.2943,1507442400,1010.0,239.17,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.218,0.2366,0.2179,0.2366,1507453200,1296.0,282.4,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2188,0.2188,0.2176,0.2176,1507464000,348.92,75.92,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2185,0.2193,0.2185,0.2193,1507474800,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2178,0.2185,0.2178,0.2183,1507485600,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2166,0.2171,0.2165,0.2171,1507496400,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2147,0.2151,0.2147,0.2148,1507507200,1894.44,407.49,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2165,0.2165,0.2135,0.2135,1507518000,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2131,0.2137,0.2131,0.2137,1507528800,79.75,17.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2289,0.2294,0.2136,0.2136,1507539600,10987.11,2513.85,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.225,0.2283,0.225,0.2283,1507550400,800.0,182.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2195,0.2244,0.2195,0.224,1507561200,3401.33,761.9,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2208,0.2208,0.2188,0.2188,1507572000,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2227,0.2242,0.2226,0.2242,1507582800,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2205,0.2223,0.2205,0.2218,1507593600,12.0,2.65,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2224,0.2224,0.2208,0.2212,1507604400,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2213,0.2218,0.2207,0.2218,1507615200,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2222,0.2228,0.2219,0.2219,1507626000,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.226,0.226,0.225,0.225,1507636800,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2248,0.2276,0.2248,0.2262,1507647600,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2232,0.2247,0.2224,0.2247,1507658400,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2221,0.2231,0.2219,0.2231,1507669200,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.224,0.224,0.2228,0.2228,1507680000,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
0.2245,0.2245,0.224,0.224,1507690800,0.0,0.0,1,JordanManual,CCCAGG,REX,2017-12-28 18:55:51.791077
