close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.5505,0.5562,0.548,0.5515,1507312800,15329.61,8439.67,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.56,0.56,0.551,0.551,1507323600,11401.87,6362.08,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5621,0.5638,0.5547,0.5616,1507334400,38922.57,21899.55,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5564,0.5661,0.5499,0.5625,1507345200,26848.42,15053.5,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5364,0.5551,0.5329,0.5525,1507356000,32677.5,17640.23,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5052,0.5363,0.5034,0.5363,1507366800,53787.89,27881.5,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5151,0.5198,0.5058,0.5067,1507377600,10539.07,5391.84,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.526,0.5324,0.5094,0.5154,1507388400,43335.6,22740.58,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5344,0.5348,0.5133,0.525,1507399200,11675.86,6103.4,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5279,0.5456,0.5279,0.5353,1507410000,38464.6,20479.78,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5341,0.5378,0.5231,0.5296,1507420800,22289.46,11821.16,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5176,0.5351,0.5095,0.5351,1507431600,35200.86,18053.26,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5227,0.5227,0.5104,0.5198,1507442400,22092.54,11508.47,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5201,0.5227,0.5176,0.5225,1507453200,18711.97,9737.51,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5141,0.5272,0.5137,0.5206,1507464000,31862.09,16456.38,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5144,0.5239,0.5135,0.5193,1507474800,53352.79,27570.9,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5042,0.5275,0.5005,0.512,1507485600,121430.16,61906.17,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5008,0.5128,0.5008,0.5045,1507496400,51569.31,25861.14,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5016,0.5035,0.4975,0.4984,1507507200,12075.43,6032.68,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5076,0.5178,0.4929,0.5032,1507518000,35432.21,17752.79,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5067,0.5136,0.5009,0.5027,1507528800,23036.85,11572.02,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
0.5089,0.513,0.4988,0.5082,1507539600,31723.99,16127.3,1,JordanManual,CCCAGG,RLC,2017-12-28 17:52:08.426844
