close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
4.04,4.41,3.76,3.97,1507312800,9586.62,38321.12,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.95,4.07,2.64,4.04,1507323600,8535.61,33530.55,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.65,4.05,3.61,3.97,1507334400,29340.25,109205.44,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.62,4.43,3.52,3.63,1507345200,28950.37,106570.38,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.4,3.89,3.39,3.59,1507356000,24597.66,84867.52,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.55,4.26,3.4,3.4,1507366800,10528.71,37479.62,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.42,4.62,3.34,3.57,1507377600,21081.12,73262.04,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.2,3.59,3.03,3.42,1507388400,29858.03,94356.35,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.28,3.32,3.12,3.19,1507399200,8362.8,26849.82,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.32,4.08,2.96,3.27,1507410000,40631.67,133780.24,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.38,3.39,2.97,3.32,1507420800,14362.46,48092.21,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.57,3.65,3.34,3.38,1507431600,25462.43,90555.67,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.52,3.94,3.47,3.58,1507442400,13318.39,47231.04,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.42,3.58,3.42,3.52,1507453200,16657.53,57478.75,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.45,6527.89,3.23,3.41,1507464000,8882.21,10261852.13,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.53,5.23,2.34,3.46,1507474800,18540.48,65082.17,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.69,3.98,3.46,3.53,1507485600,26236.74,96668.25,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.52,3.68,2.54,3.68,1507496400,10131.05,35845.86,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
5.42,549.98,3.24,3.49,1507507200,14768.41,57589.55,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.23,5.46,3.19,5.39,1507518000,12425.51,40850.23,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.08,3.32,3.03,3.19,1507528800,17310.62,54036.13,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
3.1,3.36,2.99,3.09,1507539600,12333.97,37679.39,1,JordanManual,CCCAGG,SALT,2017-12-28 18:55:50.750721
