close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
3.87,3.87,3.55,3.55,1507312800,0.001,0.00387,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.87,3.87,3.87,3.87,1507323600,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.89,3.89,3.6,3.87,1507334400,9.344,36.17556,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.89,3.89,3.89,3.89,1507345200,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.55,3.89,3.55,3.89,1507356000,0.11,0.3905,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
4.11,4.11,3.55,3.55,1507366800,31.59,124.47,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
4.11,4.11,4.11,4.11,1507377600,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
4.0,4.11,4.0,4.11,1507388400,0.058,0.232,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.85,4.17,3.66,4.0,1507399200,34.67,130.21,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.85,3.85,3.85,3.85,1507410000,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.85,3.85,3.85,3.85,1507420800,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.85,3.85,3.85,3.85,1507431600,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.85,3.85,3.85,3.85,1507442400,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.85,3.85,3.85,3.85,1507453200,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.88,3.88,3.83,3.85,1507464000,26.4,101.17,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.85,3.88,3.85,3.88,1507474800,41.83,161.06,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.85,3.85,3.85,3.85,1507485600,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.35,3.85,3.2,3.85,1507496400,187.55,643.93,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.6,3.6,3.35,3.35,1507507200,97.331,346.50359,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.5,3.8,3.42,3.6,1507518000,470.52,1652.19,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.25,3.64,3.25,3.5,1507528800,184.24,625.1,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.25,3.25,3.25,3.25,1507539600,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.51,3.51,3.25,3.25,1507550400,3.56,12.48,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.51,3.51,3.51,3.51,1507561200,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.12,3.51,2.86,3.51,1507572000,66.74,205.85,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.12,3.12,3.12,3.12,1507582800,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.46,3.46,3.09,3.12,1507593600,316.387,1025.10422,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.46,3.46,3.46,3.46,1507604400,22.89,79.21,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.56,3.56,3.46,3.46,1507615200,11.073,38.6375,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.26,3.56,3.25,3.56,1507626000,36.04,119.83,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.28,3.54,3.26,3.26,1507636800,93.34,320.67,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.5,3.5,3.28,3.28,1507647600,0.166,0.581,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.39,3.54,3.31,3.5,1507658400,4.045,13.46,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.3,3.39,3.3,3.39,1507669200,10.0,33.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.3,3.3,3.3,3.3,1507680000,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.3,3.3,3.3,3.3,1507690800,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.35,3.35,3.3,3.3,1507701600,10.57,35.59,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.31,3.58,3.2,3.35,1507712400,175.327,576.18,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.38,3.38,3.31,3.31,1507723200,4.89,16.53,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.38,3.38,3.38,3.38,1507734000,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.31,3.38,3.31,3.38,1507744800,14.62,48.39,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.62,3.62,3.31,3.31,1507755600,6.48,22.47,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.33,3.62,3.33,3.62,1507766400,0.013,0.04363,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.33,3.33,3.33,3.33,1507777200,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.31,3.33,3.22,3.33,1507788000,0.151,0.49988,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.21,3.46,3.21,3.31,1507798800,53.001,173.29346,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.21,3.21,3.21,3.21,1507809600,4.12,13.17,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.21,3.25,3.17,3.21,1507820400,46.91,150.74,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.21,3.21,3.21,3.21,1507831200,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.12,3.21,3.12,3.21,1507842000,5.31,16.56,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.29,3.29,3.07,3.12,1507852800,8.3525,25.1482,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.0,3.29,3.0,3.29,1507863600,35.85,107.55,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.0,3.0,3.0,3.0,1507874400,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.0,3.0,3.0,3.0,1507885200,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.15,3.54,3.0,3.0,1507896000,43.8,140.1,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.19,3.3,3.01,3.15,1507906800,47.945,152.9456,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.12,3.19,3.1,3.19,1507917600,324.72,1006.85,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.11,3.12,2.5,3.12,1507928400,172.41,456.37,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.0,3.11,3.0,3.11,1507939200,0.112,0.336,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.0,3.0,3.0,3.0,1507950000,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.97,3.43,2.97,3.0,1507960800,39.19,124.51,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.15,3.15,2.97,2.97,1507971600,26.14,82.32,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.1,3.15,2.84,3.15,1507982400,64.483,190.26,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.92,3.1,2.92,3.1,1507993200,2.0,5.84,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.67,2.92,2.67,2.92,1508004000,3.68,10.68,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.99,2.99,2.67,2.67,1508014800,0.061,0.17823,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.99,2.99,2.99,2.99,1508025600,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.87,2.99,2.87,2.99,1508036400,0.07,0.2009,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.77,2.87,2.73,2.87,1508047200,63.76,179.14,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.77,2.77,2.77,2.77,1508058000,7.49,20.73,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.77,2.77,2.77,2.77,1508068800,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.07,3.07,2.77,2.77,1508079600,7.13,21.89,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.07,3.07,3.07,3.07,1508090400,1.35,4.14,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.7,3.07,2.7,3.06,1508101200,39.89,118.52,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.15,3.15,2.7,2.7,1508112000,0.002,0.0063,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.15,3.15,3.15,3.15,1508122800,0.02,0.063,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.15,3.15,3.15,3.15,1508133600,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.15,3.15,3.15,3.15,1508144400,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.11,3.2,3.11,3.15,1508155200,112.11,357.6,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.11,3.11,3.11,3.11,1508166000,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.15,3.4,2.94,3.08,1508176800,21.58,73.26,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.96,3.17,2.96,3.17,1508187600,4.41,13.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.84,2.96,2.84,2.96,1508198400,1.0,2.84,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.85,2.85,2.84,2.84,1508209200,1.08,3.12,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.85,2.85,2.85,2.85,1508220000,1.17,3.39,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.06,3.06,2.83,2.85,1508230800,8.16,24.08,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.45,3.45,3.06,3.06,1508241600,5.0,17.25,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.06,3.07,3.06,3.07,1508252400,35.47,108.56,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.85,3.06,2.85,3.06,1508263200,0.714,2.17975,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.85,2.85,2.85,2.85,1508274000,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.85,2.85,2.85,2.85,1508284800,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.85,2.85,2.85,2.85,1508295600,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.27,3.27,2.85,2.85,1508306400,59.87,183.25,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.88,3.27,2.88,3.27,1508317200,9.24,28.97,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
2.88,2.97,2.88,2.88,1508328000,8.3675,24.82,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.27,3.27,2.88,2.88,1508338800,5.0,16.72,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.27,3.27,3.27,3.27,1508349600,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.15,3.45,3.15,3.27,1508360400,1.47,5.06,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.4,3.4,3.15,3.15,1508371200,0.002,0.0068,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.35,3.4,3.35,3.4,1508382000,5.97,19.96,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.35,3.35,3.35,3.35,1508392800,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.35,3.35,3.35,3.35,1508403600,0.87,2.91,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.35,3.35,3.35,3.35,1508414400,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.09,3.35,3.09,3.35,1508425200,0.048,0.1478,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.09,3.09,3.09,3.09,1508436000,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.09,3.09,3.09,3.09,1508446800,0.0,0.0,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.25,3.25,3.09,3.09,1508457600,1.0,3.25,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.0,3.25,3.0,3.25,1508468400,0.109,0.327,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
3.36,3.36,3.0,3.0,1508479200,8.236,27.03,1,JordanManual,CCCAGG,STRAT,2017-12-28 17:48:31.743059
