close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.4937,0.4996,0.4937,0.4945,1507312800,13077.48,6494.85,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.4888,0.5028,0.4822,0.4941,1507323600,15416.99,7612.79,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.4883,0.4945,0.4874,0.4901,1507334400,17437.17,8561.12,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.485,0.4908,0.4829,0.4886,1507345200,15704.58,7629.78,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.482,0.4847,0.4795,0.4816,1507356000,17952.56,8653.71,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.4714,0.4841,0.4677,0.4819,1507366800,18928.14,9040.7,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.4712,0.475,0.4694,0.4728,1507377600,11862.39,5599.2,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.4035,0.4729,0.309,0.4715,1507388400,110008.23,43392.87,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.4041,0.4053,0.4017,0.4027,1507399200,10043.42,4063.92,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.4062,0.4154,0.4026,0.4047,1507410000,24762.29,10107.18,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3858,0.4079,0.3857,0.4076,1507420800,31009.43,11984.07,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3987,0.4228,0.3865,0.3865,1507431600,36296.53,14665.62,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3967,0.4003,0.3946,0.4003,1507442400,14799.31,5880.54,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.393,0.3989,0.3914,0.3966,1507453200,15609.9,6163.31,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3912,0.3979,0.3912,0.3933,1507464000,12800.97,5024.38,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3954,0.3991,0.3902,0.3951,1507474800,17656.07,6951.46,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3937,0.4012,0.3924,0.3935,1507485600,19087.57,7553.12,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3973,0.3987,0.3939,0.3939,1507496400,20928.19,8311.71,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3979,0.3994,0.3939,0.3954,1507507200,17175.83,6810.4,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.395,0.3992,0.3932,0.3992,1507518000,16507.41,6534.37,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3908,0.396,0.3896,0.3912,1507528800,21665.9,8497.45,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3951,0.3997,0.3907,0.3919,1507539600,23917.59,9446.97,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.359,0.3949,0.2447,0.3949,1507550400,52886.25,18854.96,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3554,0.3597,0.352,0.3579,1507561200,20403.61,7244.75,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.359,0.3645,0.3517,0.3589,1507572000,26737.92,9503.61,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3522,0.3598,0.3512,0.3565,1507582800,22159.59,7835.84,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3484,0.3593,0.345,0.3585,1507593600,20635.55,7208.22,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3484,0.3513,0.3444,0.3459,1507604400,21295.93,7407.68,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3433,0.3492,0.3411,0.3492,1507615200,27397.18,9448.94,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3421,0.3445,0.3411,0.3424,1507626000,21610.73,7405.55,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3359,0.3448,0.3354,0.3448,1507636800,17313.44,5858.91,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.334,0.343,0.334,0.3363,1507647600,23707.18,7985.0,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3358,0.336,0.3324,0.3328,1507658400,15498.28,5193.61,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3337,0.3356,0.3316,0.3326,1507669200,23878.64,7979.91,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3343,0.3353,0.3295,0.3319,1507680000,22123.32,7357.76,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.331,0.3324,0.3284,0.3317,1507690800,24264.72,8016.72,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3351,0.3365,0.3317,0.3317,1507701600,21236.67,7090.81,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3334,0.3357,0.332,0.3343,1507712400,27598.25,9222.66,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3028,0.334,0.3009,0.3312,1507723200,34683.05,10797.56,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.3003,0.3089,0.299,0.3068,1507734000,28188.08,8495.34,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.2969,0.3025,0.2415,0.3003,1507744800,63137.66,18809.39,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
0.2711,0.2955,0.2693,0.2955,1507755600,42166.44,11478.81,1,JordanManual,CCCAGG,VSL,2017-12-28 17:49:13.687950
