close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.6369,0.6435,0.6369,0.6415,1514388240,26491.76,16879.5,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6433,0.6446,0.6383,0.6383,1514388420,1023.17,658.75,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6414,0.6416,0.6352,0.6416,1514388600,6652.91,4240.39,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6373,0.6438,0.6373,0.6438,1514388780,42120.45,26860.8,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6276,0.6347,0.6213,0.6347,1514388960,61979.95,39123.53,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6361,0.6367,0.6218,0.6218,1514389140,28008.53,17812.22,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6311,0.6354,0.6309,0.635,1514389320,25138.34,15894.19,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6316,0.6316,0.6303,0.6305,1514389500,6002.87,3784.64,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6334,0.6334,0.6316,0.6316,1514389680,6165.18,3903.46,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6391,0.6391,0.6381,0.6381,1514389860,10183.57,6498.43,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6337,0.6391,0.6322,0.6391,1514390040,34449.0,21817.64,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.643,0.6431,0.6337,0.6337,1514390220,8417.45,5353.46,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6415,0.6425,0.6145,0.6425,1514390400,80702.54,51645.65,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6295,0.6402,0.6285,0.6388,1514390580,49927.29,31426.58,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6215,0.629,0.6163,0.629,1514390760,18081.76,11313.25,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.623,0.6259,0.6216,0.6216,1514390940,15715.19,9777.84,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6148,0.6217,0.6148,0.62,1514391120,13264.38,8185.93,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.619,0.6227,0.6143,0.6145,1514391300,10093.19,6264.54,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6225,0.6225,0.6185,0.6194,1514391480,10156.39,6287.33,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6247,0.6247,0.6194,0.6224,1514391660,8977.8,5601.71,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6314,0.6338,0.6245,0.6245,1514391840,10854.78,6823.44,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6268,0.6275,0.6255,0.6275,1514392020,17226.73,10809.3,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6205,0.6245,0.6163,0.6245,1514392200,12685.47,7897.0,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6123,0.6209,0.6123,0.6206,1514392380,12620.78,7757.55,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6085,0.6131,0.6083,0.6129,1514392560,10087.03,6171.07,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6116,0.6116,0.607,0.6072,1514392740,32797.5,19911.28,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6126,0.6132,0.608,0.608,1514392920,86501.32,52973.15,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6115,0.6115,0.6106,0.6106,1514393100,86101.91,52574.24,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6174,0.6176,0.613,0.613,1514393280,17321.97,10630.87,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6117,0.6162,0.6115,0.6162,1514393460,2373.4,1457.79,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6098,0.611,0.6075,0.611,1514393640,3416.39,2086.14,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6124,0.6137,0.6087,0.6137,1514393820,2204.56,1351.57,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6066,0.6121,0.6066,0.6121,1514394000,2300.53,1402.85,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6056,0.6076,0.6037,0.6037,1514394180,35594.89,21538.8,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.609,0.609,0.6026,0.6026,1514394360,1267.31,765.02,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6131,0.6137,0.6095,0.6095,1514394540,22065.05,13500.7,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6125,0.6146,0.6125,0.6145,1514394720,287.56,176.73,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
0.6119,0.6133,0.6119,0.6119,1514394900,10316.46,6320.69,1,JordanManual,CCCAGG,AMP,2017-12-28 17:43:09.282419
