close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.5182,0.5183,0.5177,0.5177,1514395080,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5191,0.5191,0.5179,0.5179,1514395260,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5201,0.5201,0.5197,0.52,1514395440,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5232,0.5232,0.5217,0.5217,1514395620,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5223,0.5234,0.5213,0.5234,1514395800,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5235,0.5235,0.5228,0.5233,1514395980,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5252,0.5255,0.5244,0.5244,1514396160,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5259,0.526,0.5251,0.5251,1514396340,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5214,0.5256,0.5214,0.5256,1514396520,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5219,0.5223,0.5205,0.5205,1514396700,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5241,0.5241,0.5225,0.5225,1514396880,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5252,0.5252,0.5249,0.5249,1514397060,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5265,0.5265,0.5251,0.5251,1514397240,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.524,0.5259,0.524,0.5258,1514397420,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5257,0.5257,0.5244,0.5244,1514397600,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
0.5263,0.5263,0.5258,0.5263,1514397780,0.0,0.0,1,JordanManual,CCCAGG,ATB,2017-12-28 19:36:41.427124
