close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
3.12,3.16,3.12,3.16,1514392380,138.43,436.24,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.1,3.12,3.1,3.12,1514392560,223.49,694.15,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.12,3.12,3.1,3.1,1514392740,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.13,3.13,3.11,3.11,1514392920,20.0,62.4,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.12,3.12,3.12,3.12,1514393100,52.89,165.02,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.12,3.13,3.12,3.13,1514393280,52.89,165.55,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.11,3.13,3.11,3.13,1514393460,1137.37,3537.27,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.09,3.11,3.09,3.11,1514393640,203.06,630.07,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.1,3.1,3.09,3.1,1514393820,112.54,348.83,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.07,3.1,3.07,3.1,1514394000,17.59,54.18,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.06,3.07,3.06,3.06,1514394180,269.3,825.76,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.08,3.08,3.05,3.05,1514394360,93.39,285.77,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.1,3.1,3.08,3.08,1514394540,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.1,3.11,3.1,3.11,1514394720,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.48,3.49,3.09,3.09,1514394900,10.0,34.9,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.49,3.49,3.48,3.48,1514395080,144.35,503.17,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.49,3.49,3.49,3.49,1514395260,246.48,860.21,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.5,3.5,3.5,3.5,1514395440,244.24,854.85,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.52,3.52,3.51,3.51,1514395620,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.51,3.52,3.51,3.52,1514395800,1740.45,6108.98,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.52,3.52,3.52,3.52,1514395980,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.53,3.54,3.53,3.53,1514396160,161.79,571.92,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.54,3.54,3.53,3.53,1514396340,480.19,1698.59,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.51,3.54,3.51,3.54,1514396520,23.61,82.87,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.51,3.52,3.5,3.5,1514396700,1874.95,6591.72,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.53,3.53,3.52,3.52,1514396880,207.75,731.28,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.53,3.53,3.53,3.53,1514397060,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.54,3.54,3.53,3.53,1514397240,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.53,3.54,3.53,3.54,1514397420,2013.16,7118.56,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.54,3.54,3.53,3.53,1514397600,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.54,3.54,3.54,3.54,1514397780,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.57,3.57,3.54,3.54,1514397960,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.58,3.58,3.57,3.57,1514398140,4.31,15.43,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.58,3.58,3.57,3.57,1514398320,101.37,362.9,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.57,3.57,3.57,3.57,1514398500,23.53,84.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.57,3.58,3.57,3.57,1514398680,73.45,262.62,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.58,3.58,3.58,3.58,1514398860,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.55,3.58,3.55,3.58,1514399040,245.35,871.96,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.53,3.54,3.53,3.54,1514399220,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.47,3.48,3.47,3.47,1514399400,72.48,251.51,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.45,3.46,3.45,3.46,1514399580,15.76,54.49,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.47,3.47,3.47,3.47,1514399760,500.0,1735.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
3.49,3.49,3.48,3.48,1514399940,0.0,0.0,1,JordanManual,CCCAGG,BIS,2017-12-28 18:52:06.278265
