close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.579,0.579,0.5782,0.5782,1514382660,26.88,15.54,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5791,0.5791,0.5788,0.5788,1514382840,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5793,0.5793,0.5792,0.5792,1514383020,500.0,289.62,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5794,0.5794,0.5792,0.5792,1514383200,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5785,0.5787,0.5785,0.5787,1514383380,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5775,0.5782,0.577,0.5782,1514383560,5e-06,2.89e-06,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5773,0.5775,0.5773,0.5775,1514383740,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5767,0.577,0.5765,0.577,1514383920,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5772,0.5772,0.577,0.577,1514384100,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5873,0.5873,0.5774,0.5774,1514384280,128.57,75.51,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5824,0.5874,0.5824,0.5874,1514384460,2316.53,1351.78,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5822,0.5822,0.5821,0.5821,1514384640,1313.69,764.71,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5824,0.5824,0.5819,0.5821,1514384820,502.0,292.21,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5815,0.5821,0.5815,0.5821,1514385000,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5812,0.5815,0.581,0.5815,1514385180,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.579,0.5802,0.579,0.5802,1514385360,5.4,3.13,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5748,0.5766,0.5748,0.5766,1514385540,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5736,0.5755,0.5736,0.5755,1514385720,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5715,0.5728,0.571,0.5728,1514385900,2345.96,1343.77,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5723,0.5724,0.571,0.571,1514386080,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.57,0.5718,0.57,0.5718,1514386260,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5688,0.5706,0.5684,0.5706,1514386440,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.5648,0.5692,0.5648,0.5692,1514386620,1.0,0.5651,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.6163,0.6189,0.5641,0.5641,1514386800,4491.67,2779.89,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.6123,0.6152,0.6123,0.6152,1514386980,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
0.6157,0.6157,0.6125,0.6125,1514387160,0.0,0.0,1,JordanManual,CCCAGG,CAG,2017-12-28 16:12:08.926868
