close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.109,0.109,0.1087,0.1087,1514388240,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1095,0.1095,0.1093,0.1093,1514388420,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1106,0.1106,0.1091,0.1091,1514388600,0.23,0.02544,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1109,0.111,0.1108,0.1108,1514388780,0.21,0.02331,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1105,0.1108,0.1105,0.1108,1514388960,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1106,0.1106,0.1105,0.1105,1514389140,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1104,0.1104,0.1103,0.1104,1514389320,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1105,0.1105,0.1103,0.1104,1514389500,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1107,0.1107,0.1106,0.1106,1514389680,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1108,0.1108,0.1108,0.1108,1514389860,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1107,0.1108,0.1107,0.1108,1514390040,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1108,0.1108,0.1107,0.1107,1514390220,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.111,0.111,0.1108,0.1108,1514390400,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1113,0.1113,0.1111,0.1111,1514390580,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1111,0.1113,0.1111,0.1113,1514390760,0.0,0.0,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
0.1111,0.1112,0.1111,0.1112,1514390940,4.0,0.4444,1,JordanManual,CCCAGG,CAT*,2017-12-28 17:43:08.744473
