Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,Id.1.1.1.1.1,Id.1.1.1.1.1.1,Id.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03446,1,JordanManual,CCCAGG,0.03446,0.03443,0.03443,CTX,1514329740,2017-12-28 01:28:56.564450,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03447,1,JordanManual,CCCAGG,0.03447,0.03446,0.03446,CTX,1514329920,2017-12-28 01:28:56.564450,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.03443,1,JordanManual,CCCAGG,0.03446,0.03443,0.03446,CTX,1514330100,2017-12-28 01:28:56.564450,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0344,1,JordanManual,CCCAGG,0.0344,0.03439,0.03439,CTX,1514330280,2017-12-28 01:28:56.564450,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.03442,1,JordanManual,CCCAGG,0.03442,0.0344,0.0344,CTX,1514330460,2017-12-28 01:28:56.564450,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.03439,1,JordanManual,CCCAGG,0.03442,0.03439,0.03442,CTX,1514330640,2017-12-28 01:28:56.564450,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.03442,1,JordanManual,CCCAGG,0.03442,0.03441,0.03442,CTX,1514330820,2017-12-28 01:28:56.564450,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0345,1,JordanManual,CCCAGG,0.0345,0.03442,0.03442,CTX,1514331000,2017-12-28 01:28:56.564450,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.03453,1,JordanManual,CCCAGG,0.03453,0.03452,0.03452,CTX,1514331180,2017-12-28 01:28:56.564450,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.03454,1,JordanManual,CCCAGG,0.03455,0.03454,0.03455,CTX,1514331360,2017-12-28 01:28:56.564450,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.03458,1,JordanManual,CCCAGG,0.03458,0.03452,0.03454,CTX,1514331540,2017-12-28 01:28:56.564450,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.03461,1,JordanManual,CCCAGG,0.03461,0.03455,0.03455,CTX,1514331720,2017-12-28 01:28:56.564450,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.03464,1,JordanManual,CCCAGG,0.03464,0.03462,0.03462,CTX,1514331900,2017-12-28 01:28:56.564450,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.03466,1,JordanManual,CCCAGG,0.03466,0.03464,0.03464,CTX,1514332080,2017-12-28 01:28:56.564450,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.03471,1,JordanManual,CCCAGG,0.03471,0.03467,0.03467,CTX,1514332260,2017-12-28 01:28:56.564450,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.03476,1,JordanManual,CCCAGG,0.03476,0.03473,0.03473,CTX,1514332440,2017-12-28 01:28:56.564450,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.03478,1,JordanManual,CCCAGG,0.03478,0.03475,0.03475,CTX,1514332620,2017-12-28 01:28:56.564450,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0.03616,1,JordanManual,CCCAGG,0.0362,0.03471,0.03477,CTX,1514332800,2017-12-28 01:28:56.564450,2400.0,86.88
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.03617,1,JordanManual,CCCAGG,0.03618,0.03614,0.03614,CTX,1514332980,2017-12-28 01:28:56.564450,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.03616,1,JordanManual,CCCAGG,0.03617,0.03616,0.03616,CTX,1514333160,2017-12-28 01:28:56.564450,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.03618,1,JordanManual,CCCAGG,0.03618,0.03616,0.03616,CTX,1514333340,2017-12-28 01:28:56.564450,0.0,0.0
21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.03467,1,JordanManual,CCCAGG,0.03617,0.03467,0.03617,CTX,1514333520,2017-12-28 01:28:56.564450,20600.0,714.2
22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,0.03469,1,JordanManual,CCCAGG,0.03469,0.03468,0.03468,CTX,1514333700,2017-12-28 01:28:56.564450,0.0,0.0
23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,0.03468,1,JordanManual,CCCAGG,0.0347,0.03468,0.03469,CTX,1514333880,2017-12-28 01:28:56.564450,0.0,0.0
24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.03468,1,JordanManual,CCCAGG,0.03468,0.03465,0.03465,CTX,1514334060,2017-12-28 01:28:56.564450,0.0,0.0
25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0.03472,1,JordanManual,CCCAGG,0.03472,0.03469,0.0347,CTX,1514334240,2017-12-28 01:28:56.564450,0.0,0.0
26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,0.03481,1,JordanManual,CCCAGG,0.03481,0.03474,0.03474,CTX,1514334420,2017-12-28 01:28:56.564450,0.0,0.0
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,0.03565,1,JordanManual,CCCAGG,0.03568,0.03487,0.03487,CTX,1514334600,2017-12-28 01:28:56.564450,100.0,3.56
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,0.03568,1,JordanManual,CCCAGG,0.03568,0.03562,0.03565,CTX,1514334780,2017-12-28 01:28:56.564450,0.0,0.0
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,0.03569,1,JordanManual,CCCAGG,0.03569,0.03564,0.03564,CTX,1514334960,2017-12-28 01:28:56.564450,0.0,0.0
