Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,Id.1.1.1.1.1,Id.1.1.1.1.1.1,Id.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1,JordanManual,CCCAGG,1.2,1.2,1.2,DFT,1514357460,2017-12-28 09:11:10.777301,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1,JordanManual,CCCAGG,1.2,1.19,1.2,DFT,1514357640,2017-12-28 09:11:10.777301,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.2,1,JordanManual,CCCAGG,1.2,1.2,1.2,DFT,1514357820,2017-12-28 09:11:10.777301,10.0,12.0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.2,1,JordanManual,CCCAGG,1.2,1.2,1.2,DFT,1514358000,2017-12-28 09:11:10.777301,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.2,1,JordanManual,CCCAGG,1.2,1.2,1.2,DFT,1514358180,2017-12-28 09:11:10.777301,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.2,1,JordanManual,CCCAGG,1.2,1.2,1.2,DFT,1514358360,2017-12-28 09:11:10.777301,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.2,1,JordanManual,CCCAGG,1.2,1.2,1.2,DFT,1514358540,2017-12-28 09:11:10.777301,469.78,563.74
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1.19,1,JordanManual,CCCAGG,1.2,1.19,1.2,DFT,1514358720,2017-12-28 09:11:10.777301,191.32,227.86
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1.3,1,JordanManual,CCCAGG,1.3,1.19,1.19,DFT,1514358900,2017-12-28 09:11:10.777301,1796.55,2335.51
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1.52,1,JordanManual,CCCAGG,1.52,1.46,1.46,DFT,1514359080,2017-12-28 09:11:10.777301,3582.41,5263.76
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.57,1,JordanManual,CCCAGG,1.57,1.53,1.55,DFT,1514359260,2017-12-28 09:11:10.777301,2117.29,3324.15
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1.79,1,JordanManual,CCCAGG,1.79,1.63,1.63,DFT,1514359440,2017-12-28 09:11:10.777301,2027.02,3480.27
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,1.78,1,JordanManual,CCCAGG,1.79,1.78,1.79,DFT,1514359620,2017-12-28 09:11:10.777301,1320.59,2361.82
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,1.78,1,JordanManual,CCCAGG,1.78,1.78,1.78,DFT,1514359800,2017-12-28 09:11:10.777301,2138.11,3805.84
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,1.78,1,JordanManual,CCCAGG,1.78,1.77,1.78,DFT,1514359980,2017-12-28 09:11:10.777301,4721.73,8378.7
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,2.47,1,JordanManual,CCCAGG,2.47,1.78,1.78,DFT,1514360160,2017-12-28 09:11:10.777301,3774.61,7140.35
