Id,close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0,42.67,42.67,42.48,42.48,1514327580,364.08,15520.33,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
1,42.65,42.92,42.59,42.66,1514327760,299.8682,12772.14,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
2,43.53,43.53,42.7,42.7,1514327940,300.44,12983.16,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
3,43.43,43.71,43.41,43.51,1514328120,378.6527,16528.63,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
4,42.99,42.99,42.92,42.92,1514328300,56.3803138,2421.95348,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
5,43.5,43.5,43.06,43.06,1514328480,12.82,556.32,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
6,43.7,43.7,43.42,43.5,1514328660,79.69,3471.19,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
7,43.68,43.7,43.44,43.68,1514328840,72.69,3175.52,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
8,43.6,43.61,43.6,43.6,1514329020,288.94,12597.83,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
9,43.41,43.58,43.41,43.58,1514329200,324.74,14118.31,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
10,43.85,43.85,43.65,43.65,1514329380,888.29,38907.81,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
11,43.96,44.29,43.94,43.99,1514329560,155.57,6844.52,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
12,43.98,43.99,43.98,43.99,1514329740,123.66,5439.61,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
13,43.84,43.95,43.84,43.95,1514329920,117.99,5179.13,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
14,44.01,44.08,43.81,43.81,1514330100,242.94,10699.02,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
15,43.92,44.09,43.91,43.96,1514330280,43.84,1925.45,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
16,43.99,43.99,43.87,43.94,1514330460,127.69257,5615.69,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
17,44.26,44.26,43.93,43.99,1514330640,213.63,9418.52,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
18,44.2,44.24,44.15,44.24,1514330820,345.1,15257.23,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
19,44.08,44.08,43.82,43.98,1514331000,1548.31,67928.88,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
20,44.44,44.44,44.08,44.19,1514331180,1314.69,58413.9,1,JordanManual,CCCAGG,FCT,2017-12-28 00:52:58.935949
