Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,Id.1.1.1.1.1,Id.1.1.1.1.1.1,Id.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1.1.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0573,1,JordanManual,CCCAGG,0.05731,0.0573,0.0573,FLVR,1514357280,2017-12-28 09:07:09.567809,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05728,1,JordanManual,CCCAGG,0.05732,0.05728,0.05732,FLVR,1514357460,2017-12-28 09:07:09.567809,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.05728,1,JordanManual,CCCAGG,0.05729,0.05728,0.05729,FLVR,1514357640,2017-12-28 09:07:09.567809,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0574,1,JordanManual,CCCAGG,0.0574,0.05722,0.05722,FLVR,1514357820,2017-12-28 09:07:09.567809,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.05746,1,JordanManual,CCCAGG,0.05746,0.05742,0.05742,FLVR,1514358000,2017-12-28 09:07:09.567809,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.05745,1,JordanManual,CCCAGG,0.05747,0.05745,0.05746,FLVR,1514358180,2017-12-28 09:07:09.567809,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.05749,1,JordanManual,CCCAGG,0.05749,0.05747,0.05747,FLVR,1514358360,2017-12-28 09:07:09.567809,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.05746,1,JordanManual,CCCAGG,0.05748,0.05746,0.05748,FLVR,1514358540,2017-12-28 09:07:09.567809,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.05743,1,JordanManual,CCCAGG,0.05746,0.05743,0.05746,FLVR,1514358720,2017-12-28 09:07:09.567809,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.05739,1,JordanManual,CCCAGG,0.05743,0.05737,0.05743,FLVR,1514358900,2017-12-28 09:07:09.567809,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.05737,1,JordanManual,CCCAGG,0.05737,0.05737,0.05737,FLVR,1514359080,2017-12-28 09:07:09.567809,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.05741,1,JordanManual,CCCAGG,0.05741,0.05738,0.05738,FLVR,1514359260,2017-12-28 09:07:09.567809,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.05744,1,JordanManual,CCCAGG,0.05745,0.05742,0.05742,FLVR,1514359440,2017-12-28 09:07:09.567809,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0574,1,JordanManual,CCCAGG,0.05744,0.0574,0.05744,FLVR,1514359620,2017-12-28 09:07:09.567809,0.0,0.0
14,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,0.05735,1,JordanManual,CCCAGG,0.05745,0.05734,0.05745,FLVR,1514359800,2017-12-28 09:07:09.567809,0.0,0.0
15,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0.05739,1,JordanManual,CCCAGG,0.05739,0.05734,0.05734,FLVR,1514359980,2017-12-28 09:07:09.567809,0.0,0.0
16,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,0.0574,1,JordanManual,CCCAGG,0.0574,0.05739,0.05739,FLVR,1514360160,2017-12-28 09:07:09.567809,0.0,0.0
17,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,0.05735,1,JordanManual,CCCAGG,0.05739,0.05735,0.05739,FLVR,1514360340,2017-12-28 09:07:09.567809,0.0,0.0
18,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,0.05738,1,JordanManual,CCCAGG,0.05738,0.05737,0.05737,FLVR,1514360520,2017-12-28 09:07:09.567809,0.0,0.0
19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,0.05727,1,JordanManual,CCCAGG,0.05736,0.05727,0.05735,FLVR,1514360700,2017-12-28 09:07:09.567809,0.0,0.0
20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,0.05736,1,JordanManual,CCCAGG,0.05736,0.0573,0.0573,FLVR,1514360880,2017-12-28 09:07:09.567809,0.0,0.0
