close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.3688,0.3692,0.3687,0.3687,1514388420,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3676,0.3679,0.3676,0.3679,1514388600,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3685,0.3691,0.3685,0.369,1514388780,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3666,0.3679,0.3666,0.3679,1514388960,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3666,0.3671,0.3666,0.3671,1514389140,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3659,0.3659,0.3651,0.3659,1514389320,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.366,0.366,0.3654,0.3656,1514389500,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.367,0.367,0.3663,0.3663,1514389680,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3673,0.3673,0.3668,0.3668,1514389860,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3671,0.3673,0.3671,0.3673,1514390040,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3677,0.3677,0.3671,0.3671,1514390220,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.369,0.369,0.3674,0.3674,1514390400,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3699,0.3699,0.3693,0.3693,1514390580,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3693,0.3696,0.3691,0.3696,1514390760,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3691,0.3694,0.3691,0.3694,1514390940,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3685,0.369,0.3685,0.369,1514391120,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3679,0.3683,0.3679,0.3683,1514391300,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3684,0.3684,0.3682,0.3682,1514391480,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3686,0.3686,0.3686,0.3686,1514391660,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3688,0.3688,0.3683,0.3683,1514391840,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3653,0.3666,0.3653,0.3666,1514392020,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.362,0.364,0.362,0.364,1514392200,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3569,0.362,0.3569,0.362,1514392380,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3552,0.3572,0.3552,0.3572,1514392560,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3571,0.3571,0.3544,0.3544,1514392740,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3576,0.3576,0.3555,0.3555,1514392920,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.357,0.357,0.3564,0.3564,1514393100,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3574,0.3578,0.3574,0.3578,1514393280,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3556,0.3578,0.3556,0.3578,1514393460,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3531,0.3552,0.3531,0.3552,1514393640,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3546,0.3546,0.3538,0.3546,1514393820,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3511,0.3542,0.3511,0.3542,1514394000,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3506,0.3517,0.3495,0.3495,1514394180,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3521,0.3521,0.349,0.349,1514394360,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3547,0.3547,0.3524,0.3524,1514394540,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3544,0.3556,0.3544,0.3556,1514394720,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3537,0.3545,0.3537,0.3541,1514394900,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3545,0.3545,0.3542,0.3542,1514395080,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3551,0.3551,0.3543,0.3543,1514395260,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3558,0.3558,0.3555,0.3557,1514395440,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3579,0.3579,0.3569,0.3569,1514395620,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3573,0.3581,0.3566,0.3581,1514395800,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3581,0.3581,0.3576,0.358,1514395980,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3593,0.3595,0.3587,0.3587,1514396160,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3597,0.3598,0.3592,0.3592,1514396340,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3567,0.3596,0.3567,0.3596,1514396520,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.357,0.3573,0.356,0.356,1514396700,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3585,0.3585,0.3574,0.3574,1514396880,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3592,0.3592,0.359,0.3591,1514397060,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3602,0.3602,0.3592,0.3592,1514397240,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3585,0.3597,0.3585,0.3597,1514397420,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3596,0.3596,0.3587,0.3587,1514397600,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.36,0.36,0.3597,0.36,1514397780,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3628,0.3628,0.3602,0.3602,1514397960,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3635,0.3639,0.3634,0.3634,1514398140,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3641,0.3641,0.3631,0.3631,1514398320,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3631,0.3634,0.3628,0.3634,1514398500,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3633,0.364,0.3632,0.3632,1514398680,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3638,0.364,0.3637,0.364,1514398860,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3608,0.3634,0.3608,0.3634,1514399040,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3591,0.3596,0.3586,0.3596,1514399220,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3583,0.3591,0.3583,0.3583,1514399400,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3563,0.3574,0.3563,0.3574,1514399580,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3584,0.3584,0.358,0.3581,1514399760,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3601,0.3601,0.3594,0.3594,1514399940,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3615,0.3618,0.361,0.361,1514400120,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3603,0.3611,0.3603,0.3611,1514400300,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3608,0.3608,0.3607,0.3607,1514400480,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3608,0.361,0.3608,0.361,1514400660,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3596,0.3602,0.3596,0.3602,1514400840,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3607,0.3607,0.3596,0.3596,1514401020,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3618,0.3618,0.3611,0.3611,1514401200,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
0.3638,0.3638,0.3617,0.3617,1514401380,0,0,1,JordanManual,CCCAGG,FRAC,2017-12-28 17:45:38.727220
