Id,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,13.86,13.86,13.86,13.86,1514231220,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
1,13.85,13.85,13.85,13.85,1514231280,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
2,13.85,13.85,13.85,13.85,1514231340,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
3,13.84,13.84,13.84,13.84,1514231400,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
4,13.85,13.85,13.85,13.85,1514231460,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
5,13.87,13.87,13.87,13.87,1514231520,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
6,13.86,13.86,13.86,13.86,1514231580,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
7,13.87,13.87,13.87,13.87,1514231640,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
8,13.88,13.88,13.88,13.88,1514231700,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
9,13.88,13.88,13.88,13.88,1514231760,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
10,13.88,13.88,13.88,13.88,1514231820,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
11,13.88,13.88,13.88,13.88,1514231880,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
12,13.9,13.9,13.9,13.9,1514231940,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
13,13.89,13.89,13.89,13.89,1514232000,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
14,13.87,13.87,13.87,13.87,1514232060,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
15,13.88,13.88,13.88,13.88,1514232120,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
16,13.86,13.86,13.86,13.86,1514232180,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
17,13.85,13.85,13.85,13.85,1514232240,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
18,13.84,13.84,13.84,13.84,1514232300,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
19,13.86,13.86,13.86,13.86,1514232360,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
20,13.84,13.84,13.84,13.84,1514232420,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
21,13.84,13.84,13.84,13.84,1514232480,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
22,13.84,13.84,13.84,13.84,1514232540,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
23,13.84,13.84,13.84,13.84,1514232600,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
24,13.85,13.85,13.85,13.85,1514232660,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
25,13.85,13.85,13.85,13.85,1514232720,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
26,13.86,13.86,13.86,13.86,1514232780,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
27,13.85,13.85,13.85,13.85,1514232840,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
28,13.85,13.85,13.85,13.85,1514232900,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
29,13.85,13.85,13.85,13.85,1514232960,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
30,13.85,13.85,13.85,13.85,1514233020,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
31,13.84,13.84,13.84,13.84,1514233080,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
32,13.85,13.85,13.85,13.85,1514233140,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
33,13.87,13.87,13.87,13.87,1514233200,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
34,13.89,13.89,13.89,13.89,1514233260,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
35,13.9,13.9,13.9,13.9,1514233320,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
36,13.91,13.91,13.91,13.91,1514233380,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
37,13.92,13.92,13.92,13.92,1514233440,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
38,13.91,13.91,13.91,13.91,1514233500,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
39,13.91,13.91,13.91,13.91,1514233560,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
40,13.9,13.9,13.9,13.9,1514233620,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
41,13.9,13.9,13.9,13.9,1514233680,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
42,13.91,13.91,13.91,13.91,1514233740,0.0,0.0,FRST,1,JordanManual,CCCAGG,2017-12-26 22:31:13.935229
