close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
29.32,29.32,29.23,29.23,1514388240,53.4107,1563.43,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.06,29.43,29.06,29.37,1514388420,273.36,7962.55,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
28.96,28.98,28.96,28.98,1514388600,59.04,1710.34,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.2,29.2,29.07,29.07,1514388780,10.65,310.26,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.05,29.15,29.05,29.15,1514388960,94.93,2762.16,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.05,29.09,29.05,29.09,1514389140,1537.8449,44705.2,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.01,29.01,28.93,28.99,1514389320,4.3249,125.4,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
28.96,28.98,28.76,28.98,1514389500,197.65,5702.52,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
28.85,29.11,28.85,28.98,1514389680,218.33,6310.73,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.17,29.17,28.83,28.83,1514389860,171.75,5000.47,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.12,29.2,29.12,29.17,1514390040,32.98,962.09,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.18,29.24,29.09,29.12,1514390220,185.72,5416.18,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.35,29.35,29.16,29.16,1514390400,149.56,4379.23,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.42,29.42,29.37,29.37,1514390580,74.91,2202.1,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.41,29.42,29.37,29.39,1514390760,221.82,6522.61,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.42,29.46,29.41,29.41,1514390940,29.28,861.97,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.27,29.41,29.27,29.41,1514391120,255.56,7491.24,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.22,29.44,29.22,29.27,1514391300,58.55,1717.88,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
29.27,29.42,29.25,29.25,1514391480,212.65,6224.05,1,JordanManual,CCCAGG,GAS,2017-12-28 17:43:23.065565
