Id,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,0.1176,0.1176,0.1176,0.1176,1514231220,37.03,4.35,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
1,0.1181,0.1181,0.1181,0.1181,1514231280,1385.87,163.67,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
2,0.1181,0.1181,0.1181,0.1181,1514231340,102.34,12.09,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
3,0.118,0.118,0.118,0.118,1514231400,2242.55,264.62,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
4,0.1181,0.1181,0.1181,0.1181,1514231460,300.22,35.46,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
5,0.1188,0.1188,0.1177,0.1177,1514231520,8830.36,1049.05,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
6,0.1187,0.1187,0.1187,0.1187,1514231580,307.38,36.49,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
7,0.1188,0.1188,0.1188,0.1188,1514231640,0.0,0.0,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
8,0.1188,0.1188,0.1188,0.1188,1514231700,0.0,0.0,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
9,0.1189,0.1189,0.1189,0.1189,1514231760,0.0,0.0,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
10,0.1189,0.1189,0.1189,0.1189,1514231820,0.0,0.0,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
11,0.1189,0.1189,0.1189,0.1189,1514231880,0.0,0.0,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
12,0.119,0.119,0.119,0.119,1514231940,0.0,0.0,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
13,0.119,0.119,0.119,0.119,1514232000,968.57,115.26,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
14,0.1188,0.1188,0.1188,0.1188,1514232060,9495.38,1128.05,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
15,0.1191,0.1191,0.1191,0.1191,1514232120,3357.69,399.9,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
16,0.119,0.119,0.119,0.119,1514232180,1511.31,179.85,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
17,0.1186,0.1186,0.1186,0.1186,1514232240,38.88,4.61,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
18,0.1184,0.1186,0.1184,0.1186,1514232300,0.0004668,5.527e-05,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
19,0.1185,0.1185,0.1185,0.1185,1514232360,5963.96,706.73,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
20,0.1174,0.1175,0.1174,0.1175,1514232420,60826.66,7141.05,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
21,0.1181,0.1184,0.1181,0.1184,1514232480,145.0,17.12,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
22,0.118,0.1181,0.118,0.1181,1514232540,2802.05,330.64,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
23,0.118,0.118,0.118,0.118,1514232600,1639.6,193.47,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
24,0.118,0.118,0.118,0.118,1514232660,400.0,47.2,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
25,0.1181,0.1181,0.1181,0.1181,1514232720,33870.35,4000.09,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
26,0.1181,0.1181,0.1181,0.1181,1514232780,4018.34,474.57,GRC,1,JordanManual,CCCAGG,2017-12-26 22:34:01.050983
