close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
2.92,2.92,2.92,2.92,1514391300,60.53,176.75,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.92,2.92,2.92,2.92,1514391480,152.15,444.28,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.93,2.93,2.93,2.93,1514391660,1090.18,3194.23,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.93,2.93,2.92,2.92,1514391840,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.9,2.91,2.9,2.91,1514392020,787.46,2291.51,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.87,2.89,2.87,2.89,1514392200,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.83,2.87,2.83,2.87,1514392380,230.95,657.33,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.82,2.84,2.82,2.84,1514392560,903.56,2556.07,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.83,2.83,2.81,2.81,1514392740,325.96,922.47,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.84,2.84,2.82,2.82,1514392920,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.83,2.83,2.83,2.83,1514393100,90.0,254.7,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.84,2.84,2.84,2.84,1514393280,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.82,2.84,2.82,2.84,1514393460,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.8,2.82,2.8,2.82,1514393640,1041.29,2926.76,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.81,2.81,2.81,2.81,1514393820,36.72,103.18,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.79,2.81,2.79,2.81,1514394000,3.0,8.43,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.78,2.79,2.77,2.77,1514394180,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.79,2.79,2.77,2.77,1514394360,4.72,13.07,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.82,2.82,2.8,2.8,1514394540,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.81,2.82,2.81,2.82,1514394720,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.8,2.81,2.8,2.81,1514394900,661.25,1851.5,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.81,2.81,2.81,2.81,1514395080,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.81,2.81,2.81,2.81,1514395260,739.0,2076.59,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.82,2.82,2.82,2.82,1514395440,229.26,646.51,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.84,2.84,2.83,2.83,1514395620,53.41,151.15,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.84,2.84,2.83,2.84,1514395800,299.86,851.6,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.84,2.84,2.84,2.84,1514395980,184.08,522.79,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.85,2.85,2.85,2.85,1514396160,204.79,583.65,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.86,2.86,2.85,2.85,1514396340,11.03,31.5,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.83,2.86,2.83,2.86,1514396520,27.53,78.39,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.83,2.84,2.83,2.83,1514396700,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.85,2.85,2.84,2.84,1514396880,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.85,2.85,2.85,2.85,1514397060,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.86,2.86,2.85,2.85,1514397240,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.85,2.86,2.85,2.86,1514397420,18.46,52.8,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.86,2.86,2.85,2.85,1514397600,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.86,2.86,2.86,2.86,1514397780,152.06,434.89,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.88,2.88,2.86,2.86,1514397960,77.35,221.93,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.89,2.89,2.89,2.89,1514398140,18.46,53.35,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.89,2.89,2.88,2.88,1514398320,467.46,1350.96,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.88,2.89,2.88,2.89,1514398500,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.89,2.89,2.88,2.88,1514398680,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.89,2.89,2.89,2.89,1514398860,14.0,40.46,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.86,2.89,2.86,2.89,1514399040,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.85,2.86,2.85,2.86,1514399220,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.85,2.85,2.84,2.84,1514399400,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.72,2.84,2.72,2.84,1514399580,13.0,35.36,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.73,2.73,2.73,2.73,1514399760,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.74,2.74,2.74,2.74,1514399940,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.75,2.76,2.75,2.75,1514400120,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.85,2.85,2.75,2.75,1514400300,1396.63,3842.08,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.86,2.86,2.86,2.86,1514400480,4.2,12.01,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.86,2.86,2.86,2.86,1514400660,86.53,247.48,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.85,2.85,2.85,2.85,1514400840,627.08,1787.18,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.86,2.86,2.85,2.85,1514401020,383.56,1093.15,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.87,2.87,2.86,2.86,1514401200,45.46,130.02,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.88,2.88,2.86,2.86,1514401380,3.17,9.13,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.87,2.88,2.87,2.88,1514401560,3.17,9.13,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.88,2.88,2.88,2.88,1514401740,10.22,29.43,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.9,2.9,2.88,2.88,1514401920,7.98,23.01,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.9,2.9,2.8,2.9,1514402100,33.18,96.22,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.9,2.9,2.89,2.89,1514402280,26.45,76.59,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.9,2.9,2.9,2.9,1514402460,2.92,8.47,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.9,2.9,2.9,2.9,1514402640,0.3457,1.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.89,2.89,2.88,2.88,1514402820,93.12,269.12,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.88,2.89,2.88,2.89,1514403000,31.83,91.99,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.87,2.87,2.87,2.87,1514403180,550.61,1580.25,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.88,2.88,2.87,2.87,1514403360,106.05,304.36,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.88,2.88,2.88,2.88,1514403540,572.12,1647.7,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.86,2.87,2.86,2.87,1514403720,0.0,0.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
3.0,3.0,2.84,2.85,1514403900,144.53,432.31,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.99,3.0,2.99,3.0,1514404080,29.65,88.95,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.96,2.98,2.96,2.98,1514404260,174.54,519.98,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.97,2.97,2.96,2.96,1514404440,602.23,1782.6,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
2.97,2.97,2.97,2.97,1514404620,279.04,828.75,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
3.02,3.02,2.99,2.99,1514404800,12.56,37.69,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
3.01,3.02,3.01,3.02,1514404980,14.23,42.97,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
3.0,3.01,3.0,3.01,1514405160,300.0,900.0,1,JordanManual,CCCAGG,HUSH,2017-12-28 18:34:48.739238
