close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
8.12,8.12,8.06,8.08,1514560860,78.07,632.37,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.14,8.14,8.13,8.13,1514561040,59.48,483.57,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.14,8.15,8.13,8.14,1514561220,42.34,344.65,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.16,8.16,8.16,8.16,1514561400,29.45,240.31,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.2,8.2,8.17,8.17,1514561580,0.0,0.0,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.18,8.25,8.18,8.25,1514561760,71.46,584.54,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.23,8.25,8.23,8.23,1514561940,52.8,434.54,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.2,8.26,8.18,8.23,1514562120,38.64,316.08,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.17,8.2,8.17,8.2,1514562300,21.84,178.43,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.18,8.19,8.18,8.18,1514562480,63.74,522.03,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.17,8.21,8.13,8.17,1514562660,47.46,387.75,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.17,8.2,8.17,8.17,1514562840,32.27,263.67,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.16,8.17,8.16,8.17,1514563020,0.0,0.0,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.2,8.23,8.16,8.16,1514563200,74.22,609.32,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.2,8.21,8.18,8.21,1514563380,66.41,545.23,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.22,8.22,8.2,8.2,1514563560,41.83,343.05,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.24,8.24,8.22,8.22,1514563740,25.76,212.0,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.26,8.26,8.24,8.24,1514563920,66.07,544.42,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.21,8.28,8.21,8.27,1514564100,48.25,396.13,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.18,8.22,8.18,8.21,1514564280,16.8,137.42,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.16,8.18,8.16,8.18,1514564460,0.0,0.0,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.17,8.2,8.16,8.17,1514564640,42.86,349.74,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.22,8.22,8.18,8.19,1514564820,34.31,281.69,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.25,8.25,8.22,8.22,1514565000,22.65,186.18,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.27,8.27,8.24,8.24,1514565180,13.76,113.52,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.22,8.27,8.22,8.27,1514565360,50.05,411.54,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.22,8.25,8.22,8.23,1514565540,28.52,234.43,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.2,8.21,8.2,8.21,1514565720,11.03,90.45,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.17,8.19,8.17,8.17,1514565900,37.02,302.45,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.18,8.18,8.18,8.18,1514566080,0.0,0.0,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.19,8.2,8.18,8.18,1514566260,25.79,211.48,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.16,8.19,8.16,8.19,1514566440,16.11,131.62,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.18,8.18,8.17,8.17,1514566620,40.55,331.29,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.17,8.17,8.17,8.17,1514566800,32.55,265.93,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.19,8.21,8.17,8.17,1514566980,21.98,180.02,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.22,8.22,8.2,8.2,1514567160,12.31,101.19,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.21,8.22,8.21,8.22,1514567340,0.0,0.0,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.2,8.21,8.2,8.2,1514567520,36.74,301.64,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.21,8.21,8.2,8.2,1514567700,27.07,222.24,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.21,8.22,8.21,8.22,1514567880,17.39,142.77,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
8.21,8.21,8.21,8.21,1514568060,41.83,343.42,1,JordanManual,CCCAGG,KOLION,2017-12-30 17:41:55.422493
