close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
6.33,6.51,6.33,6.51,1514391300,920.02,5826.93,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.47,6.49,6.34,6.34,1514391480,469.04,3003.7,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.36,6.47,6.36,6.47,1514391660,192.23,1223.48,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.47,6.47,6.46,6.46,1514391840,347.58,2246.44,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.41,6.45,6.41,6.44,1514392020,818.65,5263.17,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.35,6.38,6.35,6.38,1514392200,161.45,1027.6,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.2,6.35,6.16,6.35,1514392380,1226.51,7769.03,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.3,6.3,6.2,6.21,1514392560,46.56,291.52,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.34,6.34,6.16,6.16,1514392740,43.75,275.97,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.27,6.31,6.23,6.31,1514392920,249.37,1561.58,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.34,6.34,6.32,6.32,1514393100,304.79,1926.49,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.34,6.36,6.34,6.36,1514393280,204.6,1297.31,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.31,6.35,6.31,6.35,1514393460,225.91,1427.83,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.3,6.3,6.28,6.3,1514393640,230.0,1449.0,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.35,6.35,6.31,6.33,1514393820,443.56,2803.38,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.35,6.35,6.32,6.35,1514394000,813.17,5159.79,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.37,6.39,6.33,6.33,1514394180,349.01,2217.41,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.4,6.46,6.34,6.34,1514394360,1008.72,6448.47,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.45,6.45,6.4,6.4,1514394540,401.98,2578.0,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.54,6.54,6.52,6.53,1514394720,704.56,4603.05,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.61,6.61,6.54,6.54,1514394900,1869.33,12343.74,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.62,6.62,6.61,6.61,1514395080,1342.43,8880.01,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.63,6.63,6.62,6.62,1514395260,62.01,411.1,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.64,6.64,6.64,6.64,1514395440,0.0,0.0,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.79,6.79,6.66,6.66,1514395620,1006.72,6788.55,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.7,6.79,6.69,6.79,1514395800,177.72,1190.67,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.72,6.72,6.71,6.71,1514395980,166.6,1118.38,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.74,6.8,6.73,6.8,1514396160,339.62,2288.81,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
6.76,6.81,6.74,6.74,1514396340,463.85,3136.4,1,JordanManual,CCCAGG,KORE,2017-12-28 18:36:09.154080
