close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
7.87,7.87,7.84,7.84,1514388240,500.68,3925.33,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.89,7.9,7.88,7.88,1514388420,44.9,354.71,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.86,7.87,7.86,7.87,1514388600,3.0,23.58,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.88,7.89,7.88,7.89,1514388780,52.76,416.14,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.84,7.87,7.84,7.87,1514388960,62.01,488.02,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.84,7.85,7.84,7.85,1514389140,29.95,235.11,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.82,7.82,7.81,7.82,1514389320,0.0,0.0,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.83,7.83,7.81,7.82,1514389500,0.0,0.0,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.85,7.85,7.83,7.83,1514389680,3.33,26.11,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.66,7.85,7.66,7.84,1514389860,244.2,1909.26,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.65,7.66,7.65,7.66,1514390040,21.18,162.09,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.66,7.66,7.65,7.65,1514390220,81.29,622.68,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.69,7.69,7.66,7.66,1514390400,0.0,0.0,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.71,7.71,7.7,7.7,1514390580,1.16,8.94,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.7,7.7,7.69,7.7,1514390760,92.87,714.9,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.69,7.7,7.69,7.7,1514390940,107.61,828.6,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.68,7.69,7.68,7.69,1514391120,34.95,268.42,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
7.67,7.68,7.67,7.68,1514391300,0.0,0.0,1,JordanManual,CCCAGG,LUX,2017-12-28 17:44:24.863197
