Id,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,22.09,22.09,22.09,22.09,1514231220,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
1,22.09,22.09,22.09,22.09,1514231280,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
2,22.09,22.09,22.09,22.09,1514231340,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
3,22.09,22.09,22.09,22.09,1514231400,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
4,22.09,22.09,22.09,22.09,1514231460,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
5,22.09,22.09,22.09,22.09,1514231520,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
6,22.11,22.11,22.11,22.11,1514231580,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
7,22.11,22.11,22.11,22.11,1514231640,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
8,22.13,22.13,22.13,22.13,1514231700,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
9,22.14,22.14,22.14,22.14,1514231760,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
10,22.15,22.15,22.15,22.15,1514231820,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
11,22.16,22.16,22.16,22.16,1514231880,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
12,22.16,22.16,22.16,22.16,1514231940,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
13,22.17,22.17,22.17,22.17,1514232000,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
14,22.17,22.17,22.17,22.17,1514232060,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
15,22.17,22.17,22.17,22.17,1514232120,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
16,22.17,22.17,22.17,22.17,1514232180,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
17,22.16,22.16,22.16,22.16,1514232240,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
18,22.16,22.16,22.16,22.16,1514232300,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
19,22.16,22.16,22.16,22.16,1514232360,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
20,22.17,22.17,22.17,22.17,1514232420,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
21,22.16,22.16,22.16,22.16,1514232480,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
22,22.15,22.15,22.15,22.15,1514232540,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
23,22.16,22.16,22.16,22.16,1514232600,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
24,22.16,22.16,22.16,22.16,1514232660,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
25,22.2,22.2,22.2,22.2,1514232720,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
26,22.22,22.22,22.22,22.22,1514232780,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
27,22.21,22.21,22.21,22.21,1514232840,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
28,22.24,22.24,22.24,22.24,1514232900,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
29,22.24,22.24,22.24,22.24,1514232960,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
30,22.25,22.25,22.25,22.25,1514233020,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
31,22.26,22.26,22.26,22.26,1514233080,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
32,22.27,22.27,22.27,22.27,1514233140,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
33,22.29,22.29,22.29,22.29,1514233200,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
34,22.31,22.31,22.31,22.31,1514233260,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
35,22.34,22.34,22.34,22.34,1514233320,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
36,22.38,22.38,22.38,22.38,1514233380,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
37,22.4,22.4,22.4,22.4,1514233440,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
38,22.4,22.4,22.4,22.4,1514233500,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
39,22.4,22.4,22.4,22.4,1514233560,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
40,22.4,22.4,22.4,22.4,1514233620,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
41,22.39,22.39,22.39,22.39,1514233680,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
42,22.39,22.39,22.39,22.39,1514233740,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
43,22.39,22.39,22.39,22.39,1514233800,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
44,22.4,22.4,22.4,22.4,1514233860,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
45,22.39,22.39,22.39,22.39,1514233920,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
46,22.37,22.37,22.37,22.37,1514233980,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
47,22.37,22.37,22.37,22.37,1514234040,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
48,22.38,22.38,22.38,22.38,1514234100,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
49,22.35,22.35,22.35,22.35,1514234160,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
50,22.33,22.33,22.33,22.33,1514234220,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
51,22.32,22.32,22.32,22.32,1514234280,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
52,22.33,22.33,22.33,22.33,1514234340,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
53,22.3,22.3,22.3,22.3,1514234400,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
54,22.34,22.34,22.34,22.34,1514234460,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
55,22.34,22.34,22.34,22.34,1514234520,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
56,22.27,22.27,22.27,22.27,1514234580,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
57,22.22,22.22,22.22,22.22,1514234640,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
58,22.18,22.18,22.18,22.18,1514234700,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
59,22.12,22.12,22.12,22.12,1514234760,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
60,22.1,22.1,22.1,22.1,1514234820,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
61,22.07,22.07,22.07,22.07,1514234880,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
62,22.0,22.0,22.0,22.0,1514234940,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
63,22.01,22.01,22.01,22.01,1514235000,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
64,22.04,22.04,22.04,22.04,1514235060,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
65,22.05,22.05,22.05,22.05,1514235120,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
66,22.07,22.07,22.07,22.07,1514235180,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
67,22.02,22.02,22.02,22.02,1514235240,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
68,22.0,22.0,22.0,22.0,1514235300,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
69,21.94,21.94,21.94,21.94,1514235360,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
70,21.93,21.93,21.93,21.93,1514235420,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
71,21.96,21.96,21.96,21.96,1514235480,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
72,21.92,21.92,21.92,21.92,1514235540,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
73,21.86,21.86,21.86,21.86,1514235600,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
74,21.84,21.84,21.84,21.84,1514235660,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
75,21.91,21.91,21.91,21.91,1514235720,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
76,21.8,21.8,21.8,21.8,1514235780,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
77,21.76,21.76,21.76,21.76,1514235840,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
78,21.81,21.81,21.81,21.81,1514235900,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
79,21.78,21.78,21.78,21.78,1514235960,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
80,21.76,21.76,21.76,21.76,1514236020,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
81,21.79,21.79,21.79,21.79,1514236080,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
82,21.85,21.85,21.85,21.85,1514236140,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
83,21.86,21.86,21.86,21.86,1514236200,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
84,21.93,21.93,21.93,21.93,1514236260,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
85,21.94,21.94,21.94,21.94,1514236320,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
86,21.96,21.96,21.96,21.96,1514236380,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
87,22.03,22.03,22.03,22.03,1514236440,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
88,22.06,22.06,22.06,22.06,1514236500,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
89,22.0,22.0,22.0,22.0,1514236560,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
90,21.98,21.98,21.98,21.98,1514236620,0.0,0.0,MNX,1,JordanManual,CCCAGG,2017-12-26 22:44:48.253088
