close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
10.46,10.46,10.41,10.41,1514561220,210.14,2192.89,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.5,10.5,10.48,10.49,1514561400,2500.46,26233.65,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.53,10.53,10.5,10.51,1514561580,6135.72,64452.05,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.57,10.57,10.53,10.53,1514561760,2124.14,22372.34,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.42,10.61,10.42,10.58,1514561940,2469.35,25831.04,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.5,10.5,10.42,10.46,1514562120,4130.53,43314.8,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.34,10.45,10.34,10.45,1514562300,4163.26,43317.52,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.33,10.4,10.29,10.35,1514562480,7973.58,82127.59,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.51,10.52,10.33,10.39,1514562660,2558.66,26663.46,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.44,10.52,10.42,10.42,1514562840,902.39,9451.87,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.42,10.5,10.4,10.44,1514563020,2464.39,25681.41,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.26,10.42,10.26,10.42,1514563200,1805.0,18578.48,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.4,10.4,10.27,10.28,1514563380,1336.86,13812.33,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.32,10.41,10.3,10.4,1514563560,1077.25,11104.67,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.44,10.55,10.42,10.42,1514563740,928.63,9685.06,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.47,10.55,10.44,10.44,1514563920,746.51,7796.7,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.59,10.6,10.48,10.48,1514564100,229.12,2423.27,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.51,10.59,10.51,10.59,1514564280,149.28,1569.08,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.51,10.57,10.5,10.51,1514564460,640.36,6726.12,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.58,10.59,10.52,10.58,1514564640,2014.58,21259.47,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.58,10.6,10.57,10.6,1514564820,1308.1,13840.28,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.66,10.66,10.59,10.59,1514565000,699.56,7421.98,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.62,10.66,10.58,10.66,1514565180,1079.13,11417.78,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.67,10.7,10.62,10.7,1514565360,25.66,272.62,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.68,10.71,10.68,10.68,1514565540,1487.89,15909.61,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.65,10.65,10.6,10.61,1514565720,224.39,2381.7,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.62,10.64,10.56,10.56,1514565900,2810.76,29882.09,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.63,10.63,10.63,10.63,1514566080,594.24,6316.77,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.57,10.62,10.57,10.62,1514566260,586.87,6208.57,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.53,10.57,10.53,10.57,1514566440,1008.72,10631.33,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.68,10.68,10.57,10.57,1514566620,2070.1,22056.59,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.73,10.73,10.67,10.67,1514566800,1768.19,18887.75,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.77,10.77,10.74,10.74,1514566980,1335.74,14358.25,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.81,10.81,10.79,10.79,1514567160,825.65,8913.34,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.71,10.76,10.67,10.76,1514567340,518.44,5541.11,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.7,10.76,10.7,10.71,1514567520,214.19,2295.9,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.71,10.71,10.7,10.7,1514567700,646.89,6924.39,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.77,10.77,10.66,10.67,1514567880,686.64,7364.21,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.78,10.78,10.77,10.77,1514568060,373.43,4024.88,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.79,10.79,10.78,10.78,1514568240,391.96,4227.04,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.83,10.83,10.8,10.81,1514568420,690.4,7465.49,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.81,10.81,10.76,10.76,1514568600,137.17,1481.56,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.84,10.84,10.73,10.8,1514568780,1223.99,13263.51,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.79,10.83,10.79,10.82,1514568960,780.2,8432.19,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.77,10.79,10.77,10.78,1514569140,799.45,8610.79,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.75,10.78,10.74,10.78,1514569320,323.36,3481.9,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.71,10.79,10.71,10.75,1514569500,426.87,4584.36,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.71,10.76,10.71,10.71,1514569680,1094.1,11758.41,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.62,10.7,10.62,10.7,1514569860,1350.31,14370.51,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.61,10.68,10.61,10.63,1514570040,390.17,4141.14,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.66,10.66,10.59,10.64,1514570220,3194.39,33995.13,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.61,10.68,10.61,10.61,1514570400,1098.27,11684.31,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
10.61,10.63,10.59,10.61,1514570580,809.36,8594.32,1,JordanManual,CCCAGG,MONA,2017-12-30 17:45:12.586254
