Id,close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0,2.81,2.81,2.8,2.8,1514374380,331.92,929.38,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
1,2.82,2.82,2.81,2.81,1514374560,161.19,454.56,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
2,2.82,2.82,2.82,2.82,1514374740,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
3,2.82,2.82,2.82,2.82,1514374920,137.52,387.81,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
4,2.83,2.83,2.82,2.82,1514375100,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
5,2.82,2.83,2.82,2.83,1514375280,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
6,2.82,2.82,2.82,2.82,1514375460,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
7,2.82,2.82,2.81,2.82,1514375640,59.29,167.2,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
8,2.81,2.82,2.81,2.82,1514375820,1.28,3.6,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
9,2.82,2.82,2.81,2.81,1514376000,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
10,2.82,2.82,2.82,2.82,1514376180,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
11,2.83,2.83,2.83,2.83,1514376360,1.49,4.22,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
12,2.85,2.85,2.83,2.83,1514376540,150.71,429.52,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
13,2.84,2.85,2.84,2.85,1514376720,37.3,105.93,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
14,2.83,2.84,2.83,2.84,1514376900,23.45,66.37,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
15,2.88,2.94,2.83,2.83,1514377080,2316.68,6627.56,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
16,2.88,2.88,2.87,2.87,1514377260,96.24,276.66,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
17,2.88,2.88,2.88,2.88,1514377440,381.55,1098.86,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
18,2.88,2.88,2.88,2.88,1514377620,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
19,2.89,2.89,2.88,2.88,1514377800,11.22,32.43,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
20,2.9,2.9,2.89,2.89,1514377980,8.29,23.96,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
21,2.88,2.9,2.88,2.9,1514378160,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
22,2.88,2.89,2.88,2.88,1514378340,186.93,540.23,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
23,2.88,2.88,2.88,2.88,1514378520,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
24,2.88,2.88,2.88,2.88,1514378700,104.63,301.33,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
25,2.89,2.89,2.88,2.89,1514378880,821.4582,2365.89,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
26,2.87,2.88,2.87,2.88,1514379060,30.87,88.87,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
27,2.88,2.88,2.87,2.87,1514379240,7.33,21.04,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
28,2.9,2.91,2.9,2.9,1514379420,370.41,1074.19,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
29,2.89,2.89,2.89,2.89,1514379600,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
30,2.89,2.9,2.89,2.89,1514379780,334.06,968.77,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
31,2.88,2.89,2.88,2.89,1514379960,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
32,2.89,2.89,2.85,2.87,1514380140,31.48,90.98,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
33,2.89,2.89,2.87,2.89,1514380320,399.01,1153.14,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
34,2.87,2.89,2.87,2.89,1514380500,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
35,2.87,2.88,2.87,2.88,1514380680,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
36,2.88,2.88,2.87,2.87,1514380860,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
37,2.89,2.89,2.89,2.89,1514381040,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
38,2.89,2.89,2.89,2.89,1514381220,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
39,2.9,2.9,2.89,2.89,1514381400,101.88,294.43,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
40,2.89,2.89,2.89,2.89,1514381580,342.08,988.61,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
41,2.89,2.9,2.89,2.9,1514381760,84.79,245.04,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
42,2.89,2.89,2.89,2.89,1514381940,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
43,2.9,2.9,2.89,2.89,1514382120,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
44,2.9,2.9,2.9,2.9,1514382300,303.79,880.99,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
45,2.92,2.92,2.9,2.9,1514382480,1.78,5.2,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
46,2.93,2.93,2.92,2.92,1514382660,37.71,110.49,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
47,2.94,2.94,2.93,2.93,1514382840,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
48,2.93,2.94,2.93,2.94,1514383020,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
49,2.93,2.93,2.92,2.93,1514383200,243.19,710.24,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
50,2.93,2.93,2.93,2.93,1514383380,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
51,2.91,2.93,2.91,2.93,1514383560,396.21,1154.15,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
52,2.9,2.91,2.9,2.91,1514383740,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
53,2.9,2.9,2.9,2.9,1514383920,213.46,619.03,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
54,2.91,2.91,2.9,2.9,1514384100,20.7,60.24,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
55,2.91,2.92,2.9,2.91,1514384280,150.39,436.13,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
56,2.9,2.9,2.9,2.9,1514384460,130.64,378.86,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
57,2.92,2.92,2.9,2.91,1514384640,8.45,24.67,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
58,2.92,2.92,2.91,2.92,1514384820,0.0,0.0,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
59,2.9,2.91,2.9,2.91,1514385000,278.34,807.19,1,JordanManual,CCCAGG,NET*,2017-12-28 13:53:55.653565
