close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
7.17,7.17,7.16,7.16,1514560860,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.17,7.17,7.17,7.17,1514561040,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.17,7.18,7.17,7.18,1514561220,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.18,7.18,7.18,7.18,1514561400,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.18,7.18,7.17,7.17,1514561580,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.2,7.2,7.19,7.19,1514561760,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.21,7.21,7.21,7.21,1514561940,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.22,7.22,7.21,7.21,1514562120,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.23,7.23,7.22,7.22,1514562300,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.23,7.23,7.23,7.23,1514562480,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.21,7.22,7.21,7.22,1514562660,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.23,7.23,7.22,7.22,1514562840,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.24,7.24,7.24,7.24,1514563020,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.24,7.24,7.24,7.24,1514563200,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.24,7.25,7.24,7.25,1514563380,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.25,7.25,7.24,7.24,1514563560,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.26,7.26,7.25,7.25,1514563740,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.26,7.26,7.26,7.26,1514563920,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.28,7.28,7.27,7.27,1514564100,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.29,7.29,7.29,7.29,1514564280,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.3,7.3,7.29,7.29,1514564460,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.3,7.3,7.3,7.3,1514564640,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.31,7.31,7.3,7.3,1514564820,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.31,7.31,7.31,7.31,1514565000,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.31,7.31,7.31,7.31,1514565180,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.32,7.32,7.31,7.31,1514565360,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
7.31,7.32,7.31,7.32,1514565540,0.0,0.0,1,JordanManual,CCCAGG,NIMFA,2017-12-30 17:39:20.324590
