Id,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,0.74,0.74,0.74,0.74,1514231220,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
1,0.7398,0.7398,0.7398,0.7398,1514231280,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
2,0.7398,0.7398,0.7398,0.7398,1514231340,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
3,0.7394,0.7394,0.7394,0.7394,1514231400,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
4,0.7397,0.7397,0.7397,0.7397,1514231460,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
5,0.7406,0.7406,0.7406,0.7406,1514231520,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
6,0.7401,0.7401,0.7401,0.7401,1514231580,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
7,0.7406,0.7406,0.7406,0.7406,1514231640,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
8,0.7411,0.7411,0.7411,0.7411,1514231700,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
9,0.7411,0.7411,0.7411,0.7411,1514231760,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
10,0.7411,0.7411,0.7411,0.7411,1514231820,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
11,0.7414,0.7414,0.7414,0.7414,1514231880,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
12,0.7422,0.7422,0.7422,0.7422,1514231940,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
13,0.742,0.742,0.742,0.742,1514232000,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
14,0.7409,0.7409,0.7409,0.7409,1514232060,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
15,0.7411,0.7411,0.7411,0.7411,1514232120,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
16,0.74,0.74,0.74,0.74,1514232180,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
17,0.7396,0.7396,0.7396,0.7396,1514232240,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
18,0.7392,0.7392,0.7392,0.7392,1514232300,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
19,0.74,0.74,0.74,0.74,1514232360,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
20,0.739,0.739,0.739,0.739,1514232420,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
21,0.7392,0.7392,0.7392,0.7392,1514232480,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
22,0.739,0.739,0.739,0.739,1514232540,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
23,0.7393,0.7393,0.7393,0.7393,1514232600,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
24,0.7395,0.7395,0.7395,0.7395,1514232660,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
25,0.7399,0.7399,0.7399,0.7399,1514232720,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
26,0.74,0.74,0.74,0.74,1514232780,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
27,0.7396,0.7396,0.7396,0.7396,1514232840,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
28,0.7394,0.7394,0.7394,0.7394,1514232900,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
29,0.7394,0.7394,0.7394,0.7394,1514232960,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
30,0.7395,0.7395,0.7395,0.7395,1514233020,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
31,0.7392,0.7392,0.7392,0.7392,1514233080,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
32,0.7399,0.7399,0.7399,0.7399,1514233140,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
33,0.7409,0.7409,0.7409,0.7409,1514233200,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
34,0.7421,0.7421,0.7421,0.7421,1514233260,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
35,0.7424,0.7424,0.7424,0.7424,1514233320,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
36,0.7431,0.7431,0.7431,0.7431,1514233380,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
37,0.7432,0.7432,0.7432,0.7432,1514233440,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
38,0.7429,0.7429,0.7429,0.7429,1514233500,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
39,0.7429,0.7429,0.7429,0.7429,1514233560,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
40,0.7425,0.7425,0.7425,0.7425,1514233620,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
41,0.7426,0.7426,0.7426,0.7426,1514233680,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
42,0.7427,0.7427,0.7427,0.7427,1514233740,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
43,0.743,0.743,0.743,0.743,1514233800,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
44,0.7432,0.7432,0.7432,0.7432,1514233860,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
45,0.7424,0.7424,0.7424,0.7424,1514233920,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
46,0.7418,0.7418,0.7418,0.7418,1514233980,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
47,0.7418,0.7418,0.7418,0.7418,1514234040,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
48,0.7413,0.7413,0.7413,0.7413,1514234100,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
49,0.7405,0.7405,0.7405,0.7405,1514234160,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
50,0.7403,0.7403,0.7403,0.7403,1514234220,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
51,0.7401,0.7401,0.7401,0.7401,1514234280,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
52,0.74,0.74,0.74,0.74,1514234340,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
53,0.7398,0.7398,0.7398,0.7398,1514234400,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
54,0.7392,0.7392,0.7392,0.7392,1514234460,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
55,0.7389,0.7389,0.7389,0.7389,1514234520,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
56,0.736,0.736,0.736,0.736,1514234580,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
57,0.7336,0.7336,0.7336,0.7336,1514234640,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
58,0.7296,0.7296,0.7296,0.7296,1514234700,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
59,0.7284,0.7284,0.7284,0.7284,1514234760,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
60,0.7285,0.7285,0.7285,0.7285,1514234820,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
61,0.7263,0.7263,0.7263,0.7263,1514234880,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
62,0.7266,0.7266,0.7266,0.7266,1514234940,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
63,0.7268,0.7268,0.7268,0.7268,1514235000,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
64,0.7276,0.7276,0.7276,0.7276,1514235060,0,0,NRS,1,JordanManual,CCCAGG,2017-12-26 22:48:09.540889
