Id,Id,Id.1,Id.1.1,Id.1.1.1,Id.1.1.1.1,Id.1.1.1.1.1,Id.1.1.1.1.1.1,Id.1.1.1.1.1.1.1,Id.1.1.1.1.1.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5093,1,JordanManual,CCCAGG,0.5094,0.5093,0.5094,NUBIS,1514357280.0,2017-12-28 09:08:16.550184,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5097,1,JordanManual,CCCAGG,0.5097,0.5097,0.5097,NUBIS,1514357460.0,2017-12-28 09:08:16.550184,0.0,0.0
2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5102,1,JordanManual,CCCAGG,0.5102,0.509,0.5096,NUBIS,1514357640.0,2017-12-28 09:08:16.550184,0.0,0.0
3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.51,1,JordanManual,CCCAGG,0.51,0.5096,0.5098,NUBIS,1514357820.0,2017-12-28 09:08:16.550184,0.0,0.0
4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.5108,1,JordanManual,CCCAGG,0.5108,0.5099,0.5099,NUBIS,1514358000.0,2017-12-28 09:08:16.550184,0.0,0.0
5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.5108,1,JordanManual,CCCAGG,0.5109,0.5108,0.5108,NUBIS,1514358180.0,2017-12-28 09:08:16.550184,0.0,0.0
6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,0.5109,1,JordanManual,CCCAGG,0.5112,0.5109,0.5111,NUBIS,1514358360.0,2017-12-28 09:08:16.550184,0.0,0.0
7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.5109,1,JordanManual,CCCAGG,0.5112,0.5109,0.5111,NUBIS,1514358540.0,2017-12-28 09:08:16.550184,0.0,0.0
8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.5058,1,JordanManual,CCCAGG,0.5097,0.5058,0.5097,NUBIS,1514358720.0,2017-12-28 09:08:16.550184,0.0,0.0
9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.5053,1,JordanManual,CCCAGG,0.5054,0.5047,0.5054,NUBIS,1514358900.0,2017-12-28 09:08:16.550184,0.0,0.0
10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.5056,1,JordanManual,CCCAGG,0.5056,0.5052,0.5052,NUBIS,1514359080.0,2017-12-28 09:08:16.550184,0.0,0.0
11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,0.5062,1,JordanManual,CCCAGG,0.5062,0.506,0.506,NUBIS,1514359260.0,2017-12-28 09:08:16.550184,0.0,0.0
12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.5067,1,JordanManual,CCCAGG,0.5068,0.5067,0.5067,NUBIS,1514359440.0,2017-12-28 09:08:16.550184,0.0,0.0
13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,0.504,1,JordanManual,CCCAGG,0.5064,0.504,0.5064,NUBIS,1514359620.0,2017-12-28 09:08:16.550184,0.0,0.0
