Id,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,0.4313,0.4313,0.4313,0.4313,1514231220,65.39,28.2,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
1,0.4335,0.4335,0.4312,0.4312,1514231280,344.0,149.12,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
2,0.4335,0.4335,0.4335,0.4335,1514231340,1564.73,678.31,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
3,0.4318,0.4318,0.4311,0.4318,1514231400,795.95,343.69,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
4,0.432,0.432,0.432,0.432,1514231460,0.0,0.0,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
5,0.4325,0.4325,0.4325,0.4325,1514231520,892.31,385.92,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
6,0.4301,0.4301,0.4301,0.4301,1514231580,135.85,58.43,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
7,0.4304,0.4304,0.4303,0.4304,1514231640,813.42,350.1,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
8,0.4336,0.4336,0.4336,0.4336,1514231700,677.98,293.97,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
9,0.4336,0.4336,0.4336,0.4336,1514231760,0.0,0.0,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
10,0.4336,0.4336,0.4336,0.4336,1514231820,0.0,0.0,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
11,0.4338,0.4338,0.4338,0.4338,1514231880,250.0,108.45,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
12,0.4343,0.4343,0.4343,0.4343,1514231940,0.0,0.0,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
13,0.4342,0.4342,0.4342,0.4342,1514232000,649.09,281.83,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
14,0.4393,0.4393,0.4318,0.4318,1514232060,749.19,329.12,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
15,0.4389,0.4389,0.4314,0.4314,1514232120,120.85,53.04,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
16,0.442,0.442,0.4409,0.4409,1514232180,304.97,134.8,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
17,0.4418,0.4418,0.4418,0.4418,1514232240,250.94,110.87,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
18,0.4416,0.4416,0.4416,0.4416,1514232300,2019.96,892.01,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
19,0.442,0.442,0.442,0.442,1514232360,878.48,388.29,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
20,0.4415,0.4415,0.4415,0.4415,1514232420,4937.96,2180.11,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
21,0.4377,0.4459,0.4377,0.4438,1514232480,12572.9,5503.16,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
22,0.4363,0.4366,0.4355,0.4355,1514232540,2274.11,992.19,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
23,0.4412,0.4412,0.4365,0.4365,1514232600,362.94,160.13,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
24,0.4413,0.4413,0.4413,0.4413,1514232660,179.72,79.31,NXC,1,JordanManual,CCCAGG,2017-12-26 22:48:38.384438
