Id,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,1.94,1.94,1.94,1.94,1514231220,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
1,1.95,1.95,1.95,1.95,1514231280,2.0,3.9,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
2,1.95,1.95,1.95,1.95,1514231340,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
3,1.95,1.95,1.95,1.95,1514231400,58.33,113.74,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
4,1.93,1.93,1.93,1.93,1514231460,3.07,5.93,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
5,1.93,1.93,1.93,1.93,1514231520,98.48,190.07,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
6,1.93,1.93,1.93,1.93,1514231580,491.83,949.23,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
7,1.93,1.93,1.93,1.93,1514231640,15.58,30.07,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
8,1.94,1.94,1.94,1.94,1514231700,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
9,1.94,1.94,1.94,1.94,1514231760,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
10,1.94,1.94,1.94,1.94,1514231820,3.1,6.01,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
11,1.94,1.94,1.94,1.94,1514231880,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
12,1.94,1.94,1.94,1.94,1514231940,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
13,1.94,1.94,1.94,1.94,1514232000,9.8,19.01,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
14,1.93,1.93,1.93,1.93,1514232060,71.15,137.32,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
15,1.94,1.94,1.94,1.94,1514232120,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
16,1.93,1.93,1.93,1.93,1514232180,4.23,8.16,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
17,1.93,1.93,1.93,1.93,1514232240,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
18,1.93,1.93,1.93,1.93,1514232300,420.07,810.74,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
19,1.93,1.93,1.93,1.93,1514232360,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
20,1.93,1.93,1.93,1.93,1514232420,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
21,1.93,1.93,1.93,1.93,1514232480,7.11,13.72,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
22,1.93,1.93,1.93,1.93,1514232540,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
23,1.93,1.93,1.93,1.93,1514232600,170.55,329.16,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
24,1.93,1.93,1.93,1.93,1514232660,6.85,13.22,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
25,1.93,1.93,1.93,1.93,1514232720,2.0,3.86,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
26,1.93,1.93,1.93,1.93,1514232780,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
27,1.93,1.93,1.93,1.93,1514232840,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
28,1.93,1.93,1.93,1.93,1514232900,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
29,1.93,1.93,1.93,1.93,1514232960,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
30,1.93,1.93,1.93,1.93,1514233020,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
31,1.93,1.93,1.93,1.93,1514233080,36.93,71.27,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
32,1.93,1.93,1.93,1.93,1514233140,104.71,202.09,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
33,1.93,1.93,1.93,1.93,1514233200,249.7,481.92,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
34,1.93,1.93,1.93,1.93,1514233260,1.0,1.93,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
35,1.94,1.94,1.94,1.94,1514233320,3.79,7.35,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
36,1.94,1.94,1.94,1.94,1514233380,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
37,1.94,1.94,1.94,1.94,1514233440,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
38,1.94,1.95,1.94,1.95,1514233500,267.0,517.98,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
39,1.94,1.94,1.94,1.94,1514233560,18.83,36.53,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
40,1.94,1.94,1.94,1.94,1514233620,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
41,1.94,1.94,1.94,1.94,1514233680,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
42,1.94,1.94,1.94,1.94,1514233740,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
43,1.94,1.94,1.94,1.94,1514233800,4.2,8.15,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
44,1.94,1.94,1.94,1.94,1514233860,28.97,56.2,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
45,1.94,1.94,1.94,1.94,1514233920,52.24,101.35,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
46,1.94,1.94,1.94,1.94,1514233980,5.32,10.32,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
47,1.94,1.94,1.94,1.94,1514234040,18.94,36.74,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
48,1.94,1.94,1.94,1.94,1514234100,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
49,1.93,1.93,1.93,1.93,1514234160,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
50,1.93,1.93,1.93,1.93,1514234220,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
51,1.93,1.93,1.93,1.93,1514234280,133.05,256.79,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
52,1.93,1.93,1.93,1.93,1514234340,3.98,7.68,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
53,1.93,1.93,1.93,1.93,1514234400,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
54,1.93,1.93,1.93,1.93,1514234460,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
55,1.93,1.93,1.93,1.93,1514234520,9.54,18.41,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
56,1.92,1.92,1.92,1.92,1514234580,259.63,498.49,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
57,1.92,1.92,1.92,1.92,1514234640,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
58,1.91,1.91,1.91,1.91,1514234700,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
59,1.9,1.9,1.9,1.9,1514234760,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
60,1.9,1.9,1.9,1.9,1514234820,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
61,1.9,1.9,1.9,1.9,1514234880,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
62,1.9,1.9,1.9,1.9,1514234940,98.66,187.45,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
63,1.9,1.9,1.9,1.9,1514235000,6.25,11.88,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
64,1.9,1.9,1.9,1.9,1514235060,4.17,7.92,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
65,1.9,1.9,1.9,1.9,1514235120,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
66,1.9,1.9,1.9,1.9,1514235180,5.08,9.65,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
67,1.9,1.9,1.9,1.9,1514235240,15.99,30.38,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
68,1.89,1.89,1.89,1.89,1514235300,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
69,1.89,1.89,1.89,1.89,1514235360,4.99,9.43,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
70,1.89,1.89,1.89,1.89,1514235420,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
71,1.9,1.9,1.9,1.9,1514235480,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
72,1.89,1.89,1.89,1.89,1514235540,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
73,1.89,1.89,1.89,1.89,1514235600,123.0,232.47,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
74,1.89,1.89,1.89,1.89,1514235660,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
75,1.89,1.89,1.89,1.89,1514235720,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
76,1.88,1.88,1.88,1.88,1514235780,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
77,1.88,1.88,1.88,1.88,1514235840,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
78,1.88,1.88,1.88,1.88,1514235900,1.91,3.59,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
79,1.88,1.88,1.88,1.88,1514235960,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
80,1.88,1.88,1.88,1.88,1514236020,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
81,1.89,1.89,1.89,1.89,1514236080,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
82,1.89,1.89,1.89,1.89,1514236140,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
83,1.89,1.89,1.89,1.89,1514236200,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
84,1.9,1.9,1.9,1.9,1514236260,0.1002,0.1904,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
85,1.9,1.9,1.9,1.9,1514236320,1.04,1.98,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
86,1.9,1.9,1.9,1.9,1514236380,10.78,20.48,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
87,1.91,1.91,1.91,1.91,1514236440,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
88,1.91,1.91,1.91,1.91,1514236500,18.86,36.02,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
89,1.9,1.9,1.9,1.9,1514236560,68.16,129.5,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
90,1.9,1.9,1.9,1.9,1514236620,171.02,324.94,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
91,1.91,1.91,1.91,1.91,1514236680,5.01,9.57,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
92,1.91,1.91,1.91,1.91,1514236740,1.06,2.02,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
93,1.9,1.9,1.9,1.9,1514236800,33.08,62.85,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
94,1.9,1.9,1.9,1.9,1514236860,7.49,14.23,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
95,1.92,1.92,1.91,1.91,1514236920,59.05,113.38,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
96,1.92,1.92,1.92,1.92,1514236980,101.98,195.8,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
97,1.92,1.92,1.92,1.92,1514237040,185.32,355.81,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
98,1.93,1.93,1.93,1.93,1514237100,211.25,407.71,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
99,1.93,1.93,1.93,1.93,1514237160,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
100,1.93,1.93,1.93,1.93,1514237220,76.65,147.93,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
101,1.93,1.93,1.93,1.93,1514237280,66.81,128.94,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
102,1.93,1.93,1.93,1.93,1514237340,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
103,1.93,1.93,1.93,1.93,1514237400,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
104,1.92,1.92,1.92,1.92,1514237460,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
105,1.93,1.93,1.93,1.93,1514237520,50.0,96.5,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
106,1.93,1.93,1.93,1.93,1514237580,358.68,692.25,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
107,1.93,1.93,1.93,1.93,1514237640,1.67,3.22,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
108,1.93,1.93,1.93,1.93,1514237700,2.82,5.44,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
109,1.94,1.94,1.92,1.92,1514237760,35.49,68.85,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
110,1.94,1.94,1.94,1.94,1514237820,21.0,40.74,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
111,1.94,1.94,1.94,1.94,1514237880,85.52,165.91,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
112,1.94,1.94,1.94,1.94,1514237940,8.24,15.99,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
113,1.94,1.94,1.94,1.94,1514238000,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
114,1.94,1.94,1.94,1.94,1514238060,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
115,1.94,1.94,1.94,1.94,1514238120,7.28,14.12,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
116,1.94,1.94,1.94,1.94,1514238180,571.64,1108.98,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
117,1.94,1.94,1.94,1.94,1514238240,28.36,55.02,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
118,1.94,1.94,1.94,1.94,1514238300,43.82,85.01,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
119,1.91,1.91,1.9,1.91,1514238360,2.22,4.24,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
120,1.91,1.91,1.91,1.91,1514238420,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
121,1.91,1.91,1.91,1.91,1514238480,40.11,76.61,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
122,1.91,1.91,1.91,1.91,1514238540,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
123,1.91,1.91,1.91,1.91,1514238600,0.9301,1.78,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
124,1.91,1.91,1.91,1.91,1514238660,0.0,0.0,PASC,1,JordanManual,CCCAGG,2017-12-26 22:50:22.728137
