close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
10.04,10.18,10.04,10.18,1514392380,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
9.99,10.05,9.99,10.05,1514392560,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
10.05,10.05,9.97,9.97,1514392740,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
10.06,10.06,10.0,10.0,1514392920,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
10.04,10.04,10.03,10.03,1514393100,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
10.06,10.07,10.06,10.07,1514393280,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
10.01,10.07,10.01,10.07,1514393460,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
9.93,9.99,9.93,9.99,1514393640,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
9.98,9.98,9.95,9.98,1514393820,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
9.88,9.97,9.88,9.97,1514394000,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
9.86,9.9,9.83,9.83,1514394180,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
9.9,9.9,9.82,9.82,1514394360,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
9.98,9.98,9.91,9.91,1514394540,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
9.97,10.0,9.97,10.0,1514394720,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
9.95,9.97,9.95,9.96,1514394900,0.0,0.0,1,JordanManual,CCCAGG,PPY,2017-12-28 18:52:03.369728
