Id,Id,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.0,0.8819,1,JordanManual,CCCAGG,0.882,0.8817,0.8817,PRL,1514329920,2017-12-28 01:31:51.315506,0.0,0.0
1,1.0,0.8809,1,JordanManual,CCCAGG,0.8816,0.8809,0.8816,PRL,1514330100,2017-12-28 01:31:51.315506,0.0,0.0
2,2.0,0.88,1,JordanManual,CCCAGG,0.8802,0.8798,0.8798,PRL,1514330280,2017-12-28 01:31:51.315506,0.0,0.0
3,3.0,0.8806,1,JordanManual,CCCAGG,0.8807,0.8802,0.8802,PRL,1514330460,2017-12-28 01:31:51.315506,0.0,0.0
4,4.0,0.8782,1,JordanManual,CCCAGG,0.8793,0.8782,0.8793,PRL,1514330640,2017-12-28 01:31:51.315506,929.0,815.88
5,5.0,0.8792,1,JordanManual,CCCAGG,0.8792,0.8788,0.8791,PRL,1514330820,2017-12-28 01:31:51.315506,147.52,129.65
6,6.0,0.8812,1,JordanManual,CCCAGG,0.8812,0.8791,0.8791,PRL,1514331000,2017-12-28 01:31:51.315506,950.552085,836.671833
7,7.0,0.882,1,JordanManual,CCCAGG,0.882,0.8816,0.8816,PRL,1514331180,2017-12-28 01:31:51.315506,27.55,24.3
8,8.0,0.8821,1,JordanManual,CCCAGG,0.8825,0.8821,0.8824,PRL,1514331360,2017-12-28 01:31:51.315506,0.09476,0.08362
9,9.0,0.8831,1,JordanManual,CCCAGG,0.8831,0.8817,0.8821,PRL,1514331540,2017-12-28 01:31:51.315506,0.0,0.0
10,10.0,0.884,1,JordanManual,CCCAGG,0.884,0.8826,0.8826,PRL,1514331720,2017-12-28 01:31:51.315506,0.0,0.0
11,11.0,0.8847,1,JordanManual,CCCAGG,0.8847,0.8843,0.8843,PRL,1514331900,2017-12-28 01:31:51.315506,0.0,0.0
12,12.0,0.8853,1,JordanManual,CCCAGG,0.8853,0.8849,0.8849,PRL,1514332080,2017-12-28 01:31:51.315506,0.0,0.0
13,13.0,0.8865,1,JordanManual,CCCAGG,0.8865,0.8856,0.8857,PRL,1514332260,2017-12-28 01:31:51.315506,0.0,0.0
14,14.0,0.8878,1,JordanManual,CCCAGG,0.8878,0.887,0.887,PRL,1514332440,2017-12-28 01:31:51.315506,0.0,0.0
15,15.0,0.8883,1,JordanManual,CCCAGG,0.8883,0.8876,0.8876,PRL,1514332620,2017-12-28 01:31:51.315506,0.0,0.0
16,16.0,0.8857,1,JordanManual,CCCAGG,0.8882,0.8857,0.8882,PRL,1514332800,2017-12-28 01:31:51.315506,0.0,0.0
17,17.0,0.8859,1,JordanManual,CCCAGG,0.886,0.8852,0.8852,PRL,1514332980,2017-12-28 01:31:51.315506,0.0,0.0
18,18.0,0.7886,1,JordanManual,CCCAGG,0.7888,0.7886,0.7886,PRL,1514333160,2017-12-28 01:31:51.315506,292.0,230.27
19,19.0,0.7891,1,JordanManual,CCCAGG,0.7891,0.7887,0.7887,PRL,1514333340,2017-12-28 01:31:51.315506,0.0,0.0
20,20.0,0.789,1,JordanManual,CCCAGG,0.789,0.7889,0.7889,PRL,1514333520,2017-12-28 01:31:51.315506,0.0,0.0
21,21.0,0.7895,1,JordanManual,CCCAGG,0.7895,0.7892,0.7892,PRL,1514333700,2017-12-28 01:31:51.315506,0.0,0.0
22,22.0,0.7891,1,JordanManual,CCCAGG,0.7897,0.7891,0.7894,PRL,1514333880,2017-12-28 01:31:51.315506,0.0,0.0
23,23.0,0.7893,1,JordanManual,CCCAGG,0.7893,0.7886,0.7886,PRL,1514334060,2017-12-28 01:31:51.315506,0.0,0.0
24,24.0,0.7901,1,JordanManual,CCCAGG,0.7901,0.7895,0.7896,PRL,1514334240,2017-12-28 01:31:51.315506,0.0,0.0
25,25.0,0.7921,1,JordanManual,CCCAGG,0.7921,0.7906,0.7906,PRL,1514334420,2017-12-28 01:31:51.315506,0.0,0.0
26,26.0,0.6808,1,JordanManual,CCCAGG,0.7938,0.6808,0.7938,PRL,1514334600,2017-12-28 01:31:51.315506,7340.46,5001.79
27,27.0,0.6814,1,JordanManual,CCCAGG,0.6814,0.6803,0.6809,PRL,1514334780,2017-12-28 01:31:51.315506,0.0,0.0
28,28.0,0.6817,1,JordanManual,CCCAGG,0.6817,0.6808,0.6808,PRL,1514334960,2017-12-28 01:31:51.315506,0.0,0.0
29,29.0,0.6815,1,JordanManual,CCCAGG,0.6816,0.6809,0.6816,PRL,1514335140,2017-12-28 01:31:51.315506,0.0,0.0
30,30.0,0.6809,1,JordanManual,CCCAGG,0.6816,0.6809,0.6816,PRL,1514335320,2017-12-28 01:31:51.315506,0.0,0.0
31,31.0,0.6816,1,JordanManual,CCCAGG,0.6816,0.6813,0.6813,PRL,1514335500,2017-12-28 01:31:51.315506,0.0,0.0
32,32.0,0.6817,1,JordanManual,CCCAGG,0.6825,0.6817,0.6824,PRL,1514335680,2017-12-28 01:31:51.315506,0.0,0.0
33,33.0,0.6822,1,JordanManual,CCCAGG,0.6822,0.6817,0.682,PRL,1514335860,2017-12-28 01:31:51.315506,0.0,0.0
34,34.0,0.728,1,JordanManual,CCCAGG,0.7281,0.7273,0.7281,PRL,1514336040,2017-12-28 01:31:51.315506,200.0,145.62
35,35.0,0.7281,1,JordanManual,CCCAGG,0.7282,0.7281,0.7282,PRL,1514336220,2017-12-28 01:31:51.315506,0.0,0.0
36,36.0,0.7285,1,JordanManual,CCCAGG,0.7285,0.7281,0.7281,PRL,1514336400,2017-12-28 01:31:51.315506,8.79,6.4
37,37.0,0.7289,1,JordanManual,CCCAGG,0.7289,0.7287,0.7287,PRL,1514336580,2017-12-28 01:31:51.315506,0.001172,0.0008543
38,38.0,0.7298,1,JordanManual,CCCAGG,0.7298,0.7291,0.7291,PRL,1514336760,2017-12-28 01:31:51.315506,13.74,10.03
39,39.0,0.7294,1,JordanManual,CCCAGG,0.7296,0.7293,0.7296,PRL,1514336940,2017-12-28 01:31:51.315506,0.0,0.0
40,40.0,0.7305,1,JordanManual,CCCAGG,0.7305,0.7296,0.7296,PRL,1514337120,2017-12-28 01:31:51.315506,0.0,0.0
41,41.0,0.7294,1,JordanManual,CCCAGG,0.7298,0.7294,0.7295,PRL,1514337300,2017-12-28 01:31:51.315506,435.82,318.06
42,42.0,0.7303,1,JordanManual,CCCAGG,0.7307,0.7301,0.7301,PRL,1514337480,2017-12-28 01:31:51.315506,0.0,0.0
43,43.0,0.7313,1,JordanManual,CCCAGG,0.7313,0.7309,0.7309,PRL,1514337660,2017-12-28 01:31:51.315506,0.0,0.0
44,44.0,0.7319,1,JordanManual,CCCAGG,0.7319,0.7316,0.7316,PRL,1514337840,2017-12-28 01:31:51.315506,34.89,25.53
45,45.0,0.7309,1,JordanManual,CCCAGG,0.7317,0.7309,0.7316,PRL,1514338020,2017-12-28 01:31:51.315506,0.0,0.0
