close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.9608,0.9608,0.9561,0.9566,1514388240,1418.79,1358.71,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.962,0.9636,0.9615,0.9615,1514388420,725.49,697.93,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9588,0.9598,0.9582,0.9595,1514388600,1639.7,1571.77,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9599,0.9637,0.9594,0.9623,1514388780,2496.5,2401.86,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9558,0.9594,0.9553,0.9591,1514388960,2729.44,2614.74,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9555,0.9583,0.9551,0.9577,1514389140,3016.67,2884.12,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9538,0.955,0.9513,0.9539,1514389320,3252.34,3101.09,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9553,0.9554,0.9528,0.953,1514389500,2196.51,2094.34,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9573,0.958,0.9552,0.9559,1514389680,895.47,856.59,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9588,0.9588,0.9563,0.9566,1514389860,3755.5,3597.65,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9544,0.959,0.9544,0.9589,1514390040,3360.51,3215.51,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9587,0.9587,0.949,0.9585,1514390220,3356.42,3214.68,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9582,0.9622,0.9497,0.9575,1514390400,2402.18,2300.25,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9599,0.9604,0.9561,0.959,1514390580,2148.54,2061.32,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9555,0.9593,0.9539,0.9592,1514390760,2760.9,2638.23,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
0.9558,0.9593,0.9487,0.9561,1514390940,3701.1,3538.91,1,JordanManual,CCCAGG,PRO,2017-12-28 17:43:10.270476
