close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
2.04,1,JordanManual,CCCAGG,2.04,2.04,2.04,QRL,1514723580,2018-01-01 14:51:31.110819,0.0,0.0
2.1,1,JordanManual,CCCAGG,2.1,2.03,2.04,QRL,1514723760,2018-01-01 14:51:31.110819,737.95,1549.7
2.1,1,JordanManual,CCCAGG,2.1,2.1,2.1,QRL,1514723940,2018-01-01 14:51:31.110819,81.45,171.05
2.05,1,JordanManual,CCCAGG,2.11,2.04,2.1,QRL,1514724120,2018-01-01 14:51:31.110819,132.26,274.27
2.04,1,JordanManual,CCCAGG,2.05,2.04,2.05,QRL,1514724300,2018-01-01 14:51:31.110819,1304.19,2661.07
2.04,1,JordanManual,CCCAGG,2.04,2.04,2.04,QRL,1514724480,2018-01-01 14:51:31.110819,322.0,656.88
2.01,1,JordanManual,CCCAGG,2.03,2.01,2.03,QRL,1514724660,2018-01-01 14:51:31.110819,646.4,1299.52
2.01,1,JordanManual,CCCAGG,2.02,2.01,2.02,QRL,1514724840,2018-01-01 14:51:31.110819,51.64,103.8
2.0,1,JordanManual,CCCAGG,2.01,1.99,2.01,QRL,1514725020,2018-01-01 14:51:31.110819,332.99,666.96
2.0,1,JordanManual,CCCAGG,2.01,2.0,2.01,QRL,1514725200,2018-01-01 14:51:31.110819,1327.17,2654.34
2.05,1,JordanManual,CCCAGG,2.06,2.0,2.0,QRL,1514725380,2018-01-01 14:51:31.110819,1199.89,2437.44
2.04,1,JordanManual,CCCAGG,2.05,2.0,2.0,QRL,1514725560,2018-01-01 14:51:31.110819,400.72,808.85
2.06,1,JordanManual,CCCAGG,2.06,2.04,2.04,QRL,1514725740,2018-01-01 14:51:31.110819,461.16,942.09
2.05,1,JordanManual,CCCAGG,2.06,2.05,2.06,QRL,1514725920,2018-01-01 14:51:31.110819,42.64,87.41
