Id,close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0,0.2673,0.268,0.2673,0.268,1514327400,1000.0,268.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
1,0.2667,0.2668,0.2661,0.2668,1514327580,166.25,44.34,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
2,0.2679,0.2679,0.2672,0.2672,1514327760,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
3,0.2682,0.2683,0.2682,0.2683,1514327940,1000.0,268.2,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
4,0.2677,0.2681,0.2677,0.2681,1514328120,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
5,0.2678,0.2678,0.2675,0.2676,1514328300,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
6,0.2687,0.2687,0.2681,0.2681,1514328480,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
7,0.2682,0.2687,0.2682,0.2687,1514328660,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
8,0.2682,0.2684,0.2681,0.2681,1514328840,750.0,201.15,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
9,0.2677,0.2677,0.2677,0.2677,1514329020,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
10,0.2675,0.2677,0.2675,0.2675,1514329200,62.33,16.69,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
11,0.2683,0.2683,0.2679,0.2679,1514329380,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
12,0.2685,0.2685,0.2681,0.2681,1514329560,67.91,18.21,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
13,0.2686,0.2687,0.2686,0.2687,1514329740,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
14,0.2681,0.2685,0.2681,0.2685,1514329920,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
15,0.2675,0.2679,0.2675,0.2679,1514330100,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
16,0.2668,0.2672,0.2668,0.2672,1514330280,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
17,0.2665,0.267,0.2665,0.267,1514330460,1732.77,461.78,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
18,0.266,0.2665,0.266,0.2665,1514330640,37.0,9.84,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
19,0.2655,0.2659,0.2654,0.2659,1514330820,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
20,0.2704,0.2704,0.2652,0.2652,1514331000,377.67,102.12,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
21,0.2703,0.271,0.2703,0.271,1514331180,144.76,39.13,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
22,0.2707,0.2707,0.2705,0.2705,1514331360,2000.0,541.2,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
23,0.2703,0.2703,0.2701,0.2702,1514331540,146.83,39.69,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
24,0.2665,0.2665,0.2661,0.2661,1514331720,7864.07,2094.18,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
25,0.2667,0.2669,0.2667,0.2667,1514331900,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
26,0.2666,0.2668,0.2666,0.2668,1514332080,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
27,0.267,0.267,0.266,0.2668,1514332260,164.79,43.83,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
28,0.2669,0.2669,0.2668,0.2668,1514332440,2226.29,594.2,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
29,0.2672,0.2672,0.2669,0.2669,1514332620,3739.91,998.39,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
30,0.2647,0.2647,0.2639,0.2642,1514332800,4857.91,1283.09,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
31,0.2645,0.2647,0.2645,0.2647,1514332980,61.19,16.2,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
32,0.2636,0.2642,0.2636,0.2642,1514333160,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
33,0.2632,0.2637,0.2632,0.2637,1514333340,5200.0,1369.68,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
34,0.2656,0.2656,0.2635,0.2635,1514333520,8194.88,2176.24,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
35,0.2661,0.2661,0.2657,0.2657,1514333700,2002.03,532.74,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
36,0.2663,0.2663,0.2661,0.2661,1514333880,241.01,64.16,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
37,0.2619,0.2625,0.2619,0.2621,1514334060,638.8,167.34,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
38,0.2628,0.2628,0.2619,0.2619,1514334240,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
39,0.2636,0.2641,0.2635,0.2636,1514334420,161.96,42.69,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
40,0.264,0.2642,0.264,0.2642,1514334600,0.6783,0.1792,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
41,0.2654,0.2654,0.2638,0.2638,1514334780,266.5,70.68,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
42,0.2651,0.2656,0.2651,0.2656,1514334960,219.56,58.28,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
43,0.2651,0.2651,0.2649,0.265,1514335140,1000.61,265.24,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
44,0.2648,0.265,0.2648,0.265,1514335320,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
45,0.2654,0.2654,0.2647,0.2647,1514335500,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
46,0.2648,0.2657,0.2648,0.2657,1514335680,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
47,0.2651,0.2651,0.2648,0.2648,1514335860,0.0,0.0,1,JordanManual,CCCAGG,QWARK,2017-12-28 00:50:15.139962
