Id,close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0,311.19,311.38,311.13,311.13,1514328840,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
1,312.57,312.57,311.11,311.11,1514329020,1.59,496.6,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
2,312.6,312.63,312.43,312.43,1514329200,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
3,312.89,312.89,312.5,312.5,1514329380,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
4,275.22,312.88,275.15,312.88,1514329560,2.72,749.16,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
5,275.42,275.42,275.15,275.15,1514329740,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
6,275.47,275.51,275.42,275.42,1514329920,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
7,275.16,275.37,275.16,275.37,1514330100,0.01485,4.09,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
8,274.89,274.94,274.83,274.83,1514330280,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
9,275.06,275.1,274.95,274.95,1514330460,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
10,274.8,275.11,274.8,275.11,1514330640,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
11,301.35,301.35,269.77,269.77,1514330820,0.01,3.01,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
12,273.99,301.7,273.7,301.32,1514331000,0.05,13.69,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
13,274.26,274.26,274.12,274.12,1514331180,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
14,274.28,274.41,274.28,274.36,1514331360,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
15,274.59,274.59,274.16,274.28,1514331540,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
16,274.88,274.88,274.43,274.43,1514331720,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
17,275.09,275.09,274.97,274.97,1514331900,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
18,266.64,275.15,266.52,275.15,1514332080,0.03019,8.05,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
19,267.0,267.0,266.74,266.75,1514332260,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
20,267.38,267.38,267.15,267.15,1514332440,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
21,267.53,267.53,267.32,267.32,1514332620,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
22,266.75,267.51,266.75,267.51,1514332800,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
23,266.81,266.84,266.62,266.62,1514332980,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
24,266.7,266.77,266.7,266.71,1514333160,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
25,266.87,266.87,266.75,266.75,1514333340,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
26,266.83,266.83,266.8,266.8,1514333520,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
27,266.99,266.99,266.91,266.91,1514333700,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
28,266.86,267.06,266.86,266.96,1514333880,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
29,266.92,266.92,266.7,266.7,1514334060,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
30,267.2,267.2,267.01,267.02,1514334240,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
31,278.35,278.35,267.38,267.38,1514334420,0.16,44.46,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
32,279.14,279.39,278.95,278.95,1514334600,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
33,279.38,279.38,278.93,279.18,1514334780,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
34,279.48,279.48,279.12,279.12,1514334960,0.01,2.79,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
35,279.4,279.47,279.19,279.47,1514335140,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
36,279.16,279.47,279.16,279.47,1514335320,23.04,6431.84,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
37,279.46,279.46,279.32,279.32,1514335500,0.0,0.0,1,JordanManual,CCCAGG,SBTC,2017-12-28 01:14:06.097848
