close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.2371,0.2372,0.2371,0.2372,1514391300,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2366,0.2369,0.2366,0.2369,1514391480,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2363,0.2365,0.2363,0.2365,1514391660,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2367,0.2367,0.2364,0.2364,1514391840,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2356,0.2364,0.2356,0.2364,1514392020,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2336,0.2349,0.2336,0.2349,1514392200,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2312,0.2332,0.2312,0.2332,1514392380,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2304,0.231,0.2304,0.2309,1514392560,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2306,0.2306,0.2297,0.2297,1514392740,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2303,0.2303,0.2298,0.2299,1514392920,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2298,0.23,0.2298,0.23,1514393100,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2303,0.2303,0.2302,0.2302,1514393280,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2298,0.2303,0.2298,0.2303,1514393460,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2285,0.2296,0.2285,0.2296,1514393640,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2287,0.229,0.2283,0.229,1514393820,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2276,0.2286,0.2276,0.2286,1514394000,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.227,0.2274,0.227,0.2272,1514394180,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2277,0.2277,0.2264,0.2264,1514394360,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2297,0.2297,0.2279,0.2279,1514394540,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2295,0.23,0.2295,0.23,1514394720,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2287,0.2292,0.2287,0.2288,1514394900,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2295,0.2295,0.229,0.229,1514395080,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2298,0.2298,0.2295,0.2295,1514395260,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2306,0.2306,0.2301,0.2301,1514395440,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2322,0.2322,0.2308,0.2308,1514395620,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2313,0.2318,0.2309,0.2318,1514395800,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2319,0.2319,0.2315,0.2318,1514395980,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2324,0.2324,0.232,0.232,1514396160,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2324,0.2324,0.2322,0.2322,1514396340,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2309,0.2325,0.2309,0.2325,1514396520,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2312,0.2312,0.2304,0.2304,1514396700,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2321,0.2321,0.2316,0.2316,1514396880,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2324,0.2324,0.2323,0.2323,1514397060,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2328,0.2328,0.2324,0.2324,1514397240,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2328,0.2332,0.2328,0.233,1514397420,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
0.2329,0.2329,0.2325,0.2325,1514397600,0.0,0.0,1,JordanManual,CCCAGG,SCL,2017-12-28 18:34:23.324103
