Id,close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0,0.3668,0.367,0.3667,0.3667,1514328840,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
1,0.3661,0.3661,0.3661,0.3661,1514329020,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
2,0.3658,0.3661,0.3658,0.3659,1514329200,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
3,0.367,0.367,0.3664,0.3664,1514329380,766.98,281.38,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
4,0.3704,0.3704,0.3667,0.3667,1514329560,772.82,284.66,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
5,0.3706,0.3707,0.3706,0.3707,1514329740,58.56,21.71,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
6,0.3698,0.3703,0.3698,0.3703,1514329920,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
7,0.3689,0.3696,0.3689,0.3696,1514330100,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
8,0.3681,0.3685,0.3681,0.3685,1514330280,35.93,13.24,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
9,0.3676,0.3683,0.3676,0.3683,1514330460,1072.51,394.91,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
10,0.3669,0.3676,0.3669,0.3676,1514330640,346.26,127.18,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
11,0.3662,0.3667,0.3661,0.3667,1514330820,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
12,0.3671,0.3671,0.3659,0.3659,1514331000,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
13,0.3671,0.368,0.3671,0.368,1514331180,683.46,250.9,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
14,0.3675,0.3675,0.3673,0.3673,1514331360,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
15,0.367,0.367,0.3667,0.3669,1514331540,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
16,0.3632,0.3669,0.3628,0.3669,1514331720,81.65,29.62,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
17,0.3635,0.3637,0.3634,0.3634,1514331900,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
18,0.3633,0.3636,0.3633,0.3636,1514332080,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
19,0.3649,0.3649,0.3636,0.3636,1514332260,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
20,0.3647,0.3648,0.3646,0.3646,1514332440,3121.54,1138.2,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
21,0.3652,0.3652,0.3647,0.3647,1514332620,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
22,0.3641,0.3645,0.3641,0.3645,1514332800,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
23,0.3697,0.3699,0.3696,0.3696,1514332980,47.38,17.53,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
24,0.3684,0.3693,0.3684,0.3693,1514333160,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
25,0.3679,0.3685,0.3679,0.3685,1514333340,43.01,15.84,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
26,0.3678,0.3678,0.3676,0.3678,1514333520,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
27,0.3684,0.3684,0.3678,0.3678,1514333700,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
28,0.3633,0.3684,0.363,0.3684,1514333880,168.58,61.25,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
29,0.3638,0.3638,0.3631,0.3631,1514334060,10000.0,3631.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
30,0.3651,0.3651,0.3638,0.3638,1514334240,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
31,0.3662,0.3662,0.366,0.3661,1514334420,5956.29,2180.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
32,0.3658,0.3661,0.3658,0.3661,1514334600,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
33,0.3658,0.3658,0.3655,0.3655,1514334780,205.0,74.95,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
34,0.3653,0.366,0.3653,0.366,1514334960,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
35,0.3653,0.3653,0.3651,0.3652,1514335140,96.42,35.22,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
36,0.3649,0.3652,0.3649,0.3652,1514335320,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
37,0.3657,0.3657,0.3648,0.3648,1514335500,930.76,340.38,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
38,0.365,0.3662,0.365,0.3662,1514335680,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
39,0.3654,0.3654,0.3649,0.3649,1514335860,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
40,0.3654,0.3655,0.3652,0.3652,1514336040,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
41,0.3651,0.3653,0.3651,0.3653,1514336220,4216.65,1540.25,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
42,0.3658,0.3658,0.3654,0.3654,1514336400,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
43,0.3651,0.371,0.3651,0.3659,1514336580,143.41,52.44,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
44,0.3674,0.3674,0.366,0.366,1514336760,340.93,125.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
45,0.3677,0.3677,0.3673,0.3676,1514336940,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
46,0.3631,0.3742,0.3628,0.3684,1514337120,58.7,21.3,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
47,0.3631,0.3632,0.363,0.363,1514337300,40.07,14.55,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
48,0.3621,0.363,0.3621,0.363,1514337480,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
49,0.3627,0.3627,0.3625,0.3626,1514337660,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
50,0.3625,0.3625,0.3624,0.3624,1514337840,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
51,0.3616,0.3622,0.3616,0.3621,1514338020,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
52,0.3628,0.3628,0.3625,0.3625,1514338200,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
53,0.3635,0.3635,0.3634,0.3634,1514338380,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
54,0.3639,0.3639,0.3635,0.3635,1514338560,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
55,0.3641,0.3641,0.3639,0.3639,1514338740,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
56,0.3649,0.3653,0.3641,0.3641,1514338920,3741.71,1366.73,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
57,0.3647,0.3653,0.3647,0.365,1514339100,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
58,0.3639,0.3644,0.3639,0.3644,1514339280,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
59,0.3635,0.3638,0.3627,0.3638,1514339460,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
60,0.3636,0.3637,0.3636,0.3637,1514339640,257.64,93.7,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
61,0.3634,0.3638,0.3634,0.3635,1514339820,0.6459,0.235,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
62,0.3722,0.3725,0.3612,0.3633,1514340000,206.06,76.74,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
63,0.3723,0.3724,0.3723,0.3723,1514340180,500.0,186.15,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
64,0.372,0.3722,0.372,0.3721,1514340360,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
65,0.3706,0.3714,0.3706,0.3714,1514340540,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
66,0.3698,0.3706,0.3698,0.3706,1514340720,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
67,0.3693,0.3696,0.3693,0.3696,1514340900,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
68,0.3702,0.3702,0.3695,0.3695,1514341080,29.93,11.08,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
69,0.3692,0.3699,0.3692,0.3699,1514341260,2145.16,793.49,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
70,0.3692,0.3694,0.3692,0.3692,1514341440,429.03,158.48,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
71,0.3674,0.3699,0.3591,0.3693,1514341620,37.06,13.62,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
72,0.3665,0.3668,0.3665,0.3668,1514341800,151.66,55.58,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
73,0.3669,0.3669,0.3665,0.3665,1514341980,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
74,0.3675,0.3675,0.367,0.3671,1514342160,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
75,0.3685,0.3685,0.3675,0.3675,1514342340,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
76,0.3726,0.3726,0.3689,0.3689,1514342520,92.44,34.44,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
77,0.372,0.3725,0.372,0.3725,1514342700,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
78,0.3709,0.3719,0.3709,0.3719,1514342880,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
79,0.3711,0.3711,0.371,0.371,1514343060,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
80,0.3711,0.3712,0.371,0.371,1514343240,0.0,0.0,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
81,0.3712,0.3712,0.371,0.371,1514343420,102.77,38.15,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
82,0.3718,0.3718,0.3713,0.3713,1514343600,100.0,37.16,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
83,0.3716,0.3718,0.3716,0.3718,1514343780,110.97,41.26,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
84,0.3712,0.3713,0.3606,0.3606,1514343960,212.42,78.85,1,JordanManual,CCCAGG,SEQ,2017-12-28 01:14:11.438956
