Id,close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0,15713.99,15783.35,15657.32,15710.29,1514327220,27.18,427308.43,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
1,2.14,2.14,2.14,2.14,1514327220,58.47,125.12,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
2,4.43,4.43,4.43,4.43,1514327220,199.8,884.12,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
3,15856.99,15874.55,15800.0,15800.0,1514327220,35.46,561039.24,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
4,4.43,4.43,4.43,4.43,1514327400,0.0,0.0,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
5,15814.99,15856.99,15791.0,15856.99,1514327400,43.99,696592.85,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
6,2.1,2.14,2.1,2.14,1514327400,2114.41,4446.68,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
7,15655.93,15740.0,15655.93,15713.99,1514327400,13.84,217094.42,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
8,2.1,2.1,2.09,2.1,1514327580,597.44,1254.62,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
9,15789.0,15814.99,15719.0,15814.99,1514327580,73.27,1155653.8,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
10,15639.65,15674.32,15599.64,15655.93,1514327580,44.48,694638.4,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
11,4.43,4.43,4.43,4.43,1514327580,64.02,283.29,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
12,15829.99,15830.0,15764.99,15789.0,1514327760,37.99,600680.11,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
13,15700.04,15740.0,15639.64,15639.65,1514327760,9.22,144718.24,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
14,4.43,4.43,4.43,4.43,1514327760,0.0,0.0,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
15,2.14,2.14,2.11,2.13,1514327760,202.46,432.1,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
16,4.43,4.43,4.43,4.43,1514327940,14.98,66.29,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
17,2.14,2.14,2.14,2.14,1514327940,1750.48,3746.02,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
18,15800.0,15850.0,15800.0,15829.99,1514327940,75.51,1195720.73,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
19,15756.83,15809.56,15700.04,15700.04,1514327940,10.03,158283.5,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
20,15789.99,15834.93,15789.68,15800.0,1514328120,20.59,325478.88,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
21,2.14,2.14,2.14,2.14,1514328120,1433.09,3066.81,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
22,15715.0,15769.61,15705.86,15756.83,1514328120,7.9111,124488.47,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
23,4.43,4.43,4.43,4.43,1514328120,14.91,66.02,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
24,4.47,4.47,4.43,4.43,1514328300,51.87,231.94,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
25,15795.99,15800.01,15780.65,15789.99,1514328300,26.39,416854.63,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
26,15714.39,15715.05,15656.24,15715.0,1514328300,19.8345,311397.04,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
27,2.11,2.11,2.11,2.11,1514328300,293.75,619.81,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
28,15722.0,15775.8,15660.97,15714.39,1514328480,32.6,513730.59,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
29,4.47,4.47,4.47,4.47,1514328480,13.1,58.59,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
30,2.12,2.12,2.12,2.12,1514328480,81.74,173.29,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
31,15851.96,15867.01,15795.99,15795.99,1514328480,28.98,459301.2,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
32,15685.82,15722.0,15685.79,15722.0,1514328660,36.47,573305.75,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
33,4.47,4.47,4.47,4.47,1514328660,0.0,0.0,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
34,15808.8,15851.96,15806.3,15851.96,1514328660,12.52,198093.75,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
35,2.12,2.12,2.11,2.12,1514328660,149.05,315.99,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
36,4.43,4.47,4.43,4.47,1514328840,61.3,271.56,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
37,15815.01,15827.0,15808.8,15808.8,1514328840,19.56,309346.36,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
38,15698.31,15735.79,15660.99,15685.82,1514328840,27.0237,424862.42,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
39,2.14,2.14,2.11,2.11,1514328840,1144.73,2449.72,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
40,4.49,4.5,4.43,4.43,1514329020,298.93,1336.49,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
41,15780.0,15815.01,15780.0,15815.01,1514329020,31.21,493023.57,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
42,15664.99,15739.33,15656.24,15698.31,1514329020,11.27,176849.02,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
43,2.14,2.14,2.14,2.14,1514329020,3104.36,6643.33,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
44,15780.0,15780.01,15780.0,15780.0,1514329200,7.91,124850.61,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
45,4.49,4.49,4.49,4.49,1514329200,133.56,599.72,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
46,15659.39,15740.1,15656.24,15664.99,1514329200,17.05,267630.23,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
47,2.14,2.14,2.14,2.14,1514329200,81.44,174.28,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
48,15829.13,15830.0,15780.0,15780.0,1514329380,31.58,498900.34,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
49,2.12,2.14,2.12,2.14,1514329380,950.59,2025.07,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
50,15727.0,15765.79,15659.39,15659.39,1514329380,13.44,211354.93,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
51,4.49,4.49,4.43,4.49,1514329380,524.85,2341.62,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
52,2.12,2.12,2.11,2.11,1514329560,3220.16,6815.4,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
53,4.43,4.49,4.43,4.49,1514329560,128.75,570.4,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
54,15829.39,15829.4,15829.13,15829.13,1514329560,12.73,201615.41,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
55,15776.65,15780.8,15699.1,15727.0,1514329560,3.5729,56287.62,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
56,2.15,2.15,2.12,2.12,1514329740,812.34,1727.05,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
57,4.43,4.43,4.43,4.43,1514329740,0.0,0.0,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
58,15736.67,15800.23,15723.72,15776.65,1514329740,13.2924,209520.61,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
59,15841.01,15860.0,15829.39,15829.39,1514329740,28.34,448993.8,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
60,15749.97,15782.46,15720.85,15736.67,1514329920,1.3845,21798.23,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
61,4.47,4.47,4.43,4.43,1514329920,20.0,89.47,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
62,2.14,2.15,2.14,2.15,1514329920,131.1,281.64,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
63,15820.0,15841.01,15820.0,15841.01,1514329920,12.86,203501.45,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
64,15675.98,15750.0,15659.0,15749.97,1514330100,14.33,225361.91,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
65,15790.0,15820.01,15780.0,15820.0,1514330100,34.22,540418.94,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
66,2.11,2.14,2.11,2.14,1514330100,2717.64,5734.22,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
67,4.47,4.47,4.47,4.47,1514330100,0.0,0.0,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
68,4.46,4.47,4.46,4.47,1514330280,18.0,80.28,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
69,2.13,2.13,2.13,2.13,1514330280,1351.43,2878.54,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
70,15650.0,15715.16,15626.17,15675.98,1514330280,12.2843,192250.34,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
71,15737.01,15790.01,15731.23,15790.0,1514330280,51.89,817835.09,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
72,15630.78,15678.91,15626.17,15650.0,1514330460,6.2174,97262.19,1,JordanManual,Bitstamp,BTC,2017-12-28 00:45:43.967720
73,2.13,2.13,2.13,2.13,1514330460,1093.91,2330.02,1,JordanManual,CCCAGG,MYST,2017-12-28 00:47:39.856885
74,15710.06,15745.77,15710.0,15737.01,1514330460,42.9,674700.79,1,JordanManual,Coinbase,BTC,2017-12-28 00:45:45.753047
75,4.43,4.46,4.43,4.46,1514330460,13.88,61.5,1,JordanManual,Bitfinex,AVT,2017-12-28 00:47:35.807051
