Id,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,2.64,2.64,2.64,2.64,1514231220,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
1,2.64,2.64,2.64,2.64,1514231280,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
2,2.64,2.64,2.64,2.64,1514231340,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
3,2.64,2.64,2.64,2.64,1514231400,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
4,2.64,2.64,2.64,2.64,1514231460,3.6,9.5,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
5,2.65,2.65,2.65,2.65,1514231520,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
6,2.64,2.64,2.64,2.64,1514231580,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
7,2.65,2.65,2.65,2.65,1514231640,202.05,535.43,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
8,2.65,2.65,2.65,2.65,1514231700,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
9,2.64,2.65,2.64,2.65,1514231760,65.22,172.18,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
10,2.64,2.64,2.64,2.64,1514231820,88.36,233.27,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
11,2.64,2.64,2.64,2.64,1514231880,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
12,2.65,2.65,2.65,2.65,1514231940,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
13,2.66,2.66,2.64,2.64,1514232000,29.05,77.27,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
14,2.66,2.66,2.66,2.66,1514232060,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
15,2.66,2.66,2.66,2.66,1514232120,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
16,2.66,2.66,2.66,2.66,1514232180,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
17,2.65,2.65,2.65,2.65,1514232240,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
18,2.65,2.65,2.65,2.65,1514232300,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
19,2.66,2.66,2.66,2.66,1514232360,20.0,53.2,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
20,2.65,2.65,2.65,2.65,1514232420,359.72,953.26,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
21,2.66,2.66,2.63,2.63,1514232480,4.31,11.46,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
22,2.66,2.66,2.66,2.66,1514232540,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
23,2.66,2.66,2.66,2.66,1514232600,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
24,2.66,2.66,2.66,2.66,1514232660,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
25,2.66,2.66,2.66,2.66,1514232720,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
26,2.66,2.66,2.66,2.66,1514232780,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
27,2.66,2.66,2.66,2.66,1514232840,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
28,2.66,2.66,2.66,2.66,1514232900,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
29,2.66,2.66,2.66,2.66,1514232960,10.1,26.87,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
30,2.66,2.66,2.66,2.66,1514233020,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
31,2.66,2.66,2.66,2.66,1514233080,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
32,2.66,2.66,2.66,2.66,1514233140,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
33,2.66,2.66,2.66,2.66,1514233200,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
34,2.67,2.67,2.67,2.67,1514233260,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
35,2.67,2.67,2.67,2.67,1514233320,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
36,2.67,2.67,2.67,2.67,1514233380,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
37,2.67,2.67,2.67,2.67,1514233440,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
38,2.67,2.67,2.67,2.67,1514233500,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
39,2.67,2.67,2.67,2.67,1514233560,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
40,2.67,2.67,2.67,2.67,1514233620,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
41,2.67,2.67,2.67,2.67,1514233680,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
42,2.67,2.67,2.67,2.67,1514233740,63.86,170.51,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
43,2.67,2.67,2.67,2.67,1514233800,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
44,2.67,2.67,2.67,2.67,1514233860,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
45,2.67,2.67,2.67,2.67,1514233920,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
46,2.67,2.67,2.67,2.67,1514233980,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
47,2.67,2.67,2.67,2.67,1514234040,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
48,2.66,2.66,2.66,2.66,1514234100,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
49,2.66,2.66,2.66,2.66,1514234160,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
50,2.66,2.66,2.66,2.66,1514234220,199.85,531.6,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
51,2.66,2.66,2.66,2.66,1514234280,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
52,2.66,2.66,2.66,2.66,1514234340,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
53,2.66,2.66,2.66,2.66,1514234400,30.21,80.36,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
54,2.66,2.66,2.66,2.66,1514234460,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
55,2.66,2.66,2.66,2.66,1514234520,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
56,2.65,2.65,2.65,2.65,1514234580,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
57,2.64,2.64,2.64,2.64,1514234640,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
58,2.62,2.62,2.62,2.62,1514234700,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
59,2.62,2.62,2.62,2.62,1514234760,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
60,2.62,2.62,2.62,2.62,1514234820,265.8,696.4,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
61,2.61,2.61,2.61,2.61,1514234880,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
62,2.61,2.61,2.61,2.61,1514234940,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
63,2.61,2.61,2.61,2.61,1514235000,144.54,377.25,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
64,2.62,2.62,2.62,2.62,1514235060,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
65,2.62,2.62,2.62,2.62,1514235120,199.85,523.61,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
66,2.62,2.62,2.62,2.62,1514235180,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
67,2.61,2.61,2.61,2.61,1514235240,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
68,2.6,2.6,2.6,2.6,1514235300,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
69,2.6,2.6,2.6,2.6,1514235360,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
70,2.61,2.61,2.61,2.61,1514235420,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
71,2.61,2.61,2.61,2.61,1514235480,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
72,2.61,2.61,2.61,2.61,1514235540,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
73,2.6,2.6,2.6,2.6,1514235600,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
74,2.6,2.6,2.6,2.6,1514235660,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
75,2.6,2.6,2.6,2.6,1514235720,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
76,2.59,2.59,2.59,2.59,1514235780,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
77,2.58,2.58,2.58,2.58,1514235840,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
78,2.59,2.59,2.59,2.59,1514235900,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
79,2.59,2.59,2.59,2.59,1514235960,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
80,2.59,2.59,2.59,2.59,1514236020,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
81,2.6,2.6,2.6,2.6,1514236080,23.39,60.81,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
82,2.6,2.6,2.6,2.6,1514236140,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
83,2.61,2.61,2.61,2.61,1514236200,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
84,2.61,2.61,2.61,2.61,1514236260,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
85,2.61,2.61,2.61,2.61,1514236320,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
86,2.62,2.62,2.62,2.62,1514236380,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
87,2.63,2.63,2.63,2.63,1514236440,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
88,2.63,2.63,2.63,2.63,1514236500,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
89,2.62,2.62,2.62,2.62,1514236560,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
90,2.62,2.62,2.62,2.62,1514236620,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
91,2.63,2.63,2.63,2.63,1514236680,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
92,2.62,2.62,2.62,2.62,1514236740,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
93,2.62,2.62,2.62,2.62,1514236800,19.07,49.96,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
94,2.62,2.62,2.62,2.62,1514236860,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
95,2.62,2.62,2.62,2.62,1514236920,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
96,2.62,2.62,2.62,2.62,1514236980,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
97,2.61,2.61,2.61,2.61,1514237040,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
98,2.62,2.62,2.62,2.62,1514237100,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
99,2.62,2.62,2.62,2.62,1514237160,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
100,2.62,2.62,2.62,2.62,1514237220,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
101,2.62,2.62,2.62,2.62,1514237280,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
102,2.62,2.62,2.62,2.62,1514237340,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
103,2.62,2.62,2.62,2.62,1514237400,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
104,2.62,2.62,2.62,2.62,1514237460,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
105,2.62,2.62,2.62,2.62,1514237520,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
106,2.62,2.62,2.62,2.62,1514237580,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
107,2.63,2.63,2.63,2.63,1514237640,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
108,2.63,2.63,2.63,2.63,1514237700,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
109,2.63,2.63,2.63,2.63,1514237760,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
110,2.63,2.63,2.63,2.63,1514237820,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
111,2.62,2.62,2.62,2.62,1514237880,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
112,2.62,2.62,2.62,2.62,1514237940,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
113,2.62,2.62,2.62,2.62,1514238000,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
114,2.62,2.62,2.62,2.62,1514238060,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
115,2.62,2.62,2.62,2.62,1514238120,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
116,2.62,2.62,2.62,2.62,1514238180,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
117,2.62,2.62,2.62,2.62,1514238240,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
118,2.66,2.66,2.66,2.66,1514238300,53.51,142.34,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
119,2.67,2.67,2.67,2.67,1514238360,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
120,2.67,2.67,2.67,2.67,1514238420,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
121,2.67,2.67,2.67,2.67,1514238480,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
122,2.67,2.67,2.67,2.67,1514238540,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
123,2.67,2.67,2.67,2.67,1514238600,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
124,2.67,2.67,2.67,2.67,1514238660,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
125,2.66,2.66,2.66,2.66,1514238720,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
126,2.66,2.66,2.66,2.66,1514238780,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
127,2.65,2.66,2.65,2.66,1514238840,5.15,13.65,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
128,2.65,2.65,2.65,2.65,1514238900,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
129,2.65,2.65,2.65,2.65,1514238960,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
130,2.66,2.66,2.66,2.66,1514239020,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
131,2.66,2.66,2.66,2.66,1514239080,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
132,2.66,2.66,2.66,2.66,1514239140,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
133,2.66,2.66,2.66,2.66,1514239200,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
134,2.65,2.65,2.65,2.65,1514239260,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
135,2.66,2.66,2.66,2.66,1514239320,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
136,2.66,2.66,2.66,2.66,1514239380,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
137,2.66,2.66,2.66,2.66,1514239440,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
138,2.66,2.66,2.66,2.66,1514239500,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
139,2.66,2.66,2.66,2.66,1514239560,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
140,2.66,2.66,2.66,2.66,1514239620,3.45,9.18,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
141,2.61,2.66,2.61,2.66,1514239680,6.41,16.73,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
142,2.62,2.62,2.62,2.62,1514239740,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
143,2.62,2.62,2.62,2.62,1514239800,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
144,2.62,2.62,2.62,2.62,1514239860,10.18,26.67,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
145,2.62,2.62,2.62,2.62,1514239920,26.47,69.35,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
146,2.61,2.61,2.61,2.61,1514239980,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
147,2.61,2.61,2.61,2.61,1514240040,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
148,2.61,2.61,2.61,2.61,1514240100,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
149,2.61,2.61,2.61,2.61,1514240160,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
150,2.61,2.61,2.61,2.61,1514240220,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
151,2.61,2.61,2.61,2.61,1514240280,10.57,27.59,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
152,2.61,2.61,2.61,2.61,1514240340,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
153,2.61,2.61,2.61,2.61,1514240400,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
154,2.61,2.61,2.61,2.61,1514240460,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
155,2.61,2.61,2.61,2.61,1514240520,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
156,2.61,2.61,2.61,2.61,1514240580,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
157,2.61,2.61,2.61,2.61,1514240640,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
158,2.61,2.61,2.61,2.61,1514240700,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
159,2.61,2.61,2.61,2.61,1514240760,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
160,2.61,2.61,2.61,2.61,1514240820,0.0,0.0,SNRG,1,JordanManual,CCCAGG,2017-12-26 23:00:05.446492
