Id,close,high,low,open,time,volumefrom,volumeto,coin,coin_units,computer_name,exchange,timestamp_api_call
0,1.64,1.64,1.63,1.63,1514231220,374.15,613.61,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
1,1.63,1.63,1.62,1.63,1514231280,276.5,450.7,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
2,1.63,1.63,1.63,1.63,1514231340,3352.79,5465.05,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
3,1.63,1.63,1.62,1.63,1514231400,1386.55,2260.08,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
4,1.62,1.63,1.62,1.62,1514231460,8657.29,14024.81,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
5,1.62,1.62,1.62,1.62,1514231520,16450.7,26650.13,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
6,1.62,1.62,1.62,1.62,1514231580,8169.35,13234.35,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
7,1.62,1.62,1.62,1.62,1514231640,16258.18,26338.25,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
8,1.63,1.63,1.62,1.62,1514231700,5068.7,8261.98,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
9,1.63,1.63,1.62,1.63,1514231760,2542.02,4143.49,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
10,1.63,1.63,1.63,1.63,1514231820,6727.84,10966.38,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
11,1.63,1.63,1.62,1.63,1514231880,1833.07,2987.9,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
12,1.62,1.63,1.62,1.63,1514231940,19073.79,30899.54,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
13,1.62,1.63,1.62,1.62,1514232000,29275.41,47426.16,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
14,1.63,1.63,1.63,1.63,1514232060,4871.3,7940.22,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
15,1.63,1.63,1.63,1.63,1514232120,4265.0,6951.95,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
16,1.63,1.63,1.63,1.63,1514232180,3148.24,5131.63,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
17,1.63,1.63,1.62,1.62,1514232240,9331.55,15210.43,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
18,1.64,1.65,1.64,1.64,1514232300,10499.53,17219.23,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
19,1.63,1.65,1.63,1.63,1514232360,1441.0,2348.83,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
20,1.64,1.64,1.62,1.62,1514232420,12814.94,21016.5,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
21,1.64,1.64,1.63,1.64,1514232480,9282.53,15223.35,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
22,1.64,1.64,1.63,1.64,1514232540,19890.14,32619.83,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
23,1.64,1.65,1.64,1.64,1514232600,64885.65,106412.47,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
24,1.64,1.65,1.64,1.65,1514232660,6414.57,10519.89,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
25,1.64,1.65,1.63,1.64,1514232720,16960.41,27815.07,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
26,1.63,1.63,1.63,1.63,1514232780,6541.4,10662.48,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
27,1.64,1.64,1.63,1.63,1514232840,11725.76,19230.25,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
28,1.65,1.65,1.64,1.64,1514232900,12672.73,20910.0,STORJ,1,JordanManual,CCCAGG,2017-12-26 23:01:55.656551
