Id,Id,Id.1,Id.1.1,Id.1.1.1,close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
0,0.0,0.0,0.0,0.0,19.52,1,JordanManual,CCCAGG,19.52,19.52,19.52,TER,1514357460,2017-12-28 09:09:26.556622,0.0,0.0
1,1.0,1.0,1.0,1.0,19.54,1,JordanManual,CCCAGG,19.54,19.49,19.52,TER,1514357640,2017-12-28 09:09:26.556622,0.0,0.0
2,2.0,2.0,2.0,2.0,19.53,1,JordanManual,CCCAGG,19.53,19.52,19.53,TER,1514357820,2017-12-28 09:09:26.556622,0.0,0.0
3,3.0,3.0,3.0,3.0,19.56,1,JordanManual,CCCAGG,19.56,19.53,19.53,TER,1514358000,2017-12-28 09:09:26.556622,0.0,0.0
4,4.0,4.0,4.0,4.0,19.56,1,JordanManual,CCCAGG,19.57,19.56,19.56,TER,1514358180,2017-12-28 09:09:26.556622,0.0,0.0
5,5.0,5.0,5.0,5.0,19.57,1,JordanManual,CCCAGG,19.58,19.57,19.57,TER,1514358360,2017-12-28 09:09:26.556622,0.0,0.0
6,6.0,6.0,6.0,6.0,19.57,1,JordanManual,CCCAGG,19.58,19.57,19.58,TER,1514358540,2017-12-28 09:09:26.556622,0.0,0.0
7,7.0,7.0,7.0,7.0,19.37,1,JordanManual,CCCAGG,19.52,19.37,19.52,TER,1514358720,2017-12-28 09:09:26.556622,0.0,0.0
8,8.0,8.0,8.0,8.0,19.35,1,JordanManual,CCCAGG,19.36,19.33,19.36,TER,1514358900,2017-12-28 09:09:26.556622,0.0,0.0
9,9.0,9.0,9.0,9.0,19.37,1,JordanManual,CCCAGG,19.37,19.35,19.35,TER,1514359080,2017-12-28 09:09:26.556622,0.0,0.0
10,10.0,10.0,10.0,10.0,19.39,1,JordanManual,CCCAGG,19.39,19.38,19.38,TER,1514359260,2017-12-28 09:09:26.556622,0.0,0.0
11,11.0,11.0,11.0,11.0,19.41,1,JordanManual,CCCAGG,19.41,19.41,19.41,TER,1514359440,2017-12-28 09:09:26.556622,0.0,0.0
12,12.0,12.0,12.0,12.0,19.3,1,JordanManual,CCCAGG,19.4,19.3,19.4,TER,1514359620,2017-12-28 09:09:26.556622,0.0,0.0
13,13.0,13.0,13.0,13.0,19.24,1,JordanManual,CCCAGG,19.3,19.24,19.3,TER,1514359800,2017-12-28 09:09:26.556622,0.0,0.0
14,14.0,14.0,14.0,14.0,19.21,1,JordanManual,CCCAGG,19.21,19.16,19.21,TER,1514359980,2017-12-28 09:09:26.556622,0.0,0.0
15,15.0,15.0,15.0,15.0,19.26,1,JordanManual,CCCAGG,19.26,19.22,19.22,TER,1514360160,2017-12-28 09:09:26.556622,0.0,0.0
16,16.0,16.0,16.0,16.0,19.19,1,JordanManual,CCCAGG,19.24,19.19,19.24,TER,1514360340,2017-12-28 09:09:26.556622,0.0,0.0
