Id,close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0,0.08,0.08,0.08,0.08,1514328660,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
1,0.08,0.08,0.08,0.08,1514328840,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
2,0.08,0.08,0.08,0.08,1514329020,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
3,0.08,0.08,0.08,0.08,1514329200,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
4,0.08,0.08,0.08,0.08,1514329380,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
5,0.08,0.08,0.08,0.08,1514329560,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
6,0.08,0.08,0.08,0.08,1514329740,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
7,0.08,0.08,0.08,0.08,1514329920,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
8,0.08,0.08,0.08,0.08,1514330100,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
9,0.08,0.08,0.08,0.08,1514330280,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
10,0.08,0.08,0.08,0.08,1514330460,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
11,0.08,0.08,0.08,0.08,1514330640,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
12,0.08,0.08,0.08,0.08,1514330820,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
13,0.08,0.08,0.08,0.08,1514331000,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
14,0.08,0.08,0.08,0.08,1514331180,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
15,0.08,0.08,0.08,0.08,1514331360,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
16,0.08,0.08,0.08,0.08,1514331540,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
17,0.08,0.08,0.08,0.08,1514331720,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
18,0.08,0.08,0.08,0.08,1514331900,0,0,1,JordanManual,CCCAGG,TRA,2017-12-28 01:09:54.050787
