close,coin_units,computer_name,exchange,high,low,open,symbol,time,timestamp_api_call,volumefrom,volumeto
343.31,1,JordanManual,CCCAGG,343.31,340.08,340.28,VERI,1514723580,2018-01-01 14:51:31.544669,2.4,823.94
343.9,1,JordanManual,CCCAGG,343.98,343.74,343.74,VERI,1514723760,2018-01-01 14:51:31.544669,0.0,0.0
343.78,1,JordanManual,CCCAGG,343.85,343.6,343.85,VERI,1514723940,2018-01-01 14:51:31.544669,0.0,0.0
344.24,1,JordanManual,CCCAGG,344.45,343.8,343.82,VERI,1514724120,2018-01-01 14:51:31.544669,4.58,1577.13
345.02,1,JordanManual,CCCAGG,345.16,344.52,344.52,VERI,1514724300,2018-01-01 14:51:31.544669,4.75,1638.84
344.48,1,JordanManual,CCCAGG,345.02,344.48,345.02,VERI,1514724480,2018-01-01 14:51:31.544669,1.0,344.64
341.93,1,JordanManual,CCCAGG,343.97,341.34,343.97,VERI,1514724660,2018-01-01 14:51:31.544669,0.997,342.94
342.27,1,JordanManual,CCCAGG,342.46,341.89,342.46,VERI,1514724840,2018-01-01 14:51:31.544669,2.99,1023.96
341.83,1,JordanManual,CCCAGG,341.95,341.71,341.95,VERI,1514725020,2018-01-01 14:51:31.544669,30.92,10569.38
342.31,1,JordanManual,CCCAGG,342.94,342.31,342.94,VERI,1514725200,2018-01-01 14:51:31.544669,4.98,1704.7
342.86,1,JordanManual,CCCAGG,342.92,342.84,342.92,VERI,1514725380,2018-01-01 14:51:31.544669,3.7,1268.51
342.82,1,JordanManual,CCCAGG,342.99,342.82,342.91,VERI,1514725560,2018-01-01 14:51:31.544669,10.0,3429.42
342.49,1,JordanManual,CCCAGG,342.5,342.46,342.5,VERI,1514725740,2018-01-01 14:51:31.544669,5.0,1712.5
342.24,1,JordanManual,CCCAGG,342.49,342.19,342.49,VERI,1514725920,2018-01-01 14:51:31.544669,0.0,0.0
342.16,1,JordanManual,CCCAGG,342.16,342.0,342.11,VERI,1514726100,2018-01-01 14:51:31.544669,0.0,0.0
342.41,1,JordanManual,CCCAGG,342.41,342.27,342.38,VERI,1514726280,2018-01-01 14:51:31.544669,0.0,0.0
342.35,1,JordanManual,CCCAGG,342.35,342.33,342.34,VERI,1514726460,2018-01-01 14:51:31.544669,0.0,0.0
341.58,1,JordanManual,CCCAGG,342.13,341.51,342.13,VERI,1514726640,2018-01-01 14:51:31.544669,0.15,51.24
341.65,1,JordanManual,CCCAGG,341.8,341.23,341.23,VERI,1514726820,2018-01-01 14:51:31.544669,29.72,10151.81
341.96,1,JordanManual,CCCAGG,342.05,341.88,341.88,VERI,1514727000,2018-01-01 14:51:31.544669,15.0,5128.2
341.87,1,JordanManual,CCCAGG,341.87,340.34,340.34,VERI,1514727180,2018-01-01 14:51:31.544669,0.6345,216.9
342.15,1,JordanManual,CCCAGG,342.17,341.85,341.85,VERI,1514727360,2018-01-01 14:51:31.544669,0.0,0.0
329.78,1,JordanManual,CCCAGG,342.36,328.49,342.36,VERI,1514727540,2018-01-01 14:51:31.544669,12.4,4082.81
329.96,1,JordanManual,CCCAGG,329.99,329.96,329.99,VERI,1514727720,2018-01-01 14:51:31.544669,22.57,7447.87
330.08,1,JordanManual,CCCAGG,330.08,330.06,330.06,VERI,1514727900,2018-01-01 14:51:31.544669,0.0,0.0
329.16,1,JordanManual,CCCAGG,330.04,328.96,330.04,VERI,1514728080,2018-01-01 14:51:31.544669,0.01,3.29
329.11,1,JordanManual,CCCAGG,329.11,329.06,329.11,VERI,1514728260,2018-01-01 14:51:31.544669,0.0,0.0
329.07,1,JordanManual,CCCAGG,329.07,329.04,329.04,VERI,1514728440,2018-01-01 14:51:31.544669,0.0,0.0
329.16,1,JordanManual,CCCAGG,329.16,329.0,329.0,VERI,1514728620,2018-01-01 14:51:31.544669,2.31,759.99
329.03,1,JordanManual,CCCAGG,329.03,329.01,329.01,VERI,1514728800,2018-01-01 14:51:31.544669,0.0,0.0
339.12,1,JordanManual,CCCAGG,339.12,329.04,329.09,VERI,1514728980,2018-01-01 14:51:31.544669,15.0,5086.8
340.18,1,JordanManual,CCCAGG,340.18,339.3,339.3,VERI,1514729160,2018-01-01 14:51:31.544669,0.0,0.0
341.11,1,JordanManual,CCCAGG,341.11,340.47,340.47,VERI,1514729340,2018-01-01 14:51:31.544669,0.0,0.0
340.89,1,JordanManual,CCCAGG,340.99,340.89,340.99,VERI,1514729520,2018-01-01 14:51:31.544669,0.0,0.0
339.69,1,JordanManual,CCCAGG,340.29,339.69,340.16,VERI,1514729700,2018-01-01 14:51:31.544669,0.3251,110.59
339.6,1,JordanManual,CCCAGG,339.8,339.6,339.8,VERI,1514729880,2018-01-01 14:51:31.544669,0.0,0.0
339.63,1,JordanManual,CCCAGG,339.63,339.52,339.52,VERI,1514730060,2018-01-01 14:51:31.544669,0.0,0.0
337.05,1,JordanManual,CCCAGG,339.98,337.05,339.95,VERI,1514730240,2018-01-01 14:51:31.544669,38.26,12895.53
337.18,1,JordanManual,CCCAGG,337.28,337.18,337.21,VERI,1514730420,2018-01-01 14:51:31.544669,3.28,1106.05
338.3,1,JordanManual,CCCAGG,338.3,337.77,337.93,VERI,1514730600,2018-01-01 14:51:31.544669,0.0,0.0
338.83,1,JordanManual,CCCAGG,338.83,338.44,338.44,VERI,1514730780,2018-01-01 14:51:31.544669,0.0,0.0
339.99,1,JordanManual,CCCAGG,339.99,339.51,339.51,VERI,1514730960,2018-01-01 14:51:31.544669,0.0,0.0
340.42,1,JordanManual,CCCAGG,340.42,340.06,340.06,VERI,1514731140,2018-01-01 14:51:31.544669,0.0,0.0
347.42,1,JordanManual,CCCAGG,347.42,340.18,340.18,VERI,1514731320,2018-01-01 14:51:31.544669,5.64,1958.43
347.36,1,JordanManual,CCCAGG,347.36,347.25,347.26,VERI,1514731500,2018-01-01 14:51:31.544669,3.62,1257.18
347.42,1,JordanManual,CCCAGG,347.56,347.35,347.56,VERI,1514731680,2018-01-01 14:51:31.544669,0.0,0.0
346.71,1,JordanManual,CCCAGG,347.31,346.71,347.31,VERI,1514731860,2018-01-01 14:51:31.544669,0.0,0.0
346.83,1,JordanManual,CCCAGG,346.83,346.45,346.78,VERI,1514732040,2018-01-01 14:51:31.544669,0.0,0.0
