close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.8,0.8,0.7913,0.7913,1514388240,68967.27,54898.0,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.8016,0.8049,0.8015,0.8015,1514388420,92188.45,73960.23,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.8045,0.8054,0.7936,0.7974,1514388600,140558.03,112327.66,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.7954,0.8,0.7949,0.8,1514388780,119969.42,95524.39,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.7952,0.8046,0.7941,0.7941,1514388960,52971.5,42267.75,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.7946,0.7974,0.7946,0.7974,1514389140,62076.88,49388.39,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.7795,0.7868,0.7779,0.7855,1514389320,239745.76,187314.22,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.7781,0.7794,0.7769,0.7794,1514389500,94465.03,73416.93,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.7876,0.7876,0.7805,0.7805,1514389680,99625.0,78314.68,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.7794,0.7879,0.7794,0.7821,1514389860,54624.03,42633.91,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.7824,0.7831,0.7802,0.7803,1514390040,65778.88,51432.35,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.7743,0.7806,0.774,0.7806,1514390220,142460.47,110809.42,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.77,0.7734,0.7692,0.7722,1514390400,132263.0,102087.08,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.7709,0.7735,0.7704,0.7715,1514390580,192916.2,148737.17,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
0.7623,0.7687,0.7616,0.7687,1514390760,190486.85,145563.28,1,JordanManual,CCCAGG,VOX,2017-12-28 17:43:11.768171
