close,high,low,open,time,volumefrom,volumeto,coin_units,computer_name,exchange,symbol,timestamp_api_call
0.1681,0.1685,0.1674,0.1681,1514391300,3947,662.73,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1683,0.1685,0.1674,0.1683,1514391480,4201,705.8,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1685,0.1685,0.1674,0.1682,1514391660,3146,528.36,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1676,0.1685,0.1674,0.1685,1514391840,2997,502.96,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1674,0.1676,0.1674,0.1674,1514392020,3657,612.65,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.166,0.1678,0.1656,0.1674,1514392200,5014,835.58,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1651,0.1662,0.1646,0.1657,1514392380,3437,569.1,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1623,0.1656,0.1623,0.1648,1514392560,3517,570.73,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1629,0.1629,0.1623,0.1623,1514392740,531,86.5,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1642,0.1655,0.1597,0.163,1514392920,6280,1017.97,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1649,0.1655,0.1636,0.1645,1514393100,4077,669.93,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1633,0.1639,0.1621,0.1632,1514393280,5137,836.73,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.163,0.1633,0.163,0.1632,1514393460,3244,529.27,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1626,0.1633,0.162,0.163,1514393640,4293,697.87,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1587,0.1628,0.1583,0.1622,1514393820,5440,873.67,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
0.1577,0.1586,0.1575,0.1585,1514394000,3531,557.8,1,JordanManual,CCCAGG,WRC,2017-12-28 18:34:34.811102
