exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,ADX,BTC,6167016.96504,1132.69047226,1,JordanManual,cryptocompare,ADX,2017-12-31 03:21:27.214711
CCCAGG,ADX,ETH,1661475.21365,5623.95256522,1,JordanManual,cryptocompare,ADX,2017-12-31 03:21:27.214711
CCCAGG,ADX,USDT,620381.384728,1438111.04546,1,JordanManual,cryptocompare,ADX,2017-12-31 03:21:27.214711
CCCAGG,ADX,BNB,24751.18,7410.9593654,1,JordanManual,cryptocompare,ADX,2017-12-31 03:21:27.214711
CCCAGG,ADX,BTC,6159222.1605,1131.24738905,1,JordanManual,cryptocompare,ADX,2017-12-31 03:18:26.983920
CCCAGG,ADX,ETH,1655729.88656,5604.51681508,1,JordanManual,cryptocompare,ADX,2017-12-31 03:18:26.983920
CCCAGG,ADX,USDT,618881.693762,1434595.8131,1,JordanManual,cryptocompare,ADX,2017-12-31 03:18:26.983920
CCCAGG,ADX,BNB,24751.18,7410.9593654,1,JordanManual,cryptocompare,ADX,2017-12-31 03:18:26.983920
CCCAGG,ADX,BTC,6160156.25168,1122.82561522,1,JordanManual,cryptocompare,ADX,2017-12-31 00:23:50.702105
CCCAGG,ADX,ETH,1660207.4176,5610.89865379,1,JordanManual,cryptocompare,ADX,2017-12-31 00:23:50.702105
CCCAGG,ADX,USDT,580375.894916,1342144.8662,1,JordanManual,cryptocompare,ADX,2017-12-31 00:23:50.702105
CCCAGG,ADX,BNB,24266.6,7255.2127258,1,JordanManual,cryptocompare,ADX,2017-12-31 00:23:50.702105
