exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,AVT,USD,73164.1895231,276255.015968,1,JordanManual,cryptocompare,AVT,2017-12-31 12:17:44.903144
CCCAGG,AVT,BTC,36600.0071327,10.4886965207,1,JordanManual,cryptocompare,AVT,2017-12-31 12:17:44.903144
CCCAGG,AVT,ETH,35407.6051143,186.999506825,1,JordanManual,cryptocompare,AVT,2017-12-31 12:17:44.903144
CCCAGG,AVT,ETH,35407.6051143,186.999506825,1,JordanManual,cryptocompare,AVT,2017-12-31 12:14:49.365561
CCCAGG,AVT,USD,73164.1895231,276255.015968,1,JordanManual,cryptocompare,AVT,2017-12-31 12:11:54.275805
CCCAGG,AVT,BTC,36588.0071327,10.4853209207,1,JordanManual,cryptocompare,AVT,2017-12-31 12:11:54.275805
CCCAGG,AVT,ETH,35407.5951143,186.999453205,1,JordanManual,cryptocompare,AVT,2017-12-31 12:11:54.275805
CCCAGG,AVT,BTC,40445.2233758,11.5491635262,1,JordanManual,cryptocompare,AVT,2017-12-31 12:01:54.875492
CCCAGG,AVT,USD,75671.3286162,285199.637377,1,JordanManual,cryptocompare,AVT,2017-12-31 11:57:00.396992
CCCAGG,AVT,USD,74747.9286162,281635.313377,1,JordanManual,cryptocompare,AVT,2017-12-31 11:54:27.062995
CCCAGG,AVT,BTC,40363.2233758,11.5259608062,1,JordanManual,cryptocompare,AVT,2017-12-31 11:54:27.062995
CCCAGG,AVT,ETH,35407.9251143,187.001241805,1,JordanManual,cryptocompare,AVT,2017-12-31 11:54:27.062995
