exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,BSD,BTC,313517.925092,29.5671012196,1,JordanManual,cryptocompare,BSD,2017-12-31 03:18:35.544386
CCCAGG,BSD,USDT,143.98643849,173.29575909,1,JordanManual,cryptocompare,BSD,2017-12-31 03:18:35.544386
CCCAGG,BSD,DOGE,10.72672854,1708.47673709,1,JordanManual,cryptocompare,BSD,2017-12-31 03:18:35.544386
CCCAGG,BSD,BTC,312836.687388,29.5038881596,1,JordanManual,cryptocompare,BSD,2017-12-31 03:15:44.614874
CCCAGG,BSD,BTC,312380.744612,29.4622742796,1,JordanManual,cryptocompare,BSD,2017-12-31 03:08:25.935267
CCCAGG,BSD,USDT,143.98643849,173.29575909,1,JordanManual,cryptocompare,BSD,2017-12-31 03:08:25.935267
CCCAGG,BSD,DOGE,10.72672854,1708.47673709,1,JordanManual,cryptocompare,BSD,2017-12-31 03:08:25.935267
CCCAGG,BSD,BTC,313201.355244,29.4736767596,1,JordanManual,cryptocompare,BSD,2017-12-31 00:19:18.727362
CCCAGG,BSD,LTC,8168.16065296,51.21131391,1,JordanManual,cryptocompare,BSD,2017-12-31 00:19:18.727362
CCCAGG,BSD,USDT,250.62551214,301.26264754,1,JordanManual,cryptocompare,BSD,2017-12-31 00:19:18.727362
CCCAGG,BSD,DOGE,75.67862725,12406.2501056,1,JordanManual,cryptocompare,BSD,2017-12-31 00:19:18.727362
