exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,CLOAK,BTC,197451.290973,434.359215959,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:21:44.554765
CCCAGG,CLOAK,LTC,136.45228613,18.91796609,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:21:44.554765
CCCAGG,CLOAK,DOGE,8.53676752,32291.2907525,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:21:44.554765
CCCAGG,CLOAK,RUR,1.45895076,2934.30464081,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:21:44.554765
CCCAGG,CLOAK,USD,0.73890922,20.8856493032,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:21:44.554765
CCCAGG,CLOAK,ETH,0.69364406,1.387052052,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:21:44.554765
CCCAGG,CLOAK,BTC,197273.881732,433.951023659,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:16:28.016906
CCCAGG,CLOAK,LTC,136.45228613,18.91796609,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:16:28.016906
CCCAGG,CLOAK,DOGE,8.53676752,32291.2907525,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:16:28.016906
CCCAGG,CLOAK,USD,0.73890922,20.8856493032,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:16:28.016906
CCCAGG,CLOAK,ETH,0.69364406,1.387052052,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:16:28.016906
CCCAGG,CLOAK,RUR,0.64365009,1222.17323381,1,JordanManual,cryptocompare,CLOAK,2017-12-31 03:16:28.016906
