Id,exchange,fromSymbol,toSymbol,volume24h,volume24hTo,source,timestamp_api_call
0,CCCAGG,LKK,EUR,136178.84,25466.3816669,cryptocompare,2017-12-27 23:09:26.426521
1,CCCAGG,LKK,USD,30087.61,6767.1015221,cryptocompare,2017-12-27 23:09:26.426521
2,CCCAGG,LKK,CHF,15764.06,3468.9458347,cryptocompare,2017-12-27 23:09:26.426521
3,CCCAGG,LKK,GBP,2974.51,508.1669913,cryptocompare,2017-12-27 23:09:26.426521
4,CCCAGG,LKK,EUR,136178.84,25466.3816669,cryptocompare,2017-12-27 21:29:19.565522
5,CCCAGG,LKK,USD,31087.61,7002.1015221,cryptocompare,2017-12-27 21:29:19.565522
6,CCCAGG,LKK,CHF,18495.06,4075.8559647,cryptocompare,2017-12-27 21:29:19.565522
7,CCCAGG,LKK,GBP,2974.51,508.1669913,cryptocompare,2017-12-27 21:29:19.565522
8,CCCAGG,LKK,EUR,136178.84,25466.3816669,cryptocompare,2017-12-27 21:01:31.266958
9,CCCAGG,LKK,USD,31087.61,7002.1015221,cryptocompare,2017-12-27 21:01:31.266958
10,CCCAGG,LKK,CHF,18495.06,4075.8559647,cryptocompare,2017-12-27 21:01:31.266958
11,CCCAGG,LKK,GBP,2974.51,508.1669913,cryptocompare,2017-12-27 21:01:31.266958
