exchange,fromSymbol,toSymbol,volume24h,volume24hTo,coin_units,computer_name,source,symbol,timestamp_api_call
CCCAGG,MCO,BTC,1744292.67974,1951.97842069,1,JordanManual,cryptocompare,MCO,2017-12-31 12:17:44.295388
CCCAGG,MCO,ETH,1530818.30327,31527.5609804,1,JordanManual,cryptocompare,MCO,2017-12-31 12:16:39.139022
CCCAGG,MCO,USDT,8577.20431541,124223.522673,1,JordanManual,cryptocompare,MCO,2017-12-31 12:16:39.139022
CCCAGG,MCO,USD,123.62188887,2136.94622302,1,JordanManual,cryptocompare,MCO,2017-12-31 12:16:39.139022
CCCAGG,MCO,RUR,2.4548884,2211.17917323,1,JordanManual,cryptocompare,MCO,2017-12-31 12:16:39.139022
CCCAGG,MCO,BTC,1743850.96015,1951.48605832,1,JordanManual,cryptocompare,MCO,2017-12-31 12:14:48.121340
CCCAGG,MCO,USD,123.62288887,2136.96172302,1,JordanManual,cryptocompare,MCO,2017-12-31 11:57:01.458460
CCCAGG,MCO,USDT,8563.61409609,123964.692055,1,JordanManual,cryptocompare,MCO,2017-12-31 11:57:01.458460
CCCAGG,MCO,BTC,1805888.65872,2019.24016709,1,JordanManual,cryptocompare,MCO,2017-12-31 11:57:01.458460
CCCAGG,MCO,USDT,8534.00926012,123554.690951,1,JordanManual,cryptocompare,MCO,2017-12-31 12:01:54.686897
CCCAGG,MCO,ETH,1613308.6308,33194.5013495,1,JordanManual,cryptocompare,MCO,2017-12-31 11:57:01.458460
CCCAGG,MCO,ETH,1530662.25547,31523.9684222,1,JordanManual,cryptocompare,MCO,2017-12-31 12:01:54.686897
CCCAGG,MCO,ETH,1530551.94655,31521.9267436,1,JordanManual,cryptocompare,MCO,2017-12-31 12:11:54.335187
CCCAGG,MCO,BTC,1742141.47255,1949.58635414,1,JordanManual,cryptocompare,MCO,2017-12-31 12:11:54.335187
CCCAGG,MCO,ETH,1530702.72655,31525.0930228,1,JordanManual,cryptocompare,MCO,2017-12-31 12:14:48.121340
CCCAGG,MCO,BTC,1744292.67974,1951.97842069,1,JordanManual,cryptocompare,MCO,2017-12-31 12:16:39.139022
CCCAGG,MCO,DOGE,0.00694854,12.1944786022,1,JordanManual,cryptocompare,MCO,2017-12-31 12:17:44.295388
CCCAGG,MCO,RUR,2.4548884,2211.17917323,1,JordanManual,cryptocompare,MCO,2017-12-31 12:17:44.295388
CCCAGG,MCO,USD,123.62188887,2136.94622302,1,JordanManual,cryptocompare,MCO,2017-12-31 12:17:44.295388
CCCAGG,MCO,USDT,8577.20431541,124223.522673,1,JordanManual,cryptocompare,MCO,2017-12-31 12:17:44.295388
CCCAGG,MCO,ETH,1530818.30327,31527.5609804,1,JordanManual,cryptocompare,MCO,2017-12-31 12:17:44.295388
CCCAGG,MCO,BTC,1738153.61642,1945.13244893,1,JordanManual,cryptocompare,MCO,2017-12-31 12:01:54.686897
CCCAGG,MCO,DOGE,0.00694854,12.1944786022,1,JordanManual,cryptocompare,MCO,2017-12-31 11:57:01.458460
