Id,exchange,fromSymbol,toSymbol,volume24h,volume24hTo,source,timestamp_api_call
0,CCCAGG,SKY,BTC,23001.8136481,51.82222385,cryptocompare,2017-12-27 23:54:16.215473
1,CCCAGG,SKY,DOGE,844.99501989,3301770.0481,cryptocompare,2017-12-27 21:02:11.286735
2,CCCAGG,SKY,LTC,1948.2810977,269.05220954,cryptocompare,2017-12-27 21:02:11.286735
3,CCCAGG,SKY,BTC,30605.0022128,68.30414339,cryptocompare,2017-12-27 21:02:11.286735
4,CCCAGG,SKY,NZDT,31.63420222,1647.0356294,cryptocompare,2017-12-27 21:29:28.376303
5,CCCAGG,SKY,USDT,108.84625093,3835.78367471,cryptocompare,2017-12-27 21:29:28.376303
6,CCCAGG,SKY,DOGE,840.70251727,3284135.95601,cryptocompare,2017-12-27 21:29:28.376303
7,CCCAGG,SKY,LTC,1883.04012743,258.97646655,cryptocompare,2017-12-27 21:29:28.376303
8,CCCAGG,SKY,BTC,27425.6447632,60.92609358,cryptocompare,2017-12-27 21:29:28.376303
9,CCCAGG,SKY,NZDT,1.5915734,128.36102284,cryptocompare,2017-12-27 23:09:36.513787
10,CCCAGG,SKY,DOGE,27.99325523,113015.465084,cryptocompare,2017-12-27 23:09:36.513787
11,CCCAGG,SKY,USDT,89.41255428,2954.37529863,cryptocompare,2017-12-27 23:09:36.513787
12,CCCAGG,SKY,LTC,1675.38963502,231.41376341,cryptocompare,2017-12-27 23:09:36.513787
13,CCCAGG,SKY,BTC,22633.8454519,50.96338481,cryptocompare,2017-12-27 23:09:36.513787
14,CCCAGG,SKY,NZDT,1.5915734,128.36102284,cryptocompare,2017-12-27 23:54:16.215473
15,CCCAGG,SKY,DOGE,28.00112955,113048.798439,cryptocompare,2017-12-27 23:54:16.215473
16,CCCAGG,SKY,USDT,89.78513262,2967.00156128,cryptocompare,2017-12-27 23:54:16.215473
17,CCCAGG,SKY,LTC,1703.87139816,235.42905444,cryptocompare,2017-12-27 23:54:16.215473
18,CCCAGG,SKY,USDT,114.51484467,4106.32349678,cryptocompare,2017-12-27 21:02:11.286735
19,CCCAGG,SKY,NZDT,33.63420222,1843.0356294,cryptocompare,2017-12-27 21:02:11.286735
